,location,date,variant,num_sequences,perc_sequences,num_sequences_total
68016,Papua New Guinea,2020-07-20,Alpha,0,0.0,4
68017,Papua New Guinea,2020-07-20,B.1.1.277,0,0.0,4
68018,Papua New Guinea,2020-07-20,B.1.1.302,0,0.0,4
68019,Papua New Guinea,2020-07-20,B.1.1.519,0,0.0,4
68020,Papua New Guinea,2020-07-20,B.1.160,0,0.0,4
68021,Papua New Guinea,2020-07-20,B.1.177,0,0.0,4
68022,Papua New Guinea,2020-07-20,B.1.221,0,0.0,4
68023,Papua New Guinea,2020-07-20,B.1.258,0,0.0,4
68024,Papua New Guinea,2020-07-20,B.1.367,0,0.0,4
68025,Papua New Guinea,2020-07-20,B.1.620,0,0.0,4
68026,Papua New Guinea,2020-07-20,Beta,0,0.0,4
68027,Papua New Guinea,2020-07-20,Delta,0,0.0,4
68028,Papua New Guinea,2020-07-20,Epsilon,0,0.0,4
68029,Papua New Guinea,2020-07-20,Eta,0,0.0,4
68030,Papua New Guinea,2020-07-20,Gamma,0,0.0,4
68031,Papua New Guinea,2020-07-20,Iota,0,0.0,4
68032,Papua New Guinea,2020-07-20,Kappa,0,0.0,4
68033,Papua New Guinea,2020-07-20,Lambda,0,0.0,4
68034,Papua New Guinea,2020-07-20,Mu,0,0.0,4
68035,Papua New Guinea,2020-07-20,Omicron,0,0.0,4
68036,Papua New Guinea,2020-07-20,S:677H.Robin1,0,0.0,4
68037,Papua New Guinea,2020-07-20,S:677P.Pelican,0,0.0,4
68038,Papua New Guinea,2020-07-20,others,4,100.0,4
68039,Papua New Guinea,2020-07-20,non_who,4,100.0,4
68040,Papua New Guinea,2020-08-03,Alpha,0,0.0,34
68041,Papua New Guinea,2020-08-03,B.1.1.277,0,0.0,34
68042,Papua New Guinea,2020-08-03,B.1.1.302,0,0.0,34
68043,Papua New Guinea,2020-08-03,B.1.1.519,0,0.0,34
68044,Papua New Guinea,2020-08-03,B.1.160,0,0.0,34
68045,Papua New Guinea,2020-08-03,B.1.177,0,0.0,34
68046,Papua New Guinea,2020-08-03,B.1.221,0,0.0,34
68047,Papua New Guinea,2020-08-03,B.1.258,0,0.0,34
68048,Papua New Guinea,2020-08-03,B.1.367,0,0.0,34
