,location,date,variant,num_sequences,perc_sequences,num_sequences_total
69768,Peru,2020-05-11,Alpha,0,0.0,49
69769,Peru,2020-05-11,B.1.1.277,0,0.0,49
69770,Peru,2020-05-11,B.1.1.302,0,0.0,49
69771,Peru,2020-05-11,B.1.1.519,0,0.0,49
69772,Peru,2020-05-11,B.1.160,0,0.0,49
69773,Peru,2020-05-11,B.1.177,0,0.0,49
69774,Peru,2020-05-11,B.1.221,0,0.0,49
69775,Peru,2020-05-11,B.1.258,0,0.0,49
69776,Peru,2020-05-11,B.1.367,0,0.0,49
69777,Peru,2020-05-11,B.1.620,0,0.0,49
69778,Peru,2020-05-11,Beta,0,0.0,49
69779,Peru,2020-05-11,Delta,0,0.0,49
69780,Peru,2020-05-11,Epsilon,0,0.0,49
69781,Peru,2020-05-11,Eta,0,0.0,49
69782,Peru,2020-05-11,Gamma,0,0.0,49
69783,Peru,2020-05-11,Iota,0,0.0,49
69784,Peru,2020-05-11,Kappa,0,0.0,49
69785,Peru,2020-05-11,Lambda,0,0.0,49
69786,Peru,2020-05-11,Mu,0,0.0,49
69787,Peru,2020-05-11,Omicron,0,0.0,49
69788,Peru,2020-05-11,S:677H.Robin1,0,0.0,49
69789,Peru,2020-05-11,S:677P.Pelican,0,0.0,49
69790,Peru,2020-05-11,others,49,100.0,49
69791,Peru,2020-05-11,non_who,49,100.0,49
69792,Peru,2020-05-25,Alpha,0,0.0,50
69793,Peru,2020-05-25,B.1.1.277,0,0.0,50
69794,Peru,2020-05-25,B.1.1.302,0,0.0,50
69795,Peru,2020-05-25,B.1.1.519,0,0.0,50
69796,Peru,2020-05-25,B.1.160,0,0.0,50
69797,Peru,2020-05-25,B.1.177,0,0.0,50
69798,Peru,2020-05-25,B.1.221,0,0.0,50
69799,Peru,2020-05-25,B.1.258,0,0.0,50
69800,Peru,2020-05-25,B.1.367,0,0.0,50
69801,Peru,2020-05-25,B.1.620,0,0.0,50
69802,Peru,2020-05-25,Beta,0,0.0,50
69803,Peru,2020-05-25,Delta,0,0.0,50
69804,Peru,2020-05-25,Epsilon,0,0.0,50
69805,Peru,2020-05-25,Eta,0,0.0,50
