,location,date,variant,num_sequences,perc_sequences,num_sequences_total
70824,Philippines,2020-06-08,Alpha,0,0.0,1
70825,Philippines,2020-06-08,B.1.1.277,0,0.0,1
70826,Philippines,2020-06-08,B.1.1.302,0,0.0,1
70827,Philippines,2020-06-08,B.1.1.519,0,0.0,1
70828,Philippines,2020-06-08,B.1.160,0,0.0,1
70829,Philippines,2020-06-08,B.1.177,0,0.0,1
70830,Philippines,2020-06-08,B.1.221,0,0.0,1
70831,Philippines,2020-06-08,B.1.258,0,0.0,1
70832,Philippines,2020-06-08,B.1.367,0,0.0,1
70833,Philippines,2020-06-08,B.1.620,0,0.0,1
70834,Philippines,2020-06-08,Beta,0,0.0,1
70835,Philippines,2020-06-08,Delta,0,0.0,1
70836,Philippines,2020-06-08,Epsilon,0,0.0,1
70837,Philippines,2020-06-08,Eta,0,0.0,1
70838,Philippines,2020-06-08,Gamma,0,0.0,1
70839,Philippines,2020-06-08,Iota,0,0.0,1
70840,Philippines,2020-06-08,Kappa,0,0.0,1
70841,Philippines,2020-06-08,Lambda,0,0.0,1
70842,Philippines,2020-06-08,Mu,0,0.0,1
70843,Philippines,2020-06-08,Omicron,0,0.0,1
70844,Philippines,2020-06-08,S:677H.Robin1,0,0.0,1
70845,Philippines,2020-06-08,S:677P.Pelican,0,0.0,1
70846,Philippines,2020-06-08,others,1,100.0,1
70847,Philippines,2020-06-08,non_who,1,100.0,1
70848,Philippines,2020-06-22,Alpha,0,0.0,5
70849,Philippines,2020-06-22,B.1.1.277,0,0.0,5
70850,Philippines,2020-06-22,B.1.1.302,0,0.0,5
70851,Philippines,2020-06-22,B.1.1.519,0,0.0,5
70852,Philippines,2020-06-22,B.1.160,0,0.0,5
70853,Philippines,2020-06-22,B.1.177,0,0.0,5
70854,Philippines,2020-06-22,B.1.221,0,0.0,5
70855,Philippines,2020-06-22,B.1.258,0,0.0,5
70856,Philippines,2020-06-22,B.1.367,0,0.0,5
70857,Philippines,2020-06-22,B.1.620,0,0.0,5
70858,Philippines,2020-06-22,Beta,0,0.0,5
70859,Philippines,2020-06-22,Delta,0,0.0,5
70860,Philippines,2020-06-22,Epsilon,0,0.0,5
70861,Philippines,2020-06-22,Eta,0,0.0,5
70862,Philippines,2020-06-22,Gamma,0,0.0,5
70863,Philippines,2020-06-22,Iota,0,0.0,5
70864,Philippines,2020-06-22,Kappa,0,0.0,5
70865,Philippines,2020-06-22,Lambda,0,0.0,5
70866,Philippines,2020-06-22,Mu,0,0.0,5
70867,Philippines,2020-06-22,Omicron,0,0.0,5
70868,Philippines,2020-06-22,S:677H.Robin1,0,0.0,5
70869,Philippines,2020-06-22,S:677P.Pelican,0,0.0,5
70870,Philippines,2020-06-22,others,5,100.0,5
70871,Philippines,2020-06-22,non_who,5,100.0,5
70872,Philippines,2020-07-06,Alpha,0,0.0,9
70873,Philippines,2020-07-06,B.1.1.277,0,0.0,9
70874,Philippines,2020-07-06,B.1.1.302,0,0.0,9
70875,Philippines,2020-07-06,B.1.1.519,0,0.0,9
70876,Philippines,2020-07-06,B.1.160,0,0.0,9
70877,Philippines,2020-07-06,B.1.177,0,0.0,9
70878,Philippines,2020-07-06,B.1.221,0,0.0,9
70879,Philippines,2020-07-06,B.1.258,0,0.0,9
70880,Philippines,2020-07-06,B.1.367,0,0.0,9
70881,Philippines,2020-07-06,B.1.620,0,0.0,9
70882,Philippines,2020-07-06,Beta,0,0.0,9
70883,Philippines,2020-07-06,Delta,0,0.0,9
70884,Philippines,2020-07-06,Epsilon,0,0.0,9
70885,Philippines,2020-07-06,Eta,0,0.0,9
70886,Philippines,2020-07-06,Gamma,0,0.0,9
70887,Philippines,2020-07-06,Iota,0,0.0,9
70888,Philippines,2020-07-06,Kappa,0,0.0,9
70889,Philippines,2020-07-06,Lambda,0,0.0,9
70890,Philippines,2020-07-06,Mu,0,0.0,9
70891,Philippines,2020-07-06,Omicron,0,0.0,9
70892,Philippines,2020-07-06,S:677H.Robin1,0,0.0,9
70893,Philippines,2020-07-06,S:677P.Pelican,0,0.0,9
70894,Philippines,2020-07-06,others,9,100.0,9
70895,Philippines,2020-07-06,non_who,9,100.0,9
70896,Philippines,2020-07-20,Alpha,0,0.0,4
70897,Philippines,2020-07-20,B.1.1.277,0,0.0,4
70898,Philippines,2020-07-20,B.1.1.302,0,0.0,4
70899,Philippines,2020-07-20,B.1.1.519,0,0.0,4
70900,Philippines,2020-07-20,B.1.160,0,0.0,4
70901,Philippines,2020-07-20,B.1.177,0,0.0,4
70902,Philippines,2020-07-20,B.1.221,0,0.0,4
70903,Philippines,2020-07-20,B.1.258,0,0.0,4
70904,Philippines,2020-07-20,B.1.367,0,0.0,4
70905,Philippines,2020-07-20,B.1.620,0,0.0,4
70906,Philippines,2020-07-20,Beta,0,0.0,4
70907,Philippines,2020-07-20,Delta,0,0.0,4
70908,Philippines,2020-07-20,Epsilon,0,0.0,4
70909,Philippines,2020-07-20,Eta,0,0.0,4
70910,Philippines,2020-07-20,Gamma,0,0.0,4
70911,Philippines,2020-07-20,Iota,0,0.0,4
70912,Philippines,2020-07-20,Kappa,0,0.0,4
70913,Philippines,2020-07-20,Lambda,0,0.0,4
70914,Philippines,2020-07-20,Mu,0,0.0,4
70915,Philippines,2020-07-20,Omicron,0,0.0,4
70916,Philippines,2020-07-20,S:677H.Robin1,0,0.0,4
70917,Philippines,2020-07-20,S:677P.Pelican,0,0.0,4
70918,Philippines,2020-07-20,others,4,100.0,4
70919,Philippines,2020-07-20,non_who,4,100.0,4
70920,Philippines,2020-09-14,Alpha,0,0.0,2
70921,Philippines,2020-09-14,B.1.1.277,0,0.0,2
70922,Philippines,2020-09-14,B.1.1.302,0,0.0,2
70923,Philippines,2020-09-14,B.1.1.519,0,0.0,2
70924,Philippines,2020-09-14,B.1.160,0,0.0,2
70925,Philippines,2020-09-14,B.1.177,0,0.0,2
70926,Philippines,2020-09-14,B.1.221,0,0.0,2
70927,Philippines,2020-09-14,B.1.258,0,0.0,2
70928,Philippines,2020-09-14,B.1.367,0,0.0,2
70929,Philippines,2020-09-14,B.1.620,0,0.0,2
70930,Philippines,2020-09-14,Beta,0,0.0,2
70931,Philippines,2020-09-14,Delta,0,0.0,2
70932,Philippines,2020-09-14,Epsilon,0,0.0,2
70933,Philippines,2020-09-14,Eta,0,0.0,2
70934,Philippines,2020-09-14,Gamma,0,0.0,2
70935,Philippines,2020-09-14,Iota,0,0.0,2
70936,Philippines,2020-09-14,Kappa,0,0.0,2
70937,Philippines,2020-09-14,Lambda,0,0.0,2
70938,Philippines,2020-09-14,Mu,0,0.0,2
70939,Philippines,2020-09-14,Omicron,0,0.0,2
70940,Philippines,2020-09-14,S:677H.Robin1,0,0.0,2
70941,Philippines,2020-09-14,S:677P.Pelican,0,0.0,2
70942,Philippines,2020-09-14,others,2,100.0,2
70943,Philippines,2020-09-14,non_who,2,100.0,2
70944,Philippines,2020-09-28,Alpha,0,0.0,3
70945,Philippines,2020-09-28,B.1.1.277,0,0.0,3
70946,Philippines,2020-09-28,B.1.1.302,0,0.0,3
70947,Philippines,2020-09-28,B.1.1.519,0,0.0,3
70948,Philippines,2020-09-28,B.1.160,0,0.0,3
70949,Philippines,2020-09-28,B.1.177,0,0.0,3
70950,Philippines,2020-09-28,B.1.221,0,0.0,3
70951,Philippines,2020-09-28,B.1.258,0,0.0,3
70952,Philippines,2020-09-28,B.1.367,0,0.0,3
70953,Philippines,2020-09-28,B.1.620,0,0.0,3
70954,Philippines,2020-09-28,Beta,0,0.0,3
70955,Philippines,2020-09-28,Delta,0,0.0,3
70956,Philippines,2020-09-28,Epsilon,0,0.0,3
70957,Philippines,2020-09-28,Eta,0,0.0,3
70958,Philippines,2020-09-28,Gamma,0,0.0,3
70959,Philippines,2020-09-28,Iota,0,0.0,3
70960,Philippines,2020-09-28,Kappa,0,0.0,3
70961,Philippines,2020-09-28,Lambda,0,0.0,3
70962,Philippines,2020-09-28,Mu,0,0.0,3
70963,Philippines,2020-09-28,Omicron,0,0.0,3
70964,Philippines,2020-09-28,S:677H.Robin1,0,0.0,3
70965,Philippines,2020-09-28,S:677P.Pelican,0,0.0,3
