,location,date,variant,num_sequences,perc_sequences,num_sequences_total
74448,Romania,2020-05-11,Alpha,0,0.0,33
74449,Romania,2020-05-11,B.1.1.277,0,0.0,33
74450,Romania,2020-05-11,B.1.1.302,0,0.0,33
74451,Romania,2020-05-11,B.1.1.519,0,0.0,33
74452,Romania,2020-05-11,B.1.160,0,0.0,33
74453,Romania,2020-05-11,B.1.177,0,0.0,33
74454,Romania,2020-05-11,B.1.221,0,0.0,33
74455,Romania,2020-05-11,B.1.258,1,3.03,33
74456,Romania,2020-05-11,B.1.367,0,0.0,33
74457,Romania,2020-05-11,B.1.620,0,0.0,33
74458,Romania,2020-05-11,Beta,0,0.0,33
74459,Romania,2020-05-11,Delta,0,0.0,33
74460,Romania,2020-05-11,Epsilon,0,0.0,33
74461,Romania,2020-05-11,Eta,0,0.0,33
74462,Romania,2020-05-11,Gamma,0,0.0,33
74463,Romania,2020-05-11,Iota,0,0.0,33
74464,Romania,2020-05-11,Kappa,0,0.0,33
74465,Romania,2020-05-11,Lambda,0,0.0,33
74466,Romania,2020-05-11,Mu,0,0.0,33
74467,Romania,2020-05-11,Omicron,0,0.0,33
74468,Romania,2020-05-11,S:677H.Robin1,0,0.0,33
74469,Romania,2020-05-11,S:677P.Pelican,0,0.0,33
74470,Romania,2020-05-11,others,32,96.97,33
74471,Romania,2020-05-11,non_who,33,100.0,33
74472,Romania,2020-05-25,Alpha,0,0.0,18
74473,Romania,2020-05-25,B.1.1.277,0,0.0,18
74474,Romania,2020-05-25,B.1.1.302,0,0.0,18
74475,Romania,2020-05-25,B.1.1.519,0,0.0,18
74476,Romania,2020-05-25,B.1.160,0,0.0,18
74477,Romania,2020-05-25,B.1.177,0,0.0,18
74478,Romania,2020-05-25,B.1.221,0,0.0,18
74479,Romania,2020-05-25,B.1.258,1,5.56,18
74480,Romania,2020-05-25,B.1.367,0,0.0,18
74481,Romania,2020-05-25,B.1.620,0,0.0,18
74482,Romania,2020-05-25,Beta,0,0.0,18
74483,Romania,2020-05-25,Delta,0,0.0,18
74484,Romania,2020-05-25,Epsilon,0,0.0,18
74485,Romania,2020-05-25,Eta,0,0.0,18
74486,Romania,2020-05-25,Gamma,0,0.0,18
74487,Romania,2020-05-25,Iota,0,0.0,18
74488,Romania,2020-05-25,Kappa,0,0.0,18
74489,Romania,2020-05-25,Lambda,0,0.0,18
74490,Romania,2020-05-25,Mu,0,0.0,18
74491,Romania,2020-05-25,Omicron,0,0.0,18
74492,Romania,2020-05-25,S:677H.Robin1,0,0.0,18
74493,Romania,2020-05-25,S:677P.Pelican,0,0.0,18
74494,Romania,2020-05-25,others,17,94.44,18
74495,Romania,2020-05-25,non_who,18,100.0,18
74496,Romania,2020-06-08,Alpha,0,0.0,18
74497,Romania,2020-06-08,B.1.1.277,0,0.0,18
74498,Romania,2020-06-08,B.1.1.302,0,0.0,18
74499,Romania,2020-06-08,B.1.1.519,0,0.0,18
74500,Romania,2020-06-08,B.1.160,0,0.0,18
74501,Romania,2020-06-08,B.1.177,0,0.0,18
74502,Romania,2020-06-08,B.1.221,0,0.0,18
74503,Romania,2020-06-08,B.1.258,1,5.56,18
74504,Romania,2020-06-08,B.1.367,0,0.0,18
74505,Romania,2020-06-08,B.1.620,0,0.0,18
74506,Romania,2020-06-08,Beta,0,0.0,18
74507,Romania,2020-06-08,Delta,0,0.0,18
74508,Romania,2020-06-08,Epsilon,0,0.0,18
74509,Romania,2020-06-08,Eta,0,0.0,18
74510,Romania,2020-06-08,Gamma,0,0.0,18
74511,Romania,2020-06-08,Iota,0,0.0,18
74512,Romania,2020-06-08,Kappa,0,0.0,18
74513,Romania,2020-06-08,Lambda,0,0.0,18
74514,Romania,2020-06-08,Mu,0,0.0,18
74515,Romania,2020-06-08,Omicron,0,0.0,18
74516,Romania,2020-06-08,S:677H.Robin1,0,0.0,18
74517,Romania,2020-06-08,S:677P.Pelican,0,0.0,18
74518,Romania,2020-06-08,others,17,94.44,18
