,location,date,variant,num_sequences,perc_sequences,num_sequences_total
75504,Russia,2020-05-11,Alpha,0,0.0,65
75505,Russia,2020-05-11,B.1.1.277,0,0.0,65
75506,Russia,2020-05-11,B.1.1.302,0,0.0,65
75507,Russia,2020-05-11,B.1.1.519,0,0.0,65
75508,Russia,2020-05-11,B.1.160,0,0.0,65
75509,Russia,2020-05-11,B.1.177,0,0.0,65
75510,Russia,2020-05-11,B.1.221,0,0.0,65
75511,Russia,2020-05-11,B.1.258,0,0.0,65
75512,Russia,2020-05-11,B.1.367,0,0.0,65
75513,Russia,2020-05-11,B.1.620,0,0.0,65
75514,Russia,2020-05-11,Beta,0,0.0,65
75515,Russia,2020-05-11,Delta,0,0.0,65
75516,Russia,2020-05-11,Epsilon,0,0.0,65
75517,Russia,2020-05-11,Eta,0,0.0,65
75518,Russia,2020-05-11,Gamma,0,0.0,65
75519,Russia,2020-05-11,Iota,0,0.0,65
75520,Russia,2020-05-11,Kappa,0,0.0,65
75521,Russia,2020-05-11,Lambda,0,0.0,65
75522,Russia,2020-05-11,Mu,0,0.0,65
75523,Russia,2020-05-11,Omicron,0,0.0,65
75524,Russia,2020-05-11,S:677H.Robin1,0,0.0,65
75525,Russia,2020-05-11,S:677P.Pelican,0,0.0,65
75526,Russia,2020-05-11,others,65,100.0,65
75527,Russia,2020-05-11,non_who,65,100.0,65
75528,Russia,2020-05-25,Alpha,0,0.0,122
75529,Russia,2020-05-25,B.1.1.277,0,0.0,122
75530,Russia,2020-05-25,B.1.1.302,0,0.0,122
75531,Russia,2020-05-25,B.1.1.519,0,0.0,122
75532,Russia,2020-05-25,B.1.160,0,0.0,122
75533,Russia,2020-05-25,B.1.177,0,0.0,122
75534,Russia,2020-05-25,B.1.221,0,0.0,122
75535,Russia,2020-05-25,B.1.258,0,0.0,122
75536,Russia,2020-05-25,B.1.367,0,0.0,122
75537,Russia,2020-05-25,B.1.620,0,0.0,122
75538,Russia,2020-05-25,Beta,0,0.0,122
75539,Russia,2020-05-25,Delta,0,0.0,122
75540,Russia,2020-05-25,Epsilon,0,0.0,122
75541,Russia,2020-05-25,Eta,0,0.0,122
75542,Russia,2020-05-25,Gamma,0,0.0,122
75543,Russia,2020-05-25,Iota,0,0.0,122
75544,Russia,2020-05-25,Kappa,0,0.0,122
75545,Russia,2020-05-25,Lambda,0,0.0,122
75546,Russia,2020-05-25,Mu,0,0.0,122
75547,Russia,2020-05-25,Omicron,0,0.0,122
75548,Russia,2020-05-25,S:677H.Robin1,0,0.0,122
75549,Russia,2020-05-25,S:677P.Pelican,0,0.0,122
75550,Russia,2020-05-25,others,122,100.0,122
75551,Russia,2020-05-25,non_who,122,100.0,122
75552,Russia,2020-06-08,Alpha,0,0.0,154
75553,Russia,2020-06-08,B.1.1.277,0,0.0,154
75554,Russia,2020-06-08,B.1.1.302,0,0.0,154
75555,Russia,2020-06-08,B.1.1.519,0,0.0,154
75556,Russia,2020-06-08,B.1.160,0,0.0,154
75557,Russia,2020-06-08,B.1.177,0,0.0,154
75558,Russia,2020-06-08,B.1.221,0,0.0,154
75559,Russia,2020-06-08,B.1.258,0,0.0,154
75560,Russia,2020-06-08,B.1.367,0,0.0,154
75561,Russia,2020-06-08,B.1.620,0,0.0,154
75562,Russia,2020-06-08,Beta,0,0.0,154
75563,Russia,2020-06-08,Delta,0,0.0,154
75564,Russia,2020-06-08,Epsilon,0,0.0,154
75565,Russia,2020-06-08,Eta,0,0.0,154
75566,Russia,2020-06-08,Gamma,0,0.0,154
75567,Russia,2020-06-08,Iota,0,0.0,154
75568,Russia,2020-06-08,Kappa,0,0.0,154
75569,Russia,2020-06-08,Lambda,0,0.0,154
75570,Russia,2020-06-08,Mu,0,0.0,154
75571,Russia,2020-06-08,Omicron,0,0.0,154
75572,Russia,2020-06-08,S:677H.Robin1,0,0.0,154
75573,Russia,2020-06-08,S:677P.Pelican,0,0.0,154
75574,Russia,2020-06-08,others,154,100.0,154
75575,Russia,2020-06-08,non_who,154,100.0,154
75576,Russia,2020-06-22,Alpha,0,0.0,63
75577,Russia,2020-06-22,B.1.1.277,0,0.0,63
75578,Russia,2020-06-22,B.1.1.302,0,0.0,63
75579,Russia,2020-06-22,B.1.1.519,0,0.0,63
75580,Russia,2020-06-22,B.1.160,0,0.0,63
75581,Russia,2020-06-22,B.1.177,0,0.0,63
75582,Russia,2020-06-22,B.1.221,0,0.0,63
75583,Russia,2020-06-22,B.1.258,0,0.0,63
75584,Russia,2020-06-22,B.1.367,0,0.0,63
75585,Russia,2020-06-22,B.1.620,0,0.0,63
75586,Russia,2020-06-22,Beta,0,0.0,63
75587,Russia,2020-06-22,Delta,0,0.0,63
75588,Russia,2020-06-22,Epsilon,0,0.0,63
75589,Russia,2020-06-22,Eta,0,0.0,63
75590,Russia,2020-06-22,Gamma,0,0.0,63
75591,Russia,2020-06-22,Iota,0,0.0,63
75592,Russia,2020-06-22,Kappa,0,0.0,63
75593,Russia,2020-06-22,Lambda,0,0.0,63
75594,Russia,2020-06-22,Mu,0,0.0,63
75595,Russia,2020-06-22,Omicron,0,0.0,63
75596,Russia,2020-06-22,S:677H.Robin1,0,0.0,63
75597,Russia,2020-06-22,S:677P.Pelican,0,0.0,63
75598,Russia,2020-06-22,others,63,100.0,63
75599,Russia,2020-06-22,non_who,63,100.0,63
75600,Russia,2020-07-06,Alpha,0,0.0,37
75601,Russia,2020-07-06,B.1.1.277,0,0.0,37
75602,Russia,2020-07-06,B.1.1.302,0,0.0,37
75603,Russia,2020-07-06,B.1.1.519,0,0.0,37
75604,Russia,2020-07-06,B.1.160,0,0.0,37
75605,Russia,2020-07-06,B.1.177,0,0.0,37
75606,Russia,2020-07-06,B.1.221,0,0.0,37
75607,Russia,2020-07-06,B.1.258,0,0.0,37
75608,Russia,2020-07-06,B.1.367,0,0.0,37
75609,Russia,2020-07-06,B.1.620,0,0.0,37
75610,Russia,2020-07-06,Beta,0,0.0,37
75611,Russia,2020-07-06,Delta,0,0.0,37
75612,Russia,2020-07-06,Epsilon,0,0.0,37
75613,Russia,2020-07-06,Eta,0,0.0,37
75614,Russia,2020-07-06,Gamma,0,0.0,37
75615,Russia,2020-07-06,Iota,0,0.0,37
75616,Russia,2020-07-06,Kappa,0,0.0,37
75617,Russia,2020-07-06,Lambda,0,0.0,37
75618,Russia,2020-07-06,Mu,0,0.0,37
75619,Russia,2020-07-06,Omicron,0,0.0,37
75620,Russia,2020-07-06,S:677H.Robin1,0,0.0,37
75621,Russia,2020-07-06,S:677P.Pelican,0,0.0,37
75622,Russia,2020-07-06,others,37,100.0,37
75623,Russia,2020-07-06,non_who,37,100.0,37
75624,Russia,2020-07-20,Alpha,0,0.0,77
75625,Russia,2020-07-20,B.1.1.277,0,0.0,77
75626,Russia,2020-07-20,B.1.1.302,0,0.0,77
75627,Russia,2020-07-20,B.1.1.519,0,0.0,77
75628,Russia,2020-07-20,B.1.160,0,0.0,77
75629,Russia,2020-07-20,B.1.177,0,0.0,77
75630,Russia,2020-07-20,B.1.221,0,0.0,77
75631,Russia,2020-07-20,B.1.258,0,0.0,77
75632,Russia,2020-07-20,B.1.367,0,0.0,77
75633,Russia,2020-07-20,B.1.620,0,0.0,77
75634,Russia,2020-07-20,Beta,0,0.0,77
75635,Russia,2020-07-20,Delta,0,0.0,77
75636,Russia,2020-07-20,Epsilon,0,0.0,77
75637,Russia,2020-07-20,Eta,0,0.0,77
75638,Russia,2020-07-20,Gamma,0,0.0,77
75639,Russia,2020-07-20,Iota,0,0.0,77
75640,Russia,2020-07-20,Kappa,0,0.0,77
75641,Russia,2020-07-20,Lambda,0,0.0,77
75642,Russia,2020-07-20,Mu,0,0.0,77
75643,Russia,2020-07-20,Omicron,0,0.0,77
75644,Russia,2020-07-20,S:677H.Robin1,0,0.0,77
75645,Russia,2020-07-20,S:677P.Pelican,0,0.0,77
75646,Russia,2020-07-20,others,77,100.0,77
75647,Russia,2020-07-20,non_who,77,100.0,77
75648,Russia,2020-08-03,Alpha,0,0.0,53
75649,Russia,2020-08-03,B.1.1.277,0,0.0,53
75650,Russia,2020-08-03,B.1.1.302,0,0.0,53
75651,Russia,2020-08-03,B.1.1.519,0,0.0,53
75652,Russia,2020-08-03,B.1.160,0,0.0,53
75653,Russia,2020-08-03,B.1.177,0,0.0,53
75654,Russia,2020-08-03,B.1.221,0,0.0,53
75655,Russia,2020-08-03,B.1.258,0,0.0,53
75656,Russia,2020-08-03,B.1.367,0,0.0,53
75657,Russia,2020-08-03,B.1.620,0,0.0,53
75658,Russia,2020-08-03,Beta,0,0.0,53
75659,Russia,2020-08-03,Delta,0,0.0,53
75660,Russia,2020-08-03,Epsilon,0,0.0,53
75661,Russia,2020-08-03,Eta,0,0.0,53
75662,Russia,2020-08-03,Gamma,0,0.0,53
75663,Russia,2020-08-03,Iota,0,0.0,53
75664,Russia,2020-08-03,Kappa,0,0.0,53
75665,Russia,2020-08-03,Lambda,0,0.0,53
75666,Russia,2020-08-03,Mu,0,0.0,53
75667,Russia,2020-08-03,Omicron,0,0.0,53
75668,Russia,2020-08-03,S:677H.Robin1,0,0.0,53
75669,Russia,2020-08-03,S:677P.Pelican,0,0.0,53
75670,Russia,2020-08-03,others,53,100.0,53
75671,Russia,2020-08-03,non_who,53,100.0,53
75672,Russia,2020-08-17,Alpha,0,0.0,59
75673,Russia,2020-08-17,B.1.1.277,0,0.0,59
75674,Russia,2020-08-17,B.1.1.302,0,0.0,59
75675,Russia,2020-08-17,B.1.1.519,0,0.0,59
75676,Russia,2020-08-17,B.1.160,0,0.0,59
75677,Russia,2020-08-17,B.1.177,0,0.0,59
75678,Russia,2020-08-17,B.1.221,0,0.0,59
75679,Russia,2020-08-17,B.1.258,0,0.0,59
75680,Russia,2020-08-17,B.1.367,0,0.0,59
75681,Russia,2020-08-17,B.1.620,0,0.0,59
75682,Russia,2020-08-17,Beta,0,0.0,59
75683,Russia,2020-08-17,Delta,0,0.0,59
75684,Russia,2020-08-17,Epsilon,0,0.0,59
75685,Russia,2020-08-17,Eta,0,0.0,59
75686,Russia,2020-08-17,Gamma,0,0.0,59
75687,Russia,2020-08-17,Iota,0,0.0,59
75688,Russia,2020-08-17,Kappa,0,0.0,59
75689,Russia,2020-08-17,Lambda,0,0.0,59
75690,Russia,2020-08-17,Mu,0,0.0,59
75691,Russia,2020-08-17,Omicron,0,0.0,59
75692,Russia,2020-08-17,S:677H.Robin1,0,0.0,59
75693,Russia,2020-08-17,S:677P.Pelican,0,0.0,59
75694,Russia,2020-08-17,others,59,100.0,59
75695,Russia,2020-08-17,non_who,59,100.0,59
75696,Russia,2020-08-31,Alpha,0,0.0,73
75697,Russia,2020-08-31,B.1.1.277,0,0.0,73
75698,Russia,2020-08-31,B.1.1.302,0,0.0,73
75699,Russia,2020-08-31,B.1.1.519,0,0.0,73
75700,Russia,2020-08-31,B.1.160,0,0.0,73
75701,Russia,2020-08-31,B.1.177,0,0.0,73
75702,Russia,2020-08-31,B.1.221,0,0.0,73
75703,Russia,2020-08-31,B.1.258,0,0.0,73
75704,Russia,2020-08-31,B.1.367,0,0.0,73
75705,Russia,2020-08-31,B.1.620,0,0.0,73
75706,Russia,2020-08-31,Beta,0,0.0,73
75707,Russia,2020-08-31,Delta,0,0.0,73
75708,Russia,2020-08-31,Epsilon,0,0.0,73
75709,Russia,2020-08-31,Eta,0,0.0,73
75710,Russia,2020-08-31,Gamma,0,0.0,73
75711,Russia,2020-08-31,Iota,0,0.0,73
75712,Russia,2020-08-31,Kappa,0,0.0,73
75713,Russia,2020-08-31,Lambda,0,0.0,73
75714,Russia,2020-08-31,Mu,0,0.0,73
75715,Russia,2020-08-31,Omicron,0,0.0,73
75716,Russia,2020-08-31,S:677H.Robin1,0,0.0,73
75717,Russia,2020-08-31,S:677P.Pelican,0,0.0,73
75718,Russia,2020-08-31,others,73,100.0,73
75719,Russia,2020-08-31,non_who,73,100.0,73
75720,Russia,2020-09-14,Alpha,0,0.0,134
75721,Russia,2020-09-14,B.1.1.277,0,0.0,134
75722,Russia,2020-09-14,B.1.1.302,0,0.0,134
75723,Russia,2020-09-14,B.1.1.519,0,0.0,134
75724,Russia,2020-09-14,B.1.160,0,0.0,134
75725,Russia,2020-09-14,B.1.177,0,0.0,134
75726,Russia,2020-09-14,B.1.221,0,0.0,134
75727,Russia,2020-09-14,B.1.258,0,0.0,134
75728,Russia,2020-09-14,B.1.367,0,0.0,134
75729,Russia,2020-09-14,B.1.620,0,0.0,134
75730,Russia,2020-09-14,Beta,0,0.0,134
75731,Russia,2020-09-14,Delta,0,0.0,134
75732,Russia,2020-09-14,Epsilon,0,0.0,134
75733,Russia,2020-09-14,Eta,0,0.0,134
75734,Russia,2020-09-14,Gamma,0,0.0,134
75735,Russia,2020-09-14,Iota,0,0.0,134
75736,Russia,2020-09-14,Kappa,0,0.0,134
75737,Russia,2020-09-14,Lambda,0,0.0,134
75738,Russia,2020-09-14,Mu,0,0.0,134
75739,Russia,2020-09-14,Omicron,0,0.0,134
75740,Russia,2020-09-14,S:677H.Robin1,0,0.0,134
75741,Russia,2020-09-14,S:677P.Pelican,0,0.0,134
75742,Russia,2020-09-14,others,134,100.0,134
75743,Russia,2020-09-14,non_who,134,100.0,134
75744,Russia,2020-09-28,Alpha,0,0.0,228
75745,Russia,2020-09-28,B.1.1.277,0,0.0,228
75746,Russia,2020-09-28,B.1.1.302,0,0.0,228
75747,Russia,2020-09-28,B.1.1.519,0,0.0,228
75748,Russia,2020-09-28,B.1.160,0,0.0,228
75749,Russia,2020-09-28,B.1.177,0,0.0,228
75750,Russia,2020-09-28,B.1.221,0,0.0,228
75751,Russia,2020-09-28,B.1.258,0,0.0,228
75752,Russia,2020-09-28,B.1.367,0,0.0,228
75753,Russia,2020-09-28,B.1.620,0,0.0,228
75754,Russia,2020-09-28,Beta,0,0.0,228
75755,Russia,2020-09-28,Delta,0,0.0,228
75756,Russia,2020-09-28,Epsilon,0,0.0,228
75757,Russia,2020-09-28,Eta,0,0.0,228
75758,Russia,2020-09-28,Gamma,0,0.0,228
75759,Russia,2020-09-28,Iota,0,0.0,228
75760,Russia,2020-09-28,Kappa,0,0.0,228
75761,Russia,2020-09-28,Lambda,0,0.0,228
75762,Russia,2020-09-28,Mu,0,0.0,228
75763,Russia,2020-09-28,Omicron,0,0.0,228
75764,Russia,2020-09-28,S:677H.Robin1,0,0.0,228
75765,Russia,2020-09-28,S:677P.Pelican,0,0.0,228
75766,Russia,2020-09-28,others,228,100.0,228
75767,Russia,2020-09-28,non_who,228,100.0,228
75768,Russia,2020-10-12,Alpha,0,0.0,228
75769,Russia,2020-10-12,B.1.1.277,0,0.0,228
75770,Russia,2020-10-12,B.1.1.302,0,0.0,228
75771,Russia,2020-10-12,B.1.1.519,0,0.0,228
75772,Russia,2020-10-12,B.1.160,0,0.0,228
75773,Russia,2020-10-12,B.1.177,0,0.0,228
75774,Russia,2020-10-12,B.1.221,0,0.0,228
75775,Russia,2020-10-12,B.1.258,0,0.0,228
75776,Russia,2020-10-12,B.1.367,0,0.0,228
75777,Russia,2020-10-12,B.1.620,0,0.0,228
75778,Russia,2020-10-12,Beta,0,0.0,228
75779,Russia,2020-10-12,Delta,0,0.0,228
75780,Russia,2020-10-12,Epsilon,0,0.0,228
75781,Russia,2020-10-12,Eta,0,0.0,228
75782,Russia,2020-10-12,Gamma,0,0.0,228
75783,Russia,2020-10-12,Iota,0,0.0,228
75784,Russia,2020-10-12,Kappa,0,0.0,228
75785,Russia,2020-10-12,Lambda,0,0.0,228
75786,Russia,2020-10-12,Mu,0,0.0,228
75787,Russia,2020-10-12,Omicron,0,0.0,228
75788,Russia,2020-10-12,S:677H.Robin1,0,0.0,228
75789,Russia,2020-10-12,S:677P.Pelican,0,0.0,228
75790,Russia,2020-10-12,others,228,100.0,228
75791,Russia,2020-10-12,non_who,228,100.0,228
75792,Russia,2020-10-26,Alpha,0,0.0,104
75793,Russia,2020-10-26,B.1.1.277,0,0.0,104
75794,Russia,2020-10-26,B.1.1.302,0,0.0,104
75795,Russia,2020-10-26,B.1.1.519,0,0.0,104
75796,Russia,2020-10-26,B.1.160,0,0.0,104
75797,Russia,2020-10-26,B.1.177,0,0.0,104
75798,Russia,2020-10-26,B.1.221,0,0.0,104
75799,Russia,2020-10-26,B.1.258,0,0.0,104
75800,Russia,2020-10-26,B.1.367,0,0.0,104
75801,Russia,2020-10-26,B.1.620,0,0.0,104
75802,Russia,2020-10-26,Beta,0,0.0,104
75803,Russia,2020-10-26,Delta,0,0.0,104
75804,Russia,2020-10-26,Epsilon,0,0.0,104
75805,Russia,2020-10-26,Eta,0,0.0,104
75806,Russia,2020-10-26,Gamma,0,0.0,104
75807,Russia,2020-10-26,Iota,0,0.0,104
75808,Russia,2020-10-26,Kappa,0,0.0,104
75809,Russia,2020-10-26,Lambda,0,0.0,104
75810,Russia,2020-10-26,Mu,0,0.0,104
75811,Russia,2020-10-26,Omicron,0,0.0,104
75812,Russia,2020-10-26,S:677H.Robin1,0,0.0,104
75813,Russia,2020-10-26,S:677P.Pelican,0,0.0,104
75814,Russia,2020-10-26,others,104,100.0,104
75815,Russia,2020-10-26,non_who,104,100.0,104
75816,Russia,2020-11-09,Alpha,0,0.0,91
75817,Russia,2020-11-09,B.1.1.277,0,0.0,91
75818,Russia,2020-11-09,B.1.1.302,0,0.0,91
75819,Russia,2020-11-09,B.1.1.519,0,0.0,91
75820,Russia,2020-11-09,B.1.160,0,0.0,91
75821,Russia,2020-11-09,B.1.177,0,0.0,91
75822,Russia,2020-11-09,B.1.221,0,0.0,91
75823,Russia,2020-11-09,B.1.258,0,0.0,91
75824,Russia,2020-11-09,B.1.367,0,0.0,91
75825,Russia,2020-11-09,B.1.620,0,0.0,91
75826,Russia,2020-11-09,Beta,0,0.0,91
75827,Russia,2020-11-09,Delta,0,0.0,91
75828,Russia,2020-11-09,Epsilon,0,0.0,91
75829,Russia,2020-11-09,Eta,0,0.0,91
75830,Russia,2020-11-09,Gamma,0,0.0,91
75831,Russia,2020-11-09,Iota,0,0.0,91
75832,Russia,2020-11-09,Kappa,0,0.0,91
75833,Russia,2020-11-09,Lambda,0,0.0,91
75834,Russia,2020-11-09,Mu,0,0.0,91
75835,Russia,2020-11-09,Omicron,0,0.0,91
75836,Russia,2020-11-09,S:677H.Robin1,0,0.0,91
75837,Russia,2020-11-09,S:677P.Pelican,0,0.0,91
75838,Russia,2020-11-09,others,91,100.0,91
75839,Russia,2020-11-09,non_who,91,100.0,91
75840,Russia,2020-11-23,Alpha,0,0.0,275
75841,Russia,2020-11-23,B.1.1.277,0,0.0,275
75842,Russia,2020-11-23,B.1.1.302,0,0.0,275
75843,Russia,2020-11-23,B.1.1.519,0,0.0,275
75844,Russia,2020-11-23,B.1.160,0,0.0,275
75845,Russia,2020-11-23,B.1.177,0,0.0,275
75846,Russia,2020-11-23,B.1.221,0,0.0,275
75847,Russia,2020-11-23,B.1.258,0,0.0,275
75848,Russia,2020-11-23,B.1.367,0,0.0,275
75849,Russia,2020-11-23,B.1.620,0,0.0,275
75850,Russia,2020-11-23,Beta,0,0.0,275
75851,Russia,2020-11-23,Delta,0,0.0,275
75852,Russia,2020-11-23,Epsilon,0,0.0,275
75853,Russia,2020-11-23,Eta,0,0.0,275
75854,Russia,2020-11-23,Gamma,0,0.0,275
75855,Russia,2020-11-23,Iota,0,0.0,275
75856,Russia,2020-11-23,Kappa,0,0.0,275
75857,Russia,2020-11-23,Lambda,0,0.0,275
75858,Russia,2020-11-23,Mu,0,0.0,275
75859,Russia,2020-11-23,Omicron,0,0.0,275
75860,Russia,2020-11-23,S:677H.Robin1,0,0.0,275
75861,Russia,2020-11-23,S:677P.Pelican,0,0.0,275
75862,Russia,2020-11-23,others,275,100.0,275
75863,Russia,2020-11-23,non_who,275,100.0,275
75864,Russia,2020-12-07,Alpha,0,0.0,145
75865,Russia,2020-12-07,B.1.1.277,0,0.0,145
75866,Russia,2020-12-07,B.1.1.302,0,0.0,145
75867,Russia,2020-12-07,B.1.1.519,0,0.0,145
75868,Russia,2020-12-07,B.1.160,0,0.0,145
75869,Russia,2020-12-07,B.1.177,0,0.0,145
75870,Russia,2020-12-07,B.1.221,0,0.0,145
75871,Russia,2020-12-07,B.1.258,0,0.0,145
75872,Russia,2020-12-07,B.1.367,0,0.0,145
75873,Russia,2020-12-07,B.1.620,0,0.0,145
75874,Russia,2020-12-07,Beta,0,0.0,145
75875,Russia,2020-12-07,Delta,0,0.0,145
75876,Russia,2020-12-07,Epsilon,0,0.0,145
75877,Russia,2020-12-07,Eta,0,0.0,145
75878,Russia,2020-12-07,Gamma,0,0.0,145
75879,Russia,2020-12-07,Iota,0,0.0,145
75880,Russia,2020-12-07,Kappa,0,0.0,145
75881,Russia,2020-12-07,Lambda,0,0.0,145
75882,Russia,2020-12-07,Mu,0,0.0,145
75883,Russia,2020-12-07,Omicron,0,0.0,145
75884,Russia,2020-12-07,S:677H.Robin1,0,0.0,145
75885,Russia,2020-12-07,S:677P.Pelican,0,0.0,145
75886,Russia,2020-12-07,others,145,100.0,145
75887,Russia,2020-12-07,non_who,145,100.0,145
75888,Russia,2020-12-21,Alpha,0,0.0,188
75889,Russia,2020-12-21,B.1.1.277,0,0.0,188
75890,Russia,2020-12-21,B.1.1.302,0,0.0,188
75891,Russia,2020-12-21,B.1.1.519,0,0.0,188
75892,Russia,2020-12-21,B.1.160,0,0.0,188
75893,Russia,2020-12-21,B.1.177,0,0.0,188
