,location,date,variant,num_sequences,perc_sequences,num_sequences_total
76560,Rwanda,2020-06-08,Alpha,0,0.0,1
76561,Rwanda,2020-06-08,B.1.1.277,0,0.0,1
76562,Rwanda,2020-06-08,B.1.1.302,0,0.0,1
76563,Rwanda,2020-06-08,B.1.1.519,0,0.0,1
76564,Rwanda,2020-06-08,B.1.160,0,0.0,1
76565,Rwanda,2020-06-08,B.1.177,0,0.0,1
76566,Rwanda,2020-06-08,B.1.221,0,0.0,1
76567,Rwanda,2020-06-08,B.1.258,0,0.0,1
76568,Rwanda,2020-06-08,B.1.367,0,0.0,1
76569,Rwanda,2020-06-08,B.1.620,0,0.0,1
76570,Rwanda,2020-06-08,Beta,0,0.0,1
76571,Rwanda,2020-06-08,Delta,0,0.0,1
76572,Rwanda,2020-06-08,Epsilon,0,0.0,1
76573,Rwanda,2020-06-08,Eta,0,0.0,1
76574,Rwanda,2020-06-08,Gamma,0,0.0,1
76575,Rwanda,2020-06-08,Iota,0,0.0,1
76576,Rwanda,2020-06-08,Kappa,0,0.0,1
76577,Rwanda,2020-06-08,Lambda,0,0.0,1
76578,Rwanda,2020-06-08,Mu,0,0.0,1
76579,Rwanda,2020-06-08,Omicron,0,0.0,1
76580,Rwanda,2020-06-08,S:677H.Robin1,0,0.0,1
76581,Rwanda,2020-06-08,S:677P.Pelican,0,0.0,1
76582,Rwanda,2020-06-08,others,1,100.0,1
76583,Rwanda,2020-06-08,non_who,1,100.0,1
76584,Rwanda,2020-06-22,Alpha,0,0.0,8
76585,Rwanda,2020-06-22,B.1.1.277,0,0.0,8
76586,Rwanda,2020-06-22,B.1.1.302,0,0.0,8
76587,Rwanda,2020-06-22,B.1.1.519,0,0.0,8
76588,Rwanda,2020-06-22,B.1.160,0,0.0,8
76589,Rwanda,2020-06-22,B.1.177,0,0.0,8
76590,Rwanda,2020-06-22,B.1.221,0,0.0,8
76591,Rwanda,2020-06-22,B.1.258,0,0.0,8
76592,Rwanda,2020-06-22,B.1.367,0,0.0,8
76593,Rwanda,2020-06-22,B.1.620,0,0.0,8
76594,Rwanda,2020-06-22,Beta,0,0.0,8
76595,Rwanda,2020-06-22,Delta,0,0.0,8
76596,Rwanda,2020-06-22,Epsilon,0,0.0,8
76597,Rwanda,2020-06-22,Eta,0,0.0,8
76598,Rwanda,2020-06-22,Gamma,0,0.0,8
76599,Rwanda,2020-06-22,Iota,0,0.0,8
76600,Rwanda,2020-06-22,Kappa,0,0.0,8
76601,Rwanda,2020-06-22,Lambda,0,0.0,8
76602,Rwanda,2020-06-22,Mu,0,0.0,8
76603,Rwanda,2020-06-22,Omicron,0,0.0,8
76604,Rwanda,2020-06-22,S:677H.Robin1,0,0.0,8
76605,Rwanda,2020-06-22,S:677P.Pelican,0,0.0,8
76606,Rwanda,2020-06-22,others,8,100.0,8
76607,Rwanda,2020-06-22,non_who,8,100.0,8
76608,Rwanda,2020-07-20,Alpha,0,0.0,4
76609,Rwanda,2020-07-20,B.1.1.277,0,0.0,4
76610,Rwanda,2020-07-20,B.1.1.302,0,0.0,4
76611,Rwanda,2020-07-20,B.1.1.519,0,0.0,4
76612,Rwanda,2020-07-20,B.1.160,0,0.0,4
76613,Rwanda,2020-07-20,B.1.177,0,0.0,4
76614,Rwanda,2020-07-20,B.1.221,0,0.0,4
76615,Rwanda,2020-07-20,B.1.258,0,0.0,4
76616,Rwanda,2020-07-20,B.1.367,0,0.0,4
76617,Rwanda,2020-07-20,B.1.620,0,0.0,4
76618,Rwanda,2020-07-20,Beta,0,0.0,4
76619,Rwanda,2020-07-20,Delta,0,0.0,4
76620,Rwanda,2020-07-20,Epsilon,0,0.0,4
76621,Rwanda,2020-07-20,Eta,0,0.0,4
76622,Rwanda,2020-07-20,Gamma,0,0.0,4
76623,Rwanda,2020-07-20,Iota,0,0.0,4
76624,Rwanda,2020-07-20,Kappa,0,0.0,4
76625,Rwanda,2020-07-20,Lambda,0,0.0,4
76626,Rwanda,2020-07-20,Mu,0,0.0,4
76627,Rwanda,2020-07-20,Omicron,0,0.0,4
76628,Rwanda,2020-07-20,S:677H.Robin1,0,0.0,4
76629,Rwanda,2020-07-20,S:677P.Pelican,0,0.0,4
76630,Rwanda,2020-07-20,others,4,100.0,4
76631,Rwanda,2020-07-20,non_who,4,100.0,4
76632,Rwanda,2020-08-03,Alpha,0,0.0,4
76633,Rwanda,2020-08-03,B.1.1.277,0,0.0,4
76634,Rwanda,2020-08-03,B.1.1.302,0,0.0,4
76635,Rwanda,2020-08-03,B.1.1.519,0,0.0,4
76636,Rwanda,2020-08-03,B.1.160,0,0.0,4
76637,Rwanda,2020-08-03,B.1.177,0,0.0,4
76638,Rwanda,2020-08-03,B.1.221,0,0.0,4
76639,Rwanda,2020-08-03,B.1.258,0,0.0,4
76640,Rwanda,2020-08-03,B.1.367,0,0.0,4
76641,Rwanda,2020-08-03,B.1.620,0,0.0,4
76642,Rwanda,2020-08-03,Beta,0,0.0,4
76643,Rwanda,2020-08-03,Delta,0,0.0,4
76644,Rwanda,2020-08-03,Epsilon,0,0.0,4
76645,Rwanda,2020-08-03,Eta,0,0.0,4
76646,Rwanda,2020-08-03,Gamma,0,0.0,4
76647,Rwanda,2020-08-03,Iota,0,0.0,4
76648,Rwanda,2020-08-03,Kappa,0,0.0,4
76649,Rwanda,2020-08-03,Lambda,0,0.0,4
76650,Rwanda,2020-08-03,Mu,0,0.0,4
76651,Rwanda,2020-08-03,Omicron,0,0.0,4
76652,Rwanda,2020-08-03,S:677H.Robin1,0,0.0,4
76653,Rwanda,2020-08-03,S:677P.Pelican,0,0.0,4
76654,Rwanda,2020-08-03,others,4,100.0,4
76655,Rwanda,2020-08-03,non_who,4,100.0,4
76656,Rwanda,2020-08-17,Alpha,0,0.0,11
76657,Rwanda,2020-08-17,B.1.1.277,0,0.0,11
