,location,date,variant,num_sequences,perc_sequences,num_sequences_total
77352,Senegal,2020-06-08,Alpha,0,0.0,13
77353,Senegal,2020-06-08,B.1.1.277,0,0.0,13
77354,Senegal,2020-06-08,B.1.1.302,0,0.0,13
77355,Senegal,2020-06-08,B.1.1.519,0,0.0,13
77356,Senegal,2020-06-08,B.1.160,0,0.0,13
77357,Senegal,2020-06-08,B.1.177,0,0.0,13
77358,Senegal,2020-06-08,B.1.221,0,0.0,13
77359,Senegal,2020-06-08,B.1.258,0,0.0,13
77360,Senegal,2020-06-08,B.1.367,0,0.0,13
77361,Senegal,2020-06-08,B.1.620,0,0.0,13
77362,Senegal,2020-06-08,Beta,0,0.0,13
77363,Senegal,2020-06-08,Delta,0,0.0,13
77364,Senegal,2020-06-08,Epsilon,0,0.0,13
77365,Senegal,2020-06-08,Eta,0,0.0,13
77366,Senegal,2020-06-08,Gamma,0,0.0,13
77367,Senegal,2020-06-08,Iota,0,0.0,13
77368,Senegal,2020-06-08,Kappa,0,0.0,13
77369,Senegal,2020-06-08,Lambda,0,0.0,13
77370,Senegal,2020-06-08,Mu,0,0.0,13
77371,Senegal,2020-06-08,Omicron,0,0.0,13
77372,Senegal,2020-06-08,S:677H.Robin1,0,0.0,13
77373,Senegal,2020-06-08,S:677P.Pelican,0,0.0,13
77374,Senegal,2020-06-08,others,13,100.0,13
77375,Senegal,2020-06-08,non_who,13,100.0,13
77376,Senegal,2020-06-22,Alpha,0,0.0,62
77377,Senegal,2020-06-22,B.1.1.277,0,0.0,62
77378,Senegal,2020-06-22,B.1.1.302,0,0.0,62
77379,Senegal,2020-06-22,B.1.1.519,0,0.0,62
77380,Senegal,2020-06-22,B.1.160,0,0.0,62
77381,Senegal,2020-06-22,B.1.177,0,0.0,62
77382,Senegal,2020-06-22,B.1.221,0,0.0,62
77383,Senegal,2020-06-22,B.1.258,0,0.0,62
77384,Senegal,2020-06-22,B.1.367,0,0.0,62
77385,Senegal,2020-06-22,B.1.620,0,0.0,62
77386,Senegal,2020-06-22,Beta,0,0.0,62
77387,Senegal,2020-06-22,Delta,0,0.0,62
77388,Senegal,2020-06-22,Epsilon,0,0.0,62
77389,Senegal,2020-06-22,Eta,0,0.0,62
77390,Senegal,2020-06-22,Gamma,0,0.0,62
77391,Senegal,2020-06-22,Iota,0,0.0,62
77392,Senegal,2020-06-22,Kappa,0,0.0,62
77393,Senegal,2020-06-22,Lambda,0,0.0,62
77394,Senegal,2020-06-22,Mu,0,0.0,62
77395,Senegal,2020-06-22,Omicron,0,0.0,62
77396,Senegal,2020-06-22,S:677H.Robin1,0,0.0,62
77397,Senegal,2020-06-22,S:677P.Pelican,0,0.0,62
77398,Senegal,2020-06-22,others,62,100.0,62
77399,Senegal,2020-06-22,non_who,62,100.0,62
77400,Senegal,2020-07-06,Alpha,0,0.0,8
77401,Senegal,2020-07-06,B.1.1.277,0,0.0,8
77402,Senegal,2020-07-06,B.1.1.302,0,0.0,8
77403,Senegal,2020-07-06,B.1.1.519,0,0.0,8
77404,Senegal,2020-07-06,B.1.160,0,0.0,8
77405,Senegal,2020-07-06,B.1.177,0,0.0,8
77406,Senegal,2020-07-06,B.1.221,0,0.0,8
77407,Senegal,2020-07-06,B.1.258,0,0.0,8
77408,Senegal,2020-07-06,B.1.367,0,0.0,8
77409,Senegal,2020-07-06,B.1.620,0,0.0,8
77410,Senegal,2020-07-06,Beta,0,0.0,8
77411,Senegal,2020-07-06,Delta,0,0.0,8
