,location,date,variant,num_sequences,perc_sequences,num_sequences_total
78264,Serbia,2020-05-11,Alpha,0,0.0,30
78265,Serbia,2020-05-11,B.1.1.277,0,0.0,30
78266,Serbia,2020-05-11,B.1.1.302,0,0.0,30
78267,Serbia,2020-05-11,B.1.1.519,0,0.0,30
78268,Serbia,2020-05-11,B.1.160,0,0.0,30
78269,Serbia,2020-05-11,B.1.177,0,0.0,30
78270,Serbia,2020-05-11,B.1.221,0,0.0,30
78271,Serbia,2020-05-11,B.1.258,0,0.0,30
78272,Serbia,2020-05-11,B.1.367,0,0.0,30
78273,Serbia,2020-05-11,B.1.620,0,0.0,30
78274,Serbia,2020-05-11,Beta,0,0.0,30
78275,Serbia,2020-05-11,Delta,0,0.0,30
78276,Serbia,2020-05-11,Epsilon,0,0.0,30
78277,Serbia,2020-05-11,Eta,0,0.0,30
78278,Serbia,2020-05-11,Gamma,0,0.0,30
78279,Serbia,2020-05-11,Iota,0,0.0,30
78280,Serbia,2020-05-11,Kappa,0,0.0,30
78281,Serbia,2020-05-11,Lambda,0,0.0,30
78282,Serbia,2020-05-11,Mu,0,0.0,30
78283,Serbia,2020-05-11,Omicron,0,0.0,30
78284,Serbia,2020-05-11,S:677H.Robin1,0,0.0,30
78285,Serbia,2020-05-11,S:677P.Pelican,0,0.0,30
78286,Serbia,2020-05-11,others,30,100.0,30
78287,Serbia,2020-05-11,non_who,30,100.0,30
78288,Serbia,2020-05-25,Alpha,0,0.0,8
78289,Serbia,2020-05-25,B.1.1.277,0,0.0,8
78290,Serbia,2020-05-25,B.1.1.302,0,0.0,8
78291,Serbia,2020-05-25,B.1.1.519,0,0.0,8
78292,Serbia,2020-05-25,B.1.160,0,0.0,8
78293,Serbia,2020-05-25,B.1.177,0,0.0,8
78294,Serbia,2020-05-25,B.1.221,0,0.0,8
78295,Serbia,2020-05-25,B.1.258,0,0.0,8
78296,Serbia,2020-05-25,B.1.367,0,0.0,8
78297,Serbia,2020-05-25,B.1.620,0,0.0,8
78298,Serbia,2020-05-25,Beta,0,0.0,8
78299,Serbia,2020-05-25,Delta,0,0.0,8
78300,Serbia,2020-05-25,Epsilon,0,0.0,8
78301,Serbia,2020-05-25,Eta,0,0.0,8
78302,Serbia,2020-05-25,Gamma,0,0.0,8
78303,Serbia,2020-05-25,Iota,0,0.0,8
78304,Serbia,2020-05-25,Kappa,0,0.0,8
78305,Serbia,2020-05-25,Lambda,0,0.0,8
78306,Serbia,2020-05-25,Mu,0,0.0,8
78307,Serbia,2020-05-25,Omicron,0,0.0,8
78308,Serbia,2020-05-25,S:677H.Robin1,0,0.0,8
78309,Serbia,2020-05-25,S:677P.Pelican,0,0.0,8
78310,Serbia,2020-05-25,others,8,100.0,8
78311,Serbia,2020-05-25,non_who,8,100.0,8
78312,Serbia,2020-06-08,Alpha,0,0.0,3
78313,Serbia,2020-06-08,B.1.1.277,0,0.0,3
78314,Serbia,2020-06-08,B.1.1.302,0,0.0,3
78315,Serbia,2020-06-08,B.1.1.519,0,0.0,3
78316,Serbia,2020-06-08,B.1.160,0,0.0,3
78317,Serbia,2020-06-08,B.1.177,0,0.0,3
78318,Serbia,2020-06-08,B.1.221,0,0.0,3
78319,Serbia,2020-06-08,B.1.258,0,0.0,3
78320,Serbia,2020-06-08,B.1.367,0,0.0,3
78321,Serbia,2020-06-08,B.1.620,0,0.0,3
78322,Serbia,2020-06-08,Beta,0,0.0,3
78323,Serbia,2020-06-08,Delta,0,0.0,3
78324,Serbia,2020-06-08,Epsilon,0,0.0,3
78325,Serbia,2020-06-08,Eta,0,0.0,3
78326,Serbia,2020-06-08,Gamma,0,0.0,3
78327,Serbia,2020-06-08,Iota,0,0.0,3
78328,Serbia,2020-06-08,Kappa,0,0.0,3
78329,Serbia,2020-06-08,Lambda,0,0.0,3
78330,Serbia,2020-06-08,Mu,0,0.0,3
78331,Serbia,2020-06-08,Omicron,0,0.0,3
78332,Serbia,2020-06-08,S:677H.Robin1,0,0.0,3
78333,Serbia,2020-06-08,S:677P.Pelican,0,0.0,3
78334,Serbia,2020-06-08,others,3,100.0,3
78335,Serbia,2020-06-08,non_who,3,100.0,3
78336,Serbia,2020-06-22,Alpha,0,0.0,11
78337,Serbia,2020-06-22,B.1.1.277,0,0.0,11
78338,Serbia,2020-06-22,B.1.1.302,0,0.0,11
78339,Serbia,2020-06-22,B.1.1.519,0,0.0,11
78340,Serbia,2020-06-22,B.1.160,0,0.0,11
78341,Serbia,2020-06-22,B.1.177,0,0.0,11
78342,Serbia,2020-06-22,B.1.221,0,0.0,11
78343,Serbia,2020-06-22,B.1.258,0,0.0,11
78344,Serbia,2020-06-22,B.1.367,0,0.0,11
78345,Serbia,2020-06-22,B.1.620,0,0.0,11
78346,Serbia,2020-06-22,Beta,0,0.0,11
78347,Serbia,2020-06-22,Delta,0,0.0,11
78348,Serbia,2020-06-22,Epsilon,0,0.0,11
78349,Serbia,2020-06-22,Eta,0,0.0,11
78350,Serbia,2020-06-22,Gamma,0,0.0,11
78351,Serbia,2020-06-22,Iota,0,0.0,11
78352,Serbia,2020-06-22,Kappa,0,0.0,11
78353,Serbia,2020-06-22,Lambda,0,0.0,11
78354,Serbia,2020-06-22,Mu,0,0.0,11
78355,Serbia,2020-06-22,Omicron,0,0.0,11
78356,Serbia,2020-06-22,S:677H.Robin1,0,0.0,11
78357,Serbia,2020-06-22,S:677P.Pelican,0,0.0,11
78358,Serbia,2020-06-22,others,11,100.0,11
78359,Serbia,2020-06-22,non_who,11,100.0,11
78360,Serbia,2020-07-06,Alpha,0,0.0,13
78361,Serbia,2020-07-06,B.1.1.277,0,0.0,13
78362,Serbia,2020-07-06,B.1.1.302,0,0.0,13
78363,Serbia,2020-07-06,B.1.1.519,0,0.0,13
78364,Serbia,2020-07-06,B.1.160,0,0.0,13
78365,Serbia,2020-07-06,B.1.177,0,0.0,13
78366,Serbia,2020-07-06,B.1.221,0,0.0,13
78367,Serbia,2020-07-06,B.1.258,0,0.0,13
78368,Serbia,2020-07-06,B.1.367,0,0.0,13
78369,Serbia,2020-07-06,B.1.620,0,0.0,13
78370,Serbia,2020-07-06,Beta,0,0.0,13
78371,Serbia,2020-07-06,Delta,0,0.0,13
78372,Serbia,2020-07-06,Epsilon,0,0.0,13
78373,Serbia,2020-07-06,Eta,0,0.0,13
78374,Serbia,2020-07-06,Gamma,0,0.0,13
78375,Serbia,2020-07-06,Iota,0,0.0,13
78376,Serbia,2020-07-06,Kappa,0,0.0,13
78377,Serbia,2020-07-06,Lambda,0,0.0,13
78378,Serbia,2020-07-06,Mu,0,0.0,13
78379,Serbia,2020-07-06,Omicron,0,0.0,13
78380,Serbia,2020-07-06,S:677H.Robin1,0,0.0,13
78381,Serbia,2020-07-06,S:677P.Pelican,0,0.0,13
78382,Serbia,2020-07-06,others,13,100.0,13
78383,Serbia,2020-07-06,non_who,13,100.0,13
78384,Serbia,2020-07-20,Alpha,0,0.0,27
78385,Serbia,2020-07-20,B.1.1.277,0,0.0,27
78386,Serbia,2020-07-20,B.1.1.302,0,0.0,27
78387,Serbia,2020-07-20,B.1.1.519,0,0.0,27
78388,Serbia,2020-07-20,B.1.160,0,0.0,27
78389,Serbia,2020-07-20,B.1.177,0,0.0,27
78390,Serbia,2020-07-20,B.1.221,0,0.0,27
78391,Serbia,2020-07-20,B.1.258,0,0.0,27
78392,Serbia,2020-07-20,B.1.367,0,0.0,27
