,location,date,variant,num_sequences,perc_sequences,num_sequences_total
79176,Seychelles,2020-07-06,Alpha,0,0.0,2
79177,Seychelles,2020-07-06,B.1.1.277,0,0.0,2
79178,Seychelles,2020-07-06,B.1.1.302,0,0.0,2
79179,Seychelles,2020-07-06,B.1.1.519,0,0.0,2
79180,Seychelles,2020-07-06,B.1.160,0,0.0,2
79181,Seychelles,2020-07-06,B.1.177,0,0.0,2
79182,Seychelles,2020-07-06,B.1.221,0,0.0,2
79183,Seychelles,2020-07-06,B.1.258,0,0.0,2
79184,Seychelles,2020-07-06,B.1.367,0,0.0,2
79185,Seychelles,2020-07-06,B.1.620,0,0.0,2
79186,Seychelles,2020-07-06,Beta,0,0.0,2
79187,Seychelles,2020-07-06,Delta,0,0.0,2
79188,Seychelles,2020-07-06,Epsilon,0,0.0,2
79189,Seychelles,2020-07-06,Eta,0,0.0,2
79190,Seychelles,2020-07-06,Gamma,0,0.0,2
79191,Seychelles,2020-07-06,Iota,0,0.0,2
79192,Seychelles,2020-07-06,Kappa,0,0.0,2
79193,Seychelles,2020-07-06,Lambda,0,0.0,2
79194,Seychelles,2020-07-06,Mu,0,0.0,2
79195,Seychelles,2020-07-06,Omicron,0,0.0,2
79196,Seychelles,2020-07-06,S:677H.Robin1,0,0.0,2
79197,Seychelles,2020-07-06,S:677P.Pelican,0,0.0,2
79198,Seychelles,2020-07-06,others,2,100.0,2
79199,Seychelles,2020-07-06,non_who,2,100.0,2
79200,Seychelles,2020-09-28,Alpha,0,0.0,1
79201,Seychelles,2020-09-28,B.1.1.277,0,0.0,1
79202,Seychelles,2020-09-28,B.1.1.302,0,0.0,1
79203,Seychelles,2020-09-28,B.1.1.519,0,0.0,1
79204,Seychelles,2020-09-28,B.1.160,0,0.0,1
79205,Seychelles,2020-09-28,B.1.177,0,0.0,1
79206,Seychelles,2020-09-28,B.1.221,0,0.0,1
79207,Seychelles,2020-09-28,B.1.258,0,0.0,1
79208,Seychelles,2020-09-28,B.1.367,0,0.0,1
79209,Seychelles,2020-09-28,B.1.620,0,0.0,1
79210,Seychelles,2020-09-28,Beta,0,0.0,1
79211,Seychelles,2020-09-28,Delta,0,0.0,1
79212,Seychelles,2020-09-28,Epsilon,0,0.0,1
79213,Seychelles,2020-09-28,Eta,0,0.0,1
79214,Seychelles,2020-09-28,Gamma,0,0.0,1
79215,Seychelles,2020-09-28,Iota,0,0.0,1
79216,Seychelles,2020-09-28,Kappa,0,0.0,1
79217,Seychelles,2020-09-28,Lambda,0,0.0,1
79218,Seychelles,2020-09-28,Mu,0,0.0,1
79219,Seychelles,2020-09-28,Omicron,0,0.0,1
79220,Seychelles,2020-09-28,S:677H.Robin1,0,0.0,1
79221,Seychelles,2020-09-28,S:677P.Pelican,0,0.0,1
79222,Seychelles,2020-09-28,others,1,100.0,1
79223,Seychelles,2020-09-28,non_who,1,100.0,1
79224,Seychelles,2020-10-12,Alpha,0,0.0,1
79225,Seychelles,2020-10-12,B.1.1.277,0,0.0,1
79226,Seychelles,2020-10-12,B.1.1.302,0,0.0,1
79227,Seychelles,2020-10-12,B.1.1.519,0,0.0,1
79228,Seychelles,2020-10-12,B.1.160,0,0.0,1
79229,Seychelles,2020-10-12,B.1.177,0,0.0,1
79230,Seychelles,2020-10-12,B.1.221,0,0.0,1
79231,Seychelles,2020-10-12,B.1.258,0,0.0,1
79232,Seychelles,2020-10-12,B.1.367,0,0.0,1
79233,Seychelles,2020-10-12,B.1.620,0,0.0,1
79234,Seychelles,2020-10-12,Beta,0,0.0,1
79235,Seychelles,2020-10-12,Delta,0,0.0,1
79236,Seychelles,2020-10-12,Epsilon,0,0.0,1
79237,Seychelles,2020-10-12,Eta,0,0.0,1
79238,Seychelles,2020-10-12,Gamma,0,0.0,1
79239,Seychelles,2020-10-12,Iota,0,0.0,1
79240,Seychelles,2020-10-12,Kappa,0,0.0,1
79241,Seychelles,2020-10-12,Lambda,0,0.0,1
79242,Seychelles,2020-10-12,Mu,0,0.0,1
79243,Seychelles,2020-10-12,Omicron,0,0.0,1
79244,Seychelles,2020-10-12,S:677H.Robin1,0,0.0,1
79245,Seychelles,2020-10-12,S:677P.Pelican,0,0.0,1
79246,Seychelles,2020-10-12,others,1,100.0,1
79247,Seychelles,2020-10-12,non_who,1,100.0,1
79248,Seychelles,2021-01-04,Alpha,0,0.0,1
79249,Seychelles,2021-01-04,B.1.1.277,0,0.0,1
79250,Seychelles,2021-01-04,B.1.1.302,0,0.0,1
79251,Seychelles,2021-01-04,B.1.1.519,0,0.0,1
79252,Seychelles,2021-01-04,B.1.160,0,0.0,1
79253,Seychelles,2021-01-04,B.1.177,0,0.0,1
79254,Seychelles,2021-01-04,B.1.221,0,0.0,1
79255,Seychelles,2021-01-04,B.1.258,0,0.0,1
79256,Seychelles,2021-01-04,B.1.367,0,0.0,1
79257,Seychelles,2021-01-04,B.1.620,0,0.0,1
79258,Seychelles,2021-01-04,Beta,0,0.0,1
79259,Seychelles,2021-01-04,Delta,0,0.0,1
79260,Seychelles,2021-01-04,Epsilon,0,0.0,1
79261,Seychelles,2021-01-04,Eta,0,0.0,1
79262,Seychelles,2021-01-04,Gamma,0,0.0,1
79263,Seychelles,2021-01-04,Iota,0,0.0,1
79264,Seychelles,2021-01-04,Kappa,0,0.0,1
