,location,date,variant,num_sequences,perc_sequences,num_sequences_total
80760,Sint Maarten (Dutch part),2021-01-25,Alpha,0,0.0,10
80761,Sint Maarten (Dutch part),2021-01-25,B.1.1.277,0,0.0,10
80762,Sint Maarten (Dutch part),2021-01-25,B.1.1.302,0,0.0,10
80763,Sint Maarten (Dutch part),2021-01-25,B.1.1.519,0,0.0,10
80764,Sint Maarten (Dutch part),2021-01-25,B.1.160,0,0.0,10
80765,Sint Maarten (Dutch part),2021-01-25,B.1.177,0,0.0,10
80766,Sint Maarten (Dutch part),2021-01-25,B.1.221,0,0.0,10
80767,Sint Maarten (Dutch part),2021-01-25,B.1.258,0,0.0,10
80768,Sint Maarten (Dutch part),2021-01-25,B.1.367,0,0.0,10
80769,Sint Maarten (Dutch part),2021-01-25,B.1.620,0,0.0,10
80770,Sint Maarten (Dutch part),2021-01-25,Beta,0,0.0,10
80771,Sint Maarten (Dutch part),2021-01-25,Delta,0,0.0,10
80772,Sint Maarten (Dutch part),2021-01-25,Epsilon,0,0.0,10
80773,Sint Maarten (Dutch part),2021-01-25,Eta,0,0.0,10
80774,Sint Maarten (Dutch part),2021-01-25,Gamma,0,0.0,10
80775,Sint Maarten (Dutch part),2021-01-25,Iota,0,0.0,10
80776,Sint Maarten (Dutch part),2021-01-25,Kappa,0,0.0,10
80777,Sint Maarten (Dutch part),2021-01-25,Lambda,0,0.0,10
80778,Sint Maarten (Dutch part),2021-01-25,Mu,0,0.0,10
80779,Sint Maarten (Dutch part),2021-01-25,Omicron,0,0.0,10
80780,Sint Maarten (Dutch part),2021-01-25,S:677H.Robin1,2,20.0,10
80781,Sint Maarten (Dutch part),2021-01-25,S:677P.Pelican,0,0.0,10
80782,Sint Maarten (Dutch part),2021-01-25,others,8,80.0,10
80783,Sint Maarten (Dutch part),2021-01-25,non_who,10,100.0,10
80784,Sint Maarten (Dutch part),2021-02-22,Alpha,1,2.5,40
80785,Sint Maarten (Dutch part),2021-02-22,B.1.1.277,0,0.0,40
80786,Sint Maarten (Dutch part),2021-02-22,B.1.1.302,0,0.0,40
80787,Sint Maarten (Dutch part),2021-02-22,B.1.1.519,0,0.0,40
80788,Sint Maarten (Dutch part),2021-02-22,B.1.160,0,0.0,40
80789,Sint Maarten (Dutch part),2021-02-22,B.1.177,0,0.0,40
80790,Sint Maarten (Dutch part),2021-02-22,B.1.221,0,0.0,40
80791,Sint Maarten (Dutch part),2021-02-22,B.1.258,0,0.0,40
80792,Sint Maarten (Dutch part),2021-02-22,B.1.367,0,0.0,40
80793,Sint Maarten (Dutch part),2021-02-22,B.1.620,0,0.0,40
80794,Sint Maarten (Dutch part),2021-02-22,Beta,0,0.0,40
80795,Sint Maarten (Dutch part),2021-02-22,Delta,0,0.0,40
80796,Sint Maarten (Dutch part),2021-02-22,Epsilon,1,2.5,40
80797,Sint Maarten (Dutch part),2021-02-22,Eta,0,0.0,40
80798,Sint Maarten (Dutch part),2021-02-22,Gamma,0,0.0,40
80799,Sint Maarten (Dutch part),2021-02-22,Iota,2,5.0,40
80800,Sint Maarten (Dutch part),2021-02-22,Kappa,0,0.0,40
80801,Sint Maarten (Dutch part),2021-02-22,Lambda,0,0.0,40
80802,Sint Maarten (Dutch part),2021-02-22,Mu,0,0.0,40
80803,Sint Maarten (Dutch part),2021-02-22,Omicron,0,0.0,40
80804,Sint Maarten (Dutch part),2021-02-22,S:677H.Robin1,33,82.5,40
80805,Sint Maarten (Dutch part),2021-02-22,S:677P.Pelican,0,0.0,40
80806,Sint Maarten (Dutch part),2021-02-22,others,3,7.5,40
80807,Sint Maarten (Dutch part),2021-02-22,non_who,36,90.0,40
80808,Sint Maarten (Dutch part),2021-03-08,Alpha,1,20.0,5
80809,Sint Maarten (Dutch part),2021-03-08,B.1.1.277,0,0.0,5
80810,Sint Maarten (Dutch part),2021-03-08,B.1.1.302,0,0.0,5
80811,Sint Maarten (Dutch part),2021-03-08,B.1.1.519,0,0.0,5
80812,Sint Maarten (Dutch part),2021-03-08,B.1.160,0,0.0,5
80813,Sint Maarten (Dutch part),2021-03-08,B.1.177,0,0.0,5
80814,Sint Maarten (Dutch part),2021-03-08,B.1.221,0,0.0,5
80815,Sint Maarten (Dutch part),2021-03-08,B.1.258,0,0.0,5
80816,Sint Maarten (Dutch part),2021-03-08,B.1.367,0,0.0,5
80817,Sint Maarten (Dutch part),2021-03-08,B.1.620,0,0.0,5
80818,Sint Maarten (Dutch part),2021-03-08,Beta,0,0.0,5
80819,Sint Maarten (Dutch part),2021-03-08,Delta,0,0.0,5
80820,Sint Maarten (Dutch part),2021-03-08,Epsilon,0,0.0,5
80821,Sint Maarten (Dutch part),2021-03-08,Eta,0,0.0,5
80822,Sint Maarten (Dutch part),2021-03-08,Gamma,0,0.0,5
80823,Sint Maarten (Dutch part),2021-03-08,Iota,1,20.0,5
80824,Sint Maarten (Dutch part),2021-03-08,Kappa,0,0.0,5
80825,Sint Maarten (Dutch part),2021-03-08,Lambda,0,0.0,5
80826,Sint Maarten (Dutch part),2021-03-08,Mu,0,0.0,5
80827,Sint Maarten (Dutch part),2021-03-08,Omicron,0,0.0,5
80828,Sint Maarten (Dutch part),2021-03-08,S:677H.Robin1,0,0.0,5
80829,Sint Maarten (Dutch part),2021-03-08,S:677P.Pelican,0,0.0,5
80830,Sint Maarten (Dutch part),2021-03-08,others,3,60.0,5
80831,Sint Maarten (Dutch part),2021-03-08,non_who,3,60.0,5
