,location,date,variant,num_sequences,perc_sequences,num_sequences_total
82320,Slovenia,2020-05-11,Alpha,0,0.0,4
82321,Slovenia,2020-05-11,B.1.1.277,0,0.0,4
82322,Slovenia,2020-05-11,B.1.1.302,0,0.0,4
82323,Slovenia,2020-05-11,B.1.1.519,0,0.0,4
82324,Slovenia,2020-05-11,B.1.160,0,0.0,4
82325,Slovenia,2020-05-11,B.1.177,0,0.0,4
82326,Slovenia,2020-05-11,B.1.221,0,0.0,4
82327,Slovenia,2020-05-11,B.1.258,0,0.0,4
82328,Slovenia,2020-05-11,B.1.367,0,0.0,4
82329,Slovenia,2020-05-11,B.1.620,0,0.0,4
82330,Slovenia,2020-05-11,Beta,0,0.0,4
82331,Slovenia,2020-05-11,Delta,0,0.0,4
82332,Slovenia,2020-05-11,Epsilon,0,0.0,4
82333,Slovenia,2020-05-11,Eta,0,0.0,4
82334,Slovenia,2020-05-11,Gamma,0,0.0,4
82335,Slovenia,2020-05-11,Iota,0,0.0,4
82336,Slovenia,2020-05-11,Kappa,0,0.0,4
82337,Slovenia,2020-05-11,Lambda,0,0.0,4
82338,Slovenia,2020-05-11,Mu,0,0.0,4
82339,Slovenia,2020-05-11,Omicron,0,0.0,4
82340,Slovenia,2020-05-11,S:677H.Robin1,0,0.0,4
82341,Slovenia,2020-05-11,S:677P.Pelican,0,0.0,4
82342,Slovenia,2020-05-11,others,4,100.0,4
82343,Slovenia,2020-05-11,non_who,4,100.0,4
82344,Slovenia,2020-06-08,Alpha,0,0.0,4
82345,Slovenia,2020-06-08,B.1.1.277,0,0.0,4
82346,Slovenia,2020-06-08,B.1.1.302,0,0.0,4
82347,Slovenia,2020-06-08,B.1.1.519,0,0.0,4
82348,Slovenia,2020-06-08,B.1.160,0,0.0,4
82349,Slovenia,2020-06-08,B.1.177,0,0.0,4
82350,Slovenia,2020-06-08,B.1.221,0,0.0,4
82351,Slovenia,2020-06-08,B.1.258,0,0.0,4
82352,Slovenia,2020-06-08,B.1.367,0,0.0,4
82353,Slovenia,2020-06-08,B.1.620,0,0.0,4
82354,Slovenia,2020-06-08,Beta,0,0.0,4
82355,Slovenia,2020-06-08,Delta,0,0.0,4
82356,Slovenia,2020-06-08,Epsilon,0,0.0,4
82357,Slovenia,2020-06-08,Eta,0,0.0,4
82358,Slovenia,2020-06-08,Gamma,0,0.0,4
82359,Slovenia,2020-06-08,Iota,0,0.0,4
82360,Slovenia,2020-06-08,Kappa,0,0.0,4
82361,Slovenia,2020-06-08,Lambda,0,0.0,4
82362,Slovenia,2020-06-08,Mu,0,0.0,4
82363,Slovenia,2020-06-08,Omicron,0,0.0,4
82364,Slovenia,2020-06-08,S:677H.Robin1,0,0.0,4
82365,Slovenia,2020-06-08,S:677P.Pelican,0,0.0,4
82366,Slovenia,2020-06-08,others,4,100.0,4
82367,Slovenia,2020-06-08,non_who,4,100.0,4
82368,Slovenia,2020-06-22,Alpha,0,0.0,11
82369,Slovenia,2020-06-22,B.1.1.277,0,0.0,11
82370,Slovenia,2020-06-22,B.1.1.302,0,0.0,11
82371,Slovenia,2020-06-22,B.1.1.519,0,0.0,11
82372,Slovenia,2020-06-22,B.1.160,0,0.0,11
82373,Slovenia,2020-06-22,B.1.177,0,0.0,11
82374,Slovenia,2020-06-22,B.1.221,0,0.0,11
82375,Slovenia,2020-06-22,B.1.258,0,0.0,11
82376,Slovenia,2020-06-22,B.1.367,0,0.0,11
82377,Slovenia,2020-06-22,B.1.620,0,0.0,11
82378,Slovenia,2020-06-22,Beta,0,0.0,11
82379,Slovenia,2020-06-22,Delta,0,0.0,11
82380,Slovenia,2020-06-22,Epsilon,0,0.0,11
82381,Slovenia,2020-06-22,Eta,0,0.0,11
82382,Slovenia,2020-06-22,Gamma,0,0.0,11
82383,Slovenia,2020-06-22,Iota,0,0.0,11
82384,Slovenia,2020-06-22,Kappa,0,0.0,11
82385,Slovenia,2020-06-22,Lambda,0,0.0,11
82386,Slovenia,2020-06-22,Mu,0,0.0,11
82387,Slovenia,2020-06-22,Omicron,0,0.0,11
82388,Slovenia,2020-06-22,S:677H.Robin1,0,0.0,11
82389,Slovenia,2020-06-22,S:677P.Pelican,0,0.0,11
82390,Slovenia,2020-06-22,others,11,100.0,11
82391,Slovenia,2020-06-22,non_who,11,100.0,11
82392,Slovenia,2020-07-06,Alpha,0,0.0,52
82393,Slovenia,2020-07-06,B.1.1.277,0,0.0,52
82394,Slovenia,2020-07-06,B.1.1.302,0,0.0,52
82395,Slovenia,2020-07-06,B.1.1.519,0,0.0,52
82396,Slovenia,2020-07-06,B.1.160,0,0.0,52
82397,Slovenia,2020-07-06,B.1.177,0,0.0,52
82398,Slovenia,2020-07-06,B.1.221,0,0.0,52
82399,Slovenia,2020-07-06,B.1.258,0,0.0,52
82400,Slovenia,2020-07-06,B.1.367,0,0.0,52
82401,Slovenia,2020-07-06,B.1.620,0,0.0,52
82402,Slovenia,2020-07-06,Beta,0,0.0,52
82403,Slovenia,2020-07-06,Delta,0,0.0,52
82404,Slovenia,2020-07-06,Epsilon,0,0.0,52
82405,Slovenia,2020-07-06,Eta,0,0.0,52
82406,Slovenia,2020-07-06,Gamma,0,0.0,52
82407,Slovenia,2020-07-06,Iota,0,0.0,52
82408,Slovenia,2020-07-06,Kappa,0,0.0,52
82409,Slovenia,2020-07-06,Lambda,0,0.0,52
82410,Slovenia,2020-07-06,Mu,0,0.0,52
