,location,date,variant,num_sequences,perc_sequences,num_sequences_total
83328,South Africa,2020-05-11,Alpha,0,0.0,135
83329,South Africa,2020-05-11,B.1.1.277,0,0.0,135
83330,South Africa,2020-05-11,B.1.1.302,0,0.0,135
83331,South Africa,2020-05-11,B.1.1.519,0,0.0,135
83332,South Africa,2020-05-11,B.1.160,0,0.0,135
83333,South Africa,2020-05-11,B.1.177,0,0.0,135
83334,South Africa,2020-05-11,B.1.221,0,0.0,135
83335,South Africa,2020-05-11,B.1.258,0,0.0,135
83336,South Africa,2020-05-11,B.1.367,0,0.0,135
83337,South Africa,2020-05-11,B.1.620,0,0.0,135
83338,South Africa,2020-05-11,Beta,0,0.0,135
83339,South Africa,2020-05-11,Delta,0,0.0,135
83340,South Africa,2020-05-11,Epsilon,0,0.0,135
83341,South Africa,2020-05-11,Eta,0,0.0,135
83342,South Africa,2020-05-11,Gamma,0,0.0,135
83343,South Africa,2020-05-11,Iota,0,0.0,135
83344,South Africa,2020-05-11,Kappa,0,0.0,135
83345,South Africa,2020-05-11,Lambda,0,0.0,135
83346,South Africa,2020-05-11,Mu,0,0.0,135
83347,South Africa,2020-05-11,Omicron,0,0.0,135
83348,South Africa,2020-05-11,S:677H.Robin1,0,0.0,135
83349,South Africa,2020-05-11,S:677P.Pelican,0,0.0,135
83350,South Africa,2020-05-11,others,135,100.0,135
83351,South Africa,2020-05-11,non_who,135,100.0,135
83352,South Africa,2020-05-25,Alpha,0,0.0,93
83353,South Africa,2020-05-25,B.1.1.277,0,0.0,93
83354,South Africa,2020-05-25,B.1.1.302,0,0.0,93
83355,South Africa,2020-05-25,B.1.1.519,0,0.0,93
83356,South Africa,2020-05-25,B.1.160,0,0.0,93
83357,South Africa,2020-05-25,B.1.177,0,0.0,93
83358,South Africa,2020-05-25,B.1.221,0,0.0,93
83359,South Africa,2020-05-25,B.1.258,0,0.0,93
83360,South Africa,2020-05-25,B.1.367,0,0.0,93
83361,South Africa,2020-05-25,B.1.620,0,0.0,93
83362,South Africa,2020-05-25,Beta,0,0.0,93
83363,South Africa,2020-05-25,Delta,0,0.0,93
83364,South Africa,2020-05-25,Epsilon,0,0.0,93
83365,South Africa,2020-05-25,Eta,0,0.0,93
83366,South Africa,2020-05-25,Gamma,0,0.0,93
83367,South Africa,2020-05-25,Iota,0,0.0,93
83368,South Africa,2020-05-25,Kappa,0,0.0,93
83369,South Africa,2020-05-25,Lambda,0,0.0,93
83370,South Africa,2020-05-25,Mu,0,0.0,93
83371,South Africa,2020-05-25,Omicron,0,0.0,93
83372,South Africa,2020-05-25,S:677H.Robin1,0,0.0,93
83373,South Africa,2020-05-25,S:677P.Pelican,0,0.0,93
83374,South Africa,2020-05-25,others,93,100.0,93
83375,South Africa,2020-05-25,non_who,93,100.0,93
83376,South Africa,2020-06-08,Alpha,0,0.0,105
83377,South Africa,2020-06-08,B.1.1.277,0,0.0,105
83378,South Africa,2020-06-08,B.1.1.302,0,0.0,105
83379,South Africa,2020-06-08,B.1.1.519,0,0.0,105
83380,South Africa,2020-06-08,B.1.160,0,0.0,105
83381,South Africa,2020-06-08,B.1.177,0,0.0,105
83382,South Africa,2020-06-08,B.1.221,0,0.0,105
83383,South Africa,2020-06-08,B.1.258,0,0.0,105
83384,South Africa,2020-06-08,B.1.367,0,0.0,105
83385,South Africa,2020-06-08,B.1.620,0,0.0,105
83386,South Africa,2020-06-08,Beta,0,0.0,105
83387,South Africa,2020-06-08,Delta,0,0.0,105
83388,South Africa,2020-06-08,Epsilon,0,0.0,105
83389,South Africa,2020-06-08,Eta,0,0.0,105
83390,South Africa,2020-06-08,Gamma,0,0.0,105
83391,South Africa,2020-06-08,Iota,0,0.0,105
83392,South Africa,2020-06-08,Kappa,0,0.0,105
83393,South Africa,2020-06-08,Lambda,0,0.0,105
83394,South Africa,2020-06-08,Mu,0,0.0,105
83395,South Africa,2020-06-08,Omicron,0,0.0,105
83396,South Africa,2020-06-08,S:677H.Robin1,0,0.0,105
83397,South Africa,2020-06-08,S:677P.Pelican,0,0.0,105
83398,South Africa,2020-06-08,others,105,100.0,105
83399,South Africa,2020-06-08,non_who,105,100.0,105
83400,South Africa,2020-06-22,Alpha,0,0.0,190
83401,South Africa,2020-06-22,B.1.1.277,0,0.0,190
83402,South Africa,2020-06-22,B.1.1.302,0,0.0,190
83403,South Africa,2020-06-22,B.1.1.519,0,0.0,190
83404,South Africa,2020-06-22,B.1.160,0,0.0,190
83405,South Africa,2020-06-22,B.1.177,0,0.0,190
83406,South Africa,2020-06-22,B.1.221,0,0.0,190
83407,South Africa,2020-06-22,B.1.258,0,0.0,190
83408,South Africa,2020-06-22,B.1.367,0,0.0,190
83409,South Africa,2020-06-22,B.1.620,0,0.0,190
83410,South Africa,2020-06-22,Beta,0,0.0,190
83411,South Africa,2020-06-22,Delta,0,0.0,190
83412,South Africa,2020-06-22,Epsilon,0,0.0,190
83413,South Africa,2020-06-22,Eta,0,0.0,190
83414,South Africa,2020-06-22,Gamma,0,0.0,190
83415,South Africa,2020-06-22,Iota,0,0.0,190
83416,South Africa,2020-06-22,Kappa,0,0.0,190
83417,South Africa,2020-06-22,Lambda,0,0.0,190
83418,South Africa,2020-06-22,Mu,0,0.0,190
83419,South Africa,2020-06-22,Omicron,0,0.0,190
83420,South Africa,2020-06-22,S:677H.Robin1,0,0.0,190
83421,South Africa,2020-06-22,S:677P.Pelican,0,0.0,190
83422,South Africa,2020-06-22,others,190,100.0,190
83423,South Africa,2020-06-22,non_who,190,100.0,190
83424,South Africa,2020-07-06,Alpha,0,0.0,290
83425,South Africa,2020-07-06,B.1.1.277,0,0.0,290
83426,South Africa,2020-07-06,B.1.1.302,0,0.0,290
83427,South Africa,2020-07-06,B.1.1.519,0,0.0,290
83428,South Africa,2020-07-06,B.1.160,0,0.0,290
83429,South Africa,2020-07-06,B.1.177,0,0.0,290
83430,South Africa,2020-07-06,B.1.221,0,0.0,290
83431,South Africa,2020-07-06,B.1.258,0,0.0,290
83432,South Africa,2020-07-06,B.1.367,0,0.0,290
83433,South Africa,2020-07-06,B.1.620,0,0.0,290
83434,South Africa,2020-07-06,Beta,0,0.0,290
83435,South Africa,2020-07-06,Delta,0,0.0,290
83436,South Africa,2020-07-06,Epsilon,0,0.0,290
83437,South Africa,2020-07-06,Eta,0,0.0,290
83438,South Africa,2020-07-06,Gamma,0,0.0,290
83439,South Africa,2020-07-06,Iota,0,0.0,290
83440,South Africa,2020-07-06,Kappa,0,0.0,290
83441,South Africa,2020-07-06,Lambda,0,0.0,290
83442,South Africa,2020-07-06,Mu,0,0.0,290
83443,South Africa,2020-07-06,Omicron,0,0.0,290
83444,South Africa,2020-07-06,S:677H.Robin1,0,0.0,290
83445,South Africa,2020-07-06,S:677P.Pelican,0,0.0,290
83446,South Africa,2020-07-06,others,290,100.0,290
83447,South Africa,2020-07-06,non_who,290,100.0,290
83448,South Africa,2020-07-20,Alpha,0,0.0,470
83449,South Africa,2020-07-20,B.1.1.277,0,0.0,470
83450,South Africa,2020-07-20,B.1.1.302,0,0.0,470
83451,South Africa,2020-07-20,B.1.1.519,0,0.0,470
83452,South Africa,2020-07-20,B.1.160,0,0.0,470
83453,South Africa,2020-07-20,B.1.177,0,0.0,470
83454,South Africa,2020-07-20,B.1.221,0,0.0,470
83455,South Africa,2020-07-20,B.1.258,0,0.0,470
83456,South Africa,2020-07-20,B.1.367,0,0.0,470
83457,South Africa,2020-07-20,B.1.620,0,0.0,470
83458,South Africa,2020-07-20,Beta,0,0.0,470
83459,South Africa,2020-07-20,Delta,0,0.0,470
83460,South Africa,2020-07-20,Epsilon,0,0.0,470
83461,South Africa,2020-07-20,Eta,0,0.0,470
83462,South Africa,2020-07-20,Gamma,0,0.0,470
83463,South Africa,2020-07-20,Iota,0,0.0,470
83464,South Africa,2020-07-20,Kappa,0,0.0,470
83465,South Africa,2020-07-20,Lambda,0,0.0,470
83466,South Africa,2020-07-20,Mu,0,0.0,470
83467,South Africa,2020-07-20,Omicron,0,0.0,470
83468,South Africa,2020-07-20,S:677H.Robin1,0,0.0,470
83469,South Africa,2020-07-20,S:677P.Pelican,0,0.0,470
83470,South Africa,2020-07-20,others,470,100.0,470
83471,South Africa,2020-07-20,non_who,470,100.0,470
83472,South Africa,2020-08-03,Alpha,0,0.0,551
83473,South Africa,2020-08-03,B.1.1.277,0,0.0,551
83474,South Africa,2020-08-03,B.1.1.302,0,0.0,551
83475,South Africa,2020-08-03,B.1.1.519,0,0.0,551
83476,South Africa,2020-08-03,B.1.160,0,0.0,551
83477,South Africa,2020-08-03,B.1.177,0,0.0,551
83478,South Africa,2020-08-03,B.1.221,0,0.0,551
83479,South Africa,2020-08-03,B.1.258,0,0.0,551
83480,South Africa,2020-08-03,B.1.367,0,0.0,551
83481,South Africa,2020-08-03,B.1.620,0,0.0,551
83482,South Africa,2020-08-03,Beta,0,0.0,551
83483,South Africa,2020-08-03,Delta,0,0.0,551
83484,South Africa,2020-08-03,Epsilon,0,0.0,551
83485,South Africa,2020-08-03,Eta,0,0.0,551
83486,South Africa,2020-08-03,Gamma,0,0.0,551
83487,South Africa,2020-08-03,Iota,0,0.0,551
83488,South Africa,2020-08-03,Kappa,0,0.0,551
83489,South Africa,2020-08-03,Lambda,0,0.0,551
83490,South Africa,2020-08-03,Mu,0,0.0,551
83491,South Africa,2020-08-03,Omicron,0,0.0,551
83492,South Africa,2020-08-03,S:677H.Robin1,0,0.0,551
83493,South Africa,2020-08-03,S:677P.Pelican,0,0.0,551
83494,South Africa,2020-08-03,others,551,100.0,551
83495,South Africa,2020-08-03,non_who,551,100.0,551
83496,South Africa,2020-08-17,Alpha,0,0.0,220
83497,South Africa,2020-08-17,B.1.1.277,0,0.0,220
83498,South Africa,2020-08-17,B.1.1.302,0,0.0,220
83499,South Africa,2020-08-17,B.1.1.519,0,0.0,220
83500,South Africa,2020-08-17,B.1.160,0,0.0,220
83501,South Africa,2020-08-17,B.1.177,0,0.0,220
83502,South Africa,2020-08-17,B.1.221,0,0.0,220
83503,South Africa,2020-08-17,B.1.258,0,0.0,220
83504,South Africa,2020-08-17,B.1.367,0,0.0,220
83505,South Africa,2020-08-17,B.1.620,0,0.0,220
83506,South Africa,2020-08-17,Beta,0,0.0,220
83507,South Africa,2020-08-17,Delta,0,0.0,220
83508,South Africa,2020-08-17,Epsilon,0,0.0,220
83509,South Africa,2020-08-17,Eta,0,0.0,220
83510,South Africa,2020-08-17,Gamma,0,0.0,220
83511,South Africa,2020-08-17,Iota,0,0.0,220
83512,South Africa,2020-08-17,Kappa,0,0.0,220
83513,South Africa,2020-08-17,Lambda,0,0.0,220
83514,South Africa,2020-08-17,Mu,0,0.0,220
83515,South Africa,2020-08-17,Omicron,0,0.0,220
83516,South Africa,2020-08-17,S:677H.Robin1,0,0.0,220
83517,South Africa,2020-08-17,S:677P.Pelican,0,0.0,220
83518,South Africa,2020-08-17,others,220,100.0,220
83519,South Africa,2020-08-17,non_who,220,100.0,220
83520,South Africa,2020-08-31,Alpha,0,0.0,129
83521,South Africa,2020-08-31,B.1.1.277,0,0.0,129
83522,South Africa,2020-08-31,B.1.1.302,0,0.0,129
83523,South Africa,2020-08-31,B.1.1.519,0,0.0,129
83524,South Africa,2020-08-31,B.1.160,0,0.0,129
83525,South Africa,2020-08-31,B.1.177,0,0.0,129
83526,South Africa,2020-08-31,B.1.221,0,0.0,129
83527,South Africa,2020-08-31,B.1.258,0,0.0,129
83528,South Africa,2020-08-31,B.1.367,0,0.0,129
83529,South Africa,2020-08-31,B.1.620,0,0.0,129
83530,South Africa,2020-08-31,Beta,13,10.08,129
83531,South Africa,2020-08-31,Delta,0,0.0,129
83532,South Africa,2020-08-31,Epsilon,0,0.0,129
83533,South Africa,2020-08-31,Eta,0,0.0,129
83534,South Africa,2020-08-31,Gamma,0,0.0,129
83535,South Africa,2020-08-31,Iota,0,0.0,129
83536,South Africa,2020-08-31,Kappa,0,0.0,129
83537,South Africa,2020-08-31,Lambda,0,0.0,129
83538,South Africa,2020-08-31,Mu,0,0.0,129
83539,South Africa,2020-08-31,Omicron,0,0.0,129
83540,South Africa,2020-08-31,S:677H.Robin1,0,0.0,129
83541,South Africa,2020-08-31,S:677P.Pelican,0,0.0,129
83542,South Africa,2020-08-31,others,116,89.92,129
83543,South Africa,2020-08-31,non_who,116,89.92,129
83544,South Africa,2020-09-14,Alpha,0,0.0,356
83545,South Africa,2020-09-14,B.1.1.277,0,0.0,356
83546,South Africa,2020-09-14,B.1.1.302,0,0.0,356
83547,South Africa,2020-09-14,B.1.1.519,0,0.0,356
83548,South Africa,2020-09-14,B.1.160,0,0.0,356
83549,South Africa,2020-09-14,B.1.177,0,0.0,356
83550,South Africa,2020-09-14,B.1.221,0,0.0,356
83551,South Africa,2020-09-14,B.1.258,0,0.0,356
83552,South Africa,2020-09-14,B.1.367,0,0.0,356
83553,South Africa,2020-09-14,B.1.620,0,0.0,356
83554,South Africa,2020-09-14,Beta,44,12.36,356
83555,South Africa,2020-09-14,Delta,0,0.0,356
83556,South Africa,2020-09-14,Epsilon,0,0.0,356
83557,South Africa,2020-09-14,Eta,0,0.0,356
83558,South Africa,2020-09-14,Gamma,0,0.0,356
83559,South Africa,2020-09-14,Iota,0,0.0,356
83560,South Africa,2020-09-14,Kappa,0,0.0,356
83561,South Africa,2020-09-14,Lambda,0,0.0,356
83562,South Africa,2020-09-14,Mu,0,0.0,356
83563,South Africa,2020-09-14,Omicron,0,0.0,356
83564,South Africa,2020-09-14,S:677H.Robin1,0,0.0,356
83565,South Africa,2020-09-14,S:677P.Pelican,0,0.0,356
83566,South Africa,2020-09-14,others,312,87.64,356
83567,South Africa,2020-09-14,non_who,312,87.64,356
83568,South Africa,2020-09-28,Alpha,0,0.0,223
83569,South Africa,2020-09-28,B.1.1.277,0,0.0,223
83570,South Africa,2020-09-28,B.1.1.302,0,0.0,223
83571,South Africa,2020-09-28,B.1.1.519,0,0.0,223
83572,South Africa,2020-09-28,B.1.160,0,0.0,223
83573,South Africa,2020-09-28,B.1.177,0,0.0,223
83574,South Africa,2020-09-28,B.1.221,0,0.0,223
83575,South Africa,2020-09-28,B.1.258,0,0.0,223
83576,South Africa,2020-09-28,B.1.367,0,0.0,223
83577,South Africa,2020-09-28,B.1.620,0,0.0,223
83578,South Africa,2020-09-28,Beta,61,27.35,223
83579,South Africa,2020-09-28,Delta,0,0.0,223
83580,South Africa,2020-09-28,Epsilon,0,0.0,223
83581,South Africa,2020-09-28,Eta,0,0.0,223
83582,South Africa,2020-09-28,Gamma,0,0.0,223
