,location,date,variant,num_sequences,perc_sequences,num_sequences_total
84384,South Korea,2020-05-11,Alpha,0,0.0,48
84385,South Korea,2020-05-11,B.1.1.277,0,0.0,48
84386,South Korea,2020-05-11,B.1.1.302,0,0.0,48
84387,South Korea,2020-05-11,B.1.1.519,0,0.0,48
84388,South Korea,2020-05-11,B.1.160,0,0.0,48
84389,South Korea,2020-05-11,B.1.177,0,0.0,48
84390,South Korea,2020-05-11,B.1.221,0,0.0,48
84391,South Korea,2020-05-11,B.1.258,0,0.0,48
84392,South Korea,2020-05-11,B.1.367,0,0.0,48
84393,South Korea,2020-05-11,B.1.620,0,0.0,48
84394,South Korea,2020-05-11,Beta,0,0.0,48
84395,South Korea,2020-05-11,Delta,0,0.0,48
84396,South Korea,2020-05-11,Epsilon,0,0.0,48
84397,South Korea,2020-05-11,Eta,0,0.0,48
84398,South Korea,2020-05-11,Gamma,0,0.0,48
84399,South Korea,2020-05-11,Iota,0,0.0,48
84400,South Korea,2020-05-11,Kappa,0,0.0,48
84401,South Korea,2020-05-11,Lambda,0,0.0,48
84402,South Korea,2020-05-11,Mu,0,0.0,48
84403,South Korea,2020-05-11,Omicron,0,0.0,48
84404,South Korea,2020-05-11,S:677H.Robin1,0,0.0,48
84405,South Korea,2020-05-11,S:677P.Pelican,0,0.0,48
84406,South Korea,2020-05-11,others,48,100.0,48
84407,South Korea,2020-05-11,non_who,48,100.0,48
84408,South Korea,2020-05-25,Alpha,0,0.0,64
84409,South Korea,2020-05-25,B.1.1.277,0,0.0,64
84410,South Korea,2020-05-25,B.1.1.302,0,0.0,64
84411,South Korea,2020-05-25,B.1.1.519,0,0.0,64
84412,South Korea,2020-05-25,B.1.160,0,0.0,64
84413,South Korea,2020-05-25,B.1.177,0,0.0,64
84414,South Korea,2020-05-25,B.1.221,0,0.0,64
84415,South Korea,2020-05-25,B.1.258,0,0.0,64
84416,South Korea,2020-05-25,B.1.367,0,0.0,64
84417,South Korea,2020-05-25,B.1.620,0,0.0,64
84418,South Korea,2020-05-25,Beta,0,0.0,64
84419,South Korea,2020-05-25,Delta,0,0.0,64
84420,South Korea,2020-05-25,Epsilon,0,0.0,64
84421,South Korea,2020-05-25,Eta,0,0.0,64
84422,South Korea,2020-05-25,Gamma,0,0.0,64
84423,South Korea,2020-05-25,Iota,0,0.0,64
84424,South Korea,2020-05-25,Kappa,0,0.0,64
84425,South Korea,2020-05-25,Lambda,0,0.0,64
84426,South Korea,2020-05-25,Mu,0,0.0,64
84427,South Korea,2020-05-25,Omicron,0,0.0,64
84428,South Korea,2020-05-25,S:677H.Robin1,0,0.0,64
84429,South Korea,2020-05-25,S:677P.Pelican,0,0.0,64
84430,South Korea,2020-05-25,others,64,100.0,64
84431,South Korea,2020-05-25,non_who,64,100.0,64
