,location,date,variant,num_sequences,perc_sequences,num_sequences_total
85440,Spain,2020-05-11,Alpha,0,0.0,180
85441,Spain,2020-05-11,B.1.1.277,0,0.0,180
85442,Spain,2020-05-11,B.1.1.302,0,0.0,180
85443,Spain,2020-05-11,B.1.1.519,0,0.0,180
85444,Spain,2020-05-11,B.1.160,0,0.0,180
85445,Spain,2020-05-11,B.1.177,0,0.0,180
85446,Spain,2020-05-11,B.1.221,0,0.0,180
85447,Spain,2020-05-11,B.1.258,0,0.0,180
85448,Spain,2020-05-11,B.1.367,0,0.0,180
85449,Spain,2020-05-11,B.1.620,0,0.0,180
85450,Spain,2020-05-11,Beta,0,0.0,180
85451,Spain,2020-05-11,Delta,0,0.0,180
85452,Spain,2020-05-11,Epsilon,0,0.0,180
85453,Spain,2020-05-11,Eta,0,0.0,180
85454,Spain,2020-05-11,Gamma,0,0.0,180
85455,Spain,2020-05-11,Iota,0,0.0,180
85456,Spain,2020-05-11,Kappa,0,0.0,180
85457,Spain,2020-05-11,Lambda,0,0.0,180
85458,Spain,2020-05-11,Mu,0,0.0,180
85459,Spain,2020-05-11,Omicron,0,0.0,180
85460,Spain,2020-05-11,S:677H.Robin1,0,0.0,180
85461,Spain,2020-05-11,S:677P.Pelican,0,0.0,180
85462,Spain,2020-05-11,others,180,100.0,180
85463,Spain,2020-05-11,non_who,180,100.0,180
85464,Spain,2020-05-25,Alpha,0,0.0,95
85465,Spain,2020-05-25,B.1.1.277,0,0.0,95
85466,Spain,2020-05-25,B.1.1.302,0,0.0,95
85467,Spain,2020-05-25,B.1.1.519,0,0.0,95
85468,Spain,2020-05-25,B.1.160,0,0.0,95
85469,Spain,2020-05-25,B.1.177,0,0.0,95
85470,Spain,2020-05-25,B.1.221,0,0.0,95
85471,Spain,2020-05-25,B.1.258,0,0.0,95
85472,Spain,2020-05-25,B.1.367,0,0.0,95
85473,Spain,2020-05-25,B.1.620,0,0.0,95
85474,Spain,2020-05-25,Beta,0,0.0,95
85475,Spain,2020-05-25,Delta,0,0.0,95
85476,Spain,2020-05-25,Epsilon,0,0.0,95
85477,Spain,2020-05-25,Eta,0,0.0,95
85478,Spain,2020-05-25,Gamma,0,0.0,95
85479,Spain,2020-05-25,Iota,0,0.0,95
85480,Spain,2020-05-25,Kappa,0,0.0,95
85481,Spain,2020-05-25,Lambda,0,0.0,95
85482,Spain,2020-05-25,Mu,0,0.0,95
85483,Spain,2020-05-25,Omicron,0,0.0,95
85484,Spain,2020-05-25,S:677H.Robin1,0,0.0,95
85485,Spain,2020-05-25,S:677P.Pelican,0,0.0,95
85486,Spain,2020-05-25,others,95,100.0,95
85487,Spain,2020-05-25,non_who,95,100.0,95
85488,Spain,2020-06-08,Alpha,0,0.0,63
85489,Spain,2020-06-08,B.1.1.277,0,0.0,63
85490,Spain,2020-06-08,B.1.1.302,0,0.0,63
85491,Spain,2020-06-08,B.1.1.519,0,0.0,63
85492,Spain,2020-06-08,B.1.160,0,0.0,63
85493,Spain,2020-06-08,B.1.177,0,0.0,63
85494,Spain,2020-06-08,B.1.221,0,0.0,63
85495,Spain,2020-06-08,B.1.258,0,0.0,63
85496,Spain,2020-06-08,B.1.367,0,0.0,63
85497,Spain,2020-06-08,B.1.620,0,0.0,63
85498,Spain,2020-06-08,Beta,0,0.0,63
85499,Spain,2020-06-08,Delta,0,0.0,63
85500,Spain,2020-06-08,Epsilon,0,0.0,63
85501,Spain,2020-06-08,Eta,0,0.0,63
85502,Spain,2020-06-08,Gamma,0,0.0,63
85503,Spain,2020-06-08,Iota,0,0.0,63
85504,Spain,2020-06-08,Kappa,0,0.0,63
85505,Spain,2020-06-08,Lambda,0,0.0,63
85506,Spain,2020-06-08,Mu,0,0.0,63
85507,Spain,2020-06-08,Omicron,0,0.0,63
85508,Spain,2020-06-08,S:677H.Robin1,0,0.0,63
85509,Spain,2020-06-08,S:677P.Pelican,0,0.0,63
85510,Spain,2020-06-08,others,63,100.0,63
85511,Spain,2020-06-08,non_who,63,100.0,63
85512,Spain,2020-06-22,Alpha,0,0.0,73
85513,Spain,2020-06-22,B.1.1.277,0,0.0,73
85514,Spain,2020-06-22,B.1.1.302,0,0.0,73
85515,Spain,2020-06-22,B.1.1.519,0,0.0,73
85516,Spain,2020-06-22,B.1.160,0,0.0,73
85517,Spain,2020-06-22,B.1.177,7,9.59,73
85518,Spain,2020-06-22,B.1.221,0,0.0,73
85519,Spain,2020-06-22,B.1.258,0,0.0,73
85520,Spain,2020-06-22,B.1.367,0,0.0,73
85521,Spain,2020-06-22,B.1.620,0,0.0,73
85522,Spain,2020-06-22,Beta,0,0.0,73
85523,Spain,2020-06-22,Delta,0,0.0,73
85524,Spain,2020-06-22,Epsilon,0,0.0,73
85525,Spain,2020-06-22,Eta,0,0.0,73
85526,Spain,2020-06-22,Gamma,0,0.0,73
85527,Spain,2020-06-22,Iota,0,0.0,73
85528,Spain,2020-06-22,Kappa,0,0.0,73
85529,Spain,2020-06-22,Lambda,0,0.0,73
85530,Spain,2020-06-22,Mu,0,0.0,73
85531,Spain,2020-06-22,Omicron,0,0.0,73
85532,Spain,2020-06-22,S:677H.Robin1,0,0.0,73
85533,Spain,2020-06-22,S:677P.Pelican,0,0.0,73
85534,Spain,2020-06-22,others,66,90.41,73
85535,Spain,2020-06-22,non_who,73,100.0,73
85536,Spain,2020-07-06,Alpha,0,0.0,140
85537,Spain,2020-07-06,B.1.1.277,0,0.0,140
85538,Spain,2020-07-06,B.1.1.302,0,0.0,140
85539,Spain,2020-07-06,B.1.1.519,0,0.0,140
85540,Spain,2020-07-06,B.1.160,0,0.0,140
85541,Spain,2020-07-06,B.1.177,70,50.0,140
85542,Spain,2020-07-06,B.1.221,0,0.0,140
85543,Spain,2020-07-06,B.1.258,0,0.0,140
85544,Spain,2020-07-06,B.1.367,0,0.0,140
85545,Spain,2020-07-06,B.1.620,0,0.0,140
85546,Spain,2020-07-06,Beta,0,0.0,140
85547,Spain,2020-07-06,Delta,0,0.0,140
85548,Spain,2020-07-06,Epsilon,0,0.0,140
85549,Spain,2020-07-06,Eta,0,0.0,140
85550,Spain,2020-07-06,Gamma,0,0.0,140
85551,Spain,2020-07-06,Iota,0,0.0,140
85552,Spain,2020-07-06,Kappa,0,0.0,140
85553,Spain,2020-07-06,Lambda,0,0.0,140
85554,Spain,2020-07-06,Mu,0,0.0,140
85555,Spain,2020-07-06,Omicron,0,0.0,140
85556,Spain,2020-07-06,S:677H.Robin1,0,0.0,140
85557,Spain,2020-07-06,S:677P.Pelican,0,0.0,140
85558,Spain,2020-07-06,others,70,50.0,140
85559,Spain,2020-07-06,non_who,140,100.0,140
85560,Spain,2020-07-20,Alpha,0,0.0,149
85561,Spain,2020-07-20,B.1.1.277,7,4.7,149
85562,Spain,2020-07-20,B.1.1.302,0,0.0,149
85563,Spain,2020-07-20,B.1.1.519,0,0.0,149
85564,Spain,2020-07-20,B.1.160,0,0.0,149
85565,Spain,2020-07-20,B.1.177,84,56.38,149
85566,Spain,2020-07-20,B.1.221,0,0.0,149
85567,Spain,2020-07-20,B.1.258,0,0.0,149
85568,Spain,2020-07-20,B.1.367,0,0.0,149
85569,Spain,2020-07-20,B.1.620,0,0.0,149
85570,Spain,2020-07-20,Beta,0,0.0,149
85571,Spain,2020-07-20,Delta,0,0.0,149
85572,Spain,2020-07-20,Epsilon,0,0.0,149
85573,Spain,2020-07-20,Eta,0,0.0,149
85574,Spain,2020-07-20,Gamma,0,0.0,149
85575,Spain,2020-07-20,Iota,0,0.0,149
85576,Spain,2020-07-20,Kappa,0,0.0,149
85577,Spain,2020-07-20,Lambda,0,0.0,149
85578,Spain,2020-07-20,Mu,0,0.0,149
85579,Spain,2020-07-20,Omicron,0,0.0,149
85580,Spain,2020-07-20,S:677H.Robin1,0,0.0,149
85581,Spain,2020-07-20,S:677P.Pelican,0,0.0,149
85582,Spain,2020-07-20,others,58,38.92,149
85583,Spain,2020-07-20,non_who,149,100.0,149
85584,Spain,2020-08-03,Alpha,0,0.0,170
85585,Spain,2020-08-03,B.1.1.277,1,0.59,170
85586,Spain,2020-08-03,B.1.1.302,0,0.0,170
85587,Spain,2020-08-03,B.1.1.519,0,0.0,170
