,location,date,variant,num_sequences,perc_sequences,num_sequences_total
86496,Sri Lanka,2020-05-11,Alpha,0,0.0,1
86497,Sri Lanka,2020-05-11,B.1.1.277,0,0.0,1
86498,Sri Lanka,2020-05-11,B.1.1.302,0,0.0,1
86499,Sri Lanka,2020-05-11,B.1.1.519,0,0.0,1
86500,Sri Lanka,2020-05-11,B.1.160,0,0.0,1
86501,Sri Lanka,2020-05-11,B.1.177,0,0.0,1
86502,Sri Lanka,2020-05-11,B.1.221,0,0.0,1
86503,Sri Lanka,2020-05-11,B.1.258,0,0.0,1
86504,Sri Lanka,2020-05-11,B.1.367,0,0.0,1
86505,Sri Lanka,2020-05-11,B.1.620,0,0.0,1
86506,Sri Lanka,2020-05-11,Beta,0,0.0,1
86507,Sri Lanka,2020-05-11,Delta,0,0.0,1
86508,Sri Lanka,2020-05-11,Epsilon,0,0.0,1
86509,Sri Lanka,2020-05-11,Eta,0,0.0,1
86510,Sri Lanka,2020-05-11,Gamma,0,0.0,1
86511,Sri Lanka,2020-05-11,Iota,0,0.0,1
86512,Sri Lanka,2020-05-11,Kappa,0,0.0,1
86513,Sri Lanka,2020-05-11,Lambda,0,0.0,1
86514,Sri Lanka,2020-05-11,Mu,0,0.0,1
86515,Sri Lanka,2020-05-11,Omicron,0,0.0,1
86516,Sri Lanka,2020-05-11,S:677H.Robin1,0,0.0,1
86517,Sri Lanka,2020-05-11,S:677P.Pelican,0,0.0,1
86518,Sri Lanka,2020-05-11,others,1,100.0,1
86519,Sri Lanka,2020-05-11,non_who,1,100.0,1
86520,Sri Lanka,2020-06-22,Alpha,0,0.0,1
86521,Sri Lanka,2020-06-22,B.1.1.277,0,0.0,1
86522,Sri Lanka,2020-06-22,B.1.1.302,0,0.0,1
86523,Sri Lanka,2020-06-22,B.1.1.519,0,0.0,1
86524,Sri Lanka,2020-06-22,B.1.160,0,0.0,1
86525,Sri Lanka,2020-06-22,B.1.177,0,0.0,1
86526,Sri Lanka,2020-06-22,B.1.221,0,0.0,1
86527,Sri Lanka,2020-06-22,B.1.258,0,0.0,1
86528,Sri Lanka,2020-06-22,B.1.367,0,0.0,1
86529,Sri Lanka,2020-06-22,B.1.620,0,0.0,1
86530,Sri Lanka,2020-06-22,Beta,0,0.0,1
86531,Sri Lanka,2020-06-22,Delta,0,0.0,1
86532,Sri Lanka,2020-06-22,Epsilon,0,0.0,1
86533,Sri Lanka,2020-06-22,Eta,0,0.0,1
86534,Sri Lanka,2020-06-22,Gamma,0,0.0,1
86535,Sri Lanka,2020-06-22,Iota,0,0.0,1
86536,Sri Lanka,2020-06-22,Kappa,0,0.0,1
86537,Sri Lanka,2020-06-22,Lambda,0,0.0,1
86538,Sri Lanka,2020-06-22,Mu,0,0.0,1
86539,Sri Lanka,2020-06-22,Omicron,0,0.0,1
86540,Sri Lanka,2020-06-22,S:677H.Robin1,0,0.0,1
86541,Sri Lanka,2020-06-22,S:677P.Pelican,0,0.0,1
86542,Sri Lanka,2020-06-22,others,1,100.0,1
86543,Sri Lanka,2020-06-22,non_who,1,100.0,1
86544,Sri Lanka,2020-08-03,Alpha,0,0.0,4
86545,Sri Lanka,2020-08-03,B.1.1.277,0,0.0,4
86546,Sri Lanka,2020-08-03,B.1.1.302,0,0.0,4
86547,Sri Lanka,2020-08-03,B.1.1.519,0,0.0,4
86548,Sri Lanka,2020-08-03,B.1.160,0,0.0,4
86549,Sri Lanka,2020-08-03,B.1.177,0,0.0,4
86550,Sri Lanka,2020-08-03,B.1.221,0,0.0,4
86551,Sri Lanka,2020-08-03,B.1.258,0,0.0,4
86552,Sri Lanka,2020-08-03,B.1.367,0,0.0,4
86553,Sri Lanka,2020-08-03,B.1.620,0,0.0,4
86554,Sri Lanka,2020-08-03,Beta,0,0.0,4
86555,Sri Lanka,2020-08-03,Delta,0,0.0,4
86556,Sri Lanka,2020-08-03,Epsilon,0,0.0,4
86557,Sri Lanka,2020-08-03,Eta,0,0.0,4
86558,Sri Lanka,2020-08-03,Gamma,0,0.0,4
86559,Sri Lanka,2020-08-03,Iota,0,0.0,4
86560,Sri Lanka,2020-08-03,Kappa,0,0.0,4
86561,Sri Lanka,2020-08-03,Lambda,0,0.0,4
86562,Sri Lanka,2020-08-03,Mu,0,0.0,4
86563,Sri Lanka,2020-08-03,Omicron,0,0.0,4
86564,Sri Lanka,2020-08-03,S:677H.Robin1,0,0.0,4
86565,Sri Lanka,2020-08-03,S:677P.Pelican,0,0.0,4
86566,Sri Lanka,2020-08-03,others,4,100.0,4
86567,Sri Lanka,2020-08-03,non_who,4,100.0,4
86568,Sri Lanka,2020-10-12,Alpha,0,0.0,3
86569,Sri Lanka,2020-10-12,B.1.1.277,0,0.0,3
86570,Sri Lanka,2020-10-12,B.1.1.302,0,0.0,3
86571,Sri Lanka,2020-10-12,B.1.1.519,0,0.0,3
86572,Sri Lanka,2020-10-12,B.1.160,0,0.0,3
86573,Sri Lanka,2020-10-12,B.1.177,0,0.0,3
86574,Sri Lanka,2020-10-12,B.1.221,0,0.0,3
86575,Sri Lanka,2020-10-12,B.1.258,0,0.0,3
86576,Sri Lanka,2020-10-12,B.1.367,0,0.0,3
86577,Sri Lanka,2020-10-12,B.1.620,0,0.0,3
86578,Sri Lanka,2020-10-12,Beta,0,0.0,3
86579,Sri Lanka,2020-10-12,Delta,0,0.0,3
86580,Sri Lanka,2020-10-12,Epsilon,0,0.0,3
86581,Sri Lanka,2020-10-12,Eta,0,0.0,3
86582,Sri Lanka,2020-10-12,Gamma,0,0.0,3
86583,Sri Lanka,2020-10-12,Iota,0,0.0,3
86584,Sri Lanka,2020-10-12,Kappa,0,0.0,3
86585,Sri Lanka,2020-10-12,Lambda,0,0.0,3
86586,Sri Lanka,2020-10-12,Mu,0,0.0,3
86587,Sri Lanka,2020-10-12,Omicron,0,0.0,3
86588,Sri Lanka,2020-10-12,S:677H.Robin1,0,0.0,3
86589,Sri Lanka,2020-10-12,S:677P.Pelican,0,0.0,3
86590,Sri Lanka,2020-10-12,others,3,100.0,3
86591,Sri Lanka,2020-10-12,non_who,3,100.0,3
86592,Sri Lanka,2020-10-26,Alpha,0,0.0,11
86593,Sri Lanka,2020-10-26,B.1.1.277,0,0.0,11
86594,Sri Lanka,2020-10-26,B.1.1.302,0,0.0,11
86595,Sri Lanka,2020-10-26,B.1.1.519,0,0.0,11
86596,Sri Lanka,2020-10-26,B.1.160,0,0.0,11
86597,Sri Lanka,2020-10-26,B.1.177,0,0.0,11
86598,Sri Lanka,2020-10-26,B.1.221,0,0.0,11
86599,Sri Lanka,2020-10-26,B.1.258,0,0.0,11
86600,Sri Lanka,2020-10-26,B.1.367,0,0.0,11
86601,Sri Lanka,2020-10-26,B.1.620,0,0.0,11
86602,Sri Lanka,2020-10-26,Beta,0,0.0,11
86603,Sri Lanka,2020-10-26,Delta,0,0.0,11
86604,Sri Lanka,2020-10-26,Epsilon,0,0.0,11
86605,Sri Lanka,2020-10-26,Eta,0,0.0,11
86606,Sri Lanka,2020-10-26,Gamma,0,0.0,11
86607,Sri Lanka,2020-10-26,Iota,0,0.0,11
86608,Sri Lanka,2020-10-26,Kappa,0,0.0,11
86609,Sri Lanka,2020-10-26,Lambda,0,0.0,11
86610,Sri Lanka,2020-10-26,Mu,0,0.0,11
86611,Sri Lanka,2020-10-26,Omicron,0,0.0,11
86612,Sri Lanka,2020-10-26,S:677H.Robin1,0,0.0,11
86613,Sri Lanka,2020-10-26,S:677P.Pelican,0,0.0,11
86614,Sri Lanka,2020-10-26,others,11,100.0,11
