,location,date,variant,num_sequences,perc_sequences,num_sequences_total
87384,Suriname,2020-05-11,Alpha,0,0.0,1
87385,Suriname,2020-05-11,B.1.1.277,0,0.0,1
87386,Suriname,2020-05-11,B.1.1.302,0,0.0,1
87387,Suriname,2020-05-11,B.1.1.519,0,0.0,1
87388,Suriname,2020-05-11,B.1.160,0,0.0,1
87389,Suriname,2020-05-11,B.1.177,0,0.0,1
87390,Suriname,2020-05-11,B.1.221,0,0.0,1
87391,Suriname,2020-05-11,B.1.258,0,0.0,1
87392,Suriname,2020-05-11,B.1.367,0,0.0,1
87393,Suriname,2020-05-11,B.1.620,0,0.0,1
87394,Suriname,2020-05-11,Beta,0,0.0,1
87395,Suriname,2020-05-11,Delta,0,0.0,1
87396,Suriname,2020-05-11,Epsilon,0,0.0,1
87397,Suriname,2020-05-11,Eta,0,0.0,1
87398,Suriname,2020-05-11,Gamma,0,0.0,1
87399,Suriname,2020-05-11,Iota,0,0.0,1
87400,Suriname,2020-05-11,Kappa,0,0.0,1
87401,Suriname,2020-05-11,Lambda,0,0.0,1
87402,Suriname,2020-05-11,Mu,0,0.0,1
87403,Suriname,2020-05-11,Omicron,0,0.0,1
87404,Suriname,2020-05-11,S:677H.Robin1,0,0.0,1
87405,Suriname,2020-05-11,S:677P.Pelican,0,0.0,1
87406,Suriname,2020-05-11,others,1,100.0,1
87407,Suriname,2020-05-11,non_who,1,100.0,1
87408,Suriname,2020-06-22,Alpha,0,0.0,3
87409,Suriname,2020-06-22,B.1.1.277,0,0.0,3
87410,Suriname,2020-06-22,B.1.1.302,0,0.0,3
87411,Suriname,2020-06-22,B.1.1.519,0,0.0,3
87412,Suriname,2020-06-22,B.1.160,0,0.0,3
87413,Suriname,2020-06-22,B.1.177,0,0.0,3
87414,Suriname,2020-06-22,B.1.221,0,0.0,3
87415,Suriname,2020-06-22,B.1.258,0,0.0,3
87416,Suriname,2020-06-22,B.1.367,0,0.0,3
87417,Suriname,2020-06-22,B.1.620,0,0.0,3
87418,Suriname,2020-06-22,Beta,0,0.0,3
87419,Suriname,2020-06-22,Delta,0,0.0,3
87420,Suriname,2020-06-22,Epsilon,0,0.0,3
87421,Suriname,2020-06-22,Eta,0,0.0,3
87422,Suriname,2020-06-22,Gamma,0,0.0,3
87423,Suriname,2020-06-22,Iota,0,0.0,3
87424,Suriname,2020-06-22,Kappa,0,0.0,3
87425,Suriname,2020-06-22,Lambda,0,0.0,3
87426,Suriname,2020-06-22,Mu,0,0.0,3
87427,Suriname,2020-06-22,Omicron,0,0.0,3
87428,Suriname,2020-06-22,S:677H.Robin1,0,0.0,3
87429,Suriname,2020-06-22,S:677P.Pelican,0,0.0,3
87430,Suriname,2020-06-22,others,3,100.0,3
87431,Suriname,2020-06-22,non_who,3,100.0,3
87432,Suriname,2020-07-06,Alpha,0,0.0,33
87433,Suriname,2020-07-06,B.1.1.277,0,0.0,33
87434,Suriname,2020-07-06,B.1.1.302,0,0.0,33
87435,Suriname,2020-07-06,B.1.1.519,0,0.0,33
87436,Suriname,2020-07-06,B.1.160,0,0.0,33
87437,Suriname,2020-07-06,B.1.177,0,0.0,33
87438,Suriname,2020-07-06,B.1.221,0,0.0,33
87439,Suriname,2020-07-06,B.1.258,0,0.0,33
87440,Suriname,2020-07-06,B.1.367,0,0.0,33
87441,Suriname,2020-07-06,B.1.620,0,0.0,33
87442,Suriname,2020-07-06,Beta,0,0.0,33
87443,Suriname,2020-07-06,Delta,0,0.0,33
87444,Suriname,2020-07-06,Epsilon,0,0.0,33
87445,Suriname,2020-07-06,Eta,0,0.0,33
87446,Suriname,2020-07-06,Gamma,0,0.0,33
87447,Suriname,2020-07-06,Iota,0,0.0,33
87448,Suriname,2020-07-06,Kappa,0,0.0,33
87449,Suriname,2020-07-06,Lambda,0,0.0,33
87450,Suriname,2020-07-06,Mu,0,0.0,33
87451,Suriname,2020-07-06,Omicron,0,0.0,33
87452,Suriname,2020-07-06,S:677H.Robin1,0,0.0,33
87453,Suriname,2020-07-06,S:677P.Pelican,0,0.0,33
87454,Suriname,2020-07-06,others,33,100.0,33
87455,Suriname,2020-07-06,non_who,33,100.0,33
87456,Suriname,2020-07-20,Alpha,0,0.0,24
87457,Suriname,2020-07-20,B.1.1.277,0,0.0,24
87458,Suriname,2020-07-20,B.1.1.302,0,0.0,24
87459,Suriname,2020-07-20,B.1.1.519,0,0.0,24
87460,Suriname,2020-07-20,B.1.160,0,0.0,24
87461,Suriname,2020-07-20,B.1.177,0,0.0,24
87462,Suriname,2020-07-20,B.1.221,0,0.0,24
87463,Suriname,2020-07-20,B.1.258,0,0.0,24
87464,Suriname,2020-07-20,B.1.367,0,0.0,24
87465,Suriname,2020-07-20,B.1.620,0,0.0,24
87466,Suriname,2020-07-20,Beta,0,0.0,24
87467,Suriname,2020-07-20,Delta,0,0.0,24
87468,Suriname,2020-07-20,Epsilon,0,0.0,24
87469,Suriname,2020-07-20,Eta,0,0.0,24
87470,Suriname,2020-07-20,Gamma,0,0.0,24
87471,Suriname,2020-07-20,Iota,0,0.0,24
87472,Suriname,2020-07-20,Kappa,0,0.0,24
87473,Suriname,2020-07-20,Lambda,0,0.0,24
87474,Suriname,2020-07-20,Mu,0,0.0,24
87475,Suriname,2020-07-20,Omicron,0,0.0,24
87476,Suriname,2020-07-20,S:677H.Robin1,0,0.0,24
87477,Suriname,2020-07-20,S:677P.Pelican,0,0.0,24
87478,Suriname,2020-07-20,others,24,100.0,24
87479,Suriname,2020-07-20,non_who,24,100.0,24
87480,Suriname,2020-08-03,Alpha,0,0.0,2
87481,Suriname,2020-08-03,B.1.1.277,0,0.0,2
87482,Suriname,2020-08-03,B.1.1.302,0,0.0,2
87483,Suriname,2020-08-03,B.1.1.519,0,0.0,2
87484,Suriname,2020-08-03,B.1.160,0,0.0,2
87485,Suriname,2020-08-03,B.1.177,0,0.0,2
87486,Suriname,2020-08-03,B.1.221,0,0.0,2
87487,Suriname,2020-08-03,B.1.258,0,0.0,2
87488,Suriname,2020-08-03,B.1.367,0,0.0,2
87489,Suriname,2020-08-03,B.1.620,0,0.0,2
87490,Suriname,2020-08-03,Beta,0,0.0,2
87491,Suriname,2020-08-03,Delta,0,0.0,2
87492,Suriname,2020-08-03,Epsilon,0,0.0,2
87493,Suriname,2020-08-03,Eta,0,0.0,2
87494,Suriname,2020-08-03,Gamma,0,0.0,2
87495,Suriname,2020-08-03,Iota,0,0.0,2
87496,Suriname,2020-08-03,Kappa,0,0.0,2
87497,Suriname,2020-08-03,Lambda,0,0.0,2
87498,Suriname,2020-08-03,Mu,0,0.0,2
87499,Suriname,2020-08-03,Omicron,0,0.0,2
87500,Suriname,2020-08-03,S:677H.Robin1,0,0.0,2
87501,Suriname,2020-08-03,S:677P.Pelican,0,0.0,2
87502,Suriname,2020-08-03,others,2,100.0,2
87503,Suriname,2020-08-03,non_who,2,100.0,2
87504,Suriname,2020-08-17,Alpha,0,0.0,22
87505,Suriname,2020-08-17,B.1.1.277,0,0.0,22
87506,Suriname,2020-08-17,B.1.1.302,0,0.0,22
87507,Suriname,2020-08-17,B.1.1.519,0,0.0,22
87508,Suriname,2020-08-17,B.1.160,0,0.0,22
87509,Suriname,2020-08-17,B.1.177,0,0.0,22
87510,Suriname,2020-08-17,B.1.221,0,0.0,22
87511,Suriname,2020-08-17,B.1.258,0,0.0,22
