,location,date,variant,num_sequences,perc_sequences,num_sequences_total
89232,Switzerland,2020-05-11,Alpha,0,0.0,106
89233,Switzerland,2020-05-11,B.1.1.277,0,0.0,106
89234,Switzerland,2020-05-11,B.1.1.302,0,0.0,106
89235,Switzerland,2020-05-11,B.1.1.519,0,0.0,106
89236,Switzerland,2020-05-11,B.1.160,0,0.0,106
89237,Switzerland,2020-05-11,B.1.177,0,0.0,106
89238,Switzerland,2020-05-11,B.1.221,0,0.0,106
89239,Switzerland,2020-05-11,B.1.258,0,0.0,106
89240,Switzerland,2020-05-11,B.1.367,0,0.0,106
89241,Switzerland,2020-05-11,B.1.620,0,0.0,106
89242,Switzerland,2020-05-11,Beta,0,0.0,106
89243,Switzerland,2020-05-11,Delta,0,0.0,106
89244,Switzerland,2020-05-11,Epsilon,0,0.0,106
89245,Switzerland,2020-05-11,Eta,0,0.0,106
89246,Switzerland,2020-05-11,Gamma,0,0.0,106
89247,Switzerland,2020-05-11,Iota,0,0.0,106
89248,Switzerland,2020-05-11,Kappa,0,0.0,106
89249,Switzerland,2020-05-11,Lambda,0,0.0,106
89250,Switzerland,2020-05-11,Mu,0,0.0,106
89251,Switzerland,2020-05-11,Omicron,0,0.0,106
89252,Switzerland,2020-05-11,S:677H.Robin1,0,0.0,106
89253,Switzerland,2020-05-11,S:677P.Pelican,0,0.0,106
89254,Switzerland,2020-05-11,others,106,100.0,106
89255,Switzerland,2020-05-11,non_who,106,100.0,106
89256,Switzerland,2020-05-25,Alpha,0,0.0,23
89257,Switzerland,2020-05-25,B.1.1.277,0,0.0,23
89258,Switzerland,2020-05-25,B.1.1.302,0,0.0,23
89259,Switzerland,2020-05-25,B.1.1.519,0,0.0,23
89260,Switzerland,2020-05-25,B.1.160,0,0.0,23
89261,Switzerland,2020-05-25,B.1.177,0,0.0,23
89262,Switzerland,2020-05-25,B.1.221,0,0.0,23
89263,Switzerland,2020-05-25,B.1.258,0,0.0,23
89264,Switzerland,2020-05-25,B.1.367,0,0.0,23
89265,Switzerland,2020-05-25,B.1.620,0,0.0,23
89266,Switzerland,2020-05-25,Beta,0,0.0,23
89267,Switzerland,2020-05-25,Delta,0,0.0,23
89268,Switzerland,2020-05-25,Epsilon,0,0.0,23
89269,Switzerland,2020-05-25,Eta,0,0.0,23
89270,Switzerland,2020-05-25,Gamma,0,0.0,23
89271,Switzerland,2020-05-25,Iota,0,0.0,23
