,location,date,variant,num_sequences,perc_sequences,num_sequences_total
90288,Thailand,2020-08-03,Alpha,0,0.0,5
90289,Thailand,2020-08-03,B.1.1.277,0,0.0,5
90290,Thailand,2020-08-03,B.1.1.302,0,0.0,5
90291,Thailand,2020-08-03,B.1.1.519,0,0.0,5
90292,Thailand,2020-08-03,B.1.160,0,0.0,5
90293,Thailand,2020-08-03,B.1.177,0,0.0,5
90294,Thailand,2020-08-03,B.1.221,0,0.0,5
90295,Thailand,2020-08-03,B.1.258,0,0.0,5
90296,Thailand,2020-08-03,B.1.367,0,0.0,5
90297,Thailand,2020-08-03,B.1.620,0,0.0,5
90298,Thailand,2020-08-03,Beta,0,0.0,5
90299,Thailand,2020-08-03,Delta,0,0.0,5
90300,Thailand,2020-08-03,Epsilon,0,0.0,5
90301,Thailand,2020-08-03,Eta,0,0.0,5
90302,Thailand,2020-08-03,Gamma,0,0.0,5
90303,Thailand,2020-08-03,Iota,0,0.0,5
90304,Thailand,2020-08-03,Kappa,0,0.0,5
90305,Thailand,2020-08-03,Lambda,0,0.0,5
90306,Thailand,2020-08-03,Mu,0,0.0,5
90307,Thailand,2020-08-03,Omicron,0,0.0,5
90308,Thailand,2020-08-03,S:677H.Robin1,0,0.0,5
90309,Thailand,2020-08-03,S:677P.Pelican,0,0.0,5
90310,Thailand,2020-08-03,others,5,100.0,5
90311,Thailand,2020-08-03,non_who,5,100.0,5
90312,Thailand,2020-08-31,Alpha,0,0.0,2
90313,Thailand,2020-08-31,B.1.1.277,0,0.0,2
90314,Thailand,2020-08-31,B.1.1.302,0,0.0,2
90315,Thailand,2020-08-31,B.1.1.519,0,0.0,2
90316,Thailand,2020-08-31,B.1.160,0,0.0,2
90317,Thailand,2020-08-31,B.1.177,0,0.0,2
90318,Thailand,2020-08-31,B.1.221,0,0.0,2
90319,Thailand,2020-08-31,B.1.258,0,0.0,2
90320,Thailand,2020-08-31,B.1.367,0,0.0,2
90321,Thailand,2020-08-31,B.1.620,0,0.0,2
90322,Thailand,2020-08-31,Beta,0,0.0,2
90323,Thailand,2020-08-31,Delta,0,0.0,2
90324,Thailand,2020-08-31,Epsilon,0,0.0,2
90325,Thailand,2020-08-31,Eta,0,0.0,2
90326,Thailand,2020-08-31,Gamma,0,0.0,2
90327,Thailand,2020-08-31,Iota,0,0.0,2
90328,Thailand,2020-08-31,Kappa,0,0.0,2
90329,Thailand,2020-08-31,Lambda,0,0.0,2
90330,Thailand,2020-08-31,Mu,0,0.0,2
90331,Thailand,2020-08-31,Omicron,0,0.0,2
90332,Thailand,2020-08-31,S:677H.Robin1,0,0.0,2
90333,Thailand,2020-08-31,S:677P.Pelican,0,0.0,2
90334,Thailand,2020-08-31,others,2,100.0,2
90335,Thailand,2020-08-31,non_who,2,100.0,2
90336,Thailand,2020-09-28,Alpha,0,0.0,2
90337,Thailand,2020-09-28,B.1.1.277,0,0.0,2
90338,Thailand,2020-09-28,B.1.1.302,0,0.0,2
90339,Thailand,2020-09-28,B.1.1.519,0,0.0,2
90340,Thailand,2020-09-28,B.1.160,0,0.0,2
90341,Thailand,2020-09-28,B.1.177,0,0.0,2
90342,Thailand,2020-09-28,B.1.221,0,0.0,2
90343,Thailand,2020-09-28,B.1.258,0,0.0,2
90344,Thailand,2020-09-28,B.1.367,0,0.0,2
90345,Thailand,2020-09-28,B.1.620,0,0.0,2
90346,Thailand,2020-09-28,Beta,0,0.0,2
90347,Thailand,2020-09-28,Delta,0,0.0,2
90348,Thailand,2020-09-28,Epsilon,0,0.0,2
90349,Thailand,2020-09-28,Eta,0,0.0,2
90350,Thailand,2020-09-28,Gamma,0,0.0,2
90351,Thailand,2020-09-28,Iota,0,0.0,2
90352,Thailand,2020-09-28,Kappa,0,0.0,2
90353,Thailand,2020-09-28,Lambda,0,0.0,2
90354,Thailand,2020-09-28,Mu,0,0.0,2
90355,Thailand,2020-09-28,Omicron,0,0.0,2
90356,Thailand,2020-09-28,S:677H.Robin1,0,0.0,2
90357,Thailand,2020-09-28,S:677P.Pelican,0,0.0,2
90358,Thailand,2020-09-28,others,2,100.0,2
90359,Thailand,2020-09-28,non_who,2,100.0,2
90360,Thailand,2020-10-12,Alpha,0,0.0,7
90361,Thailand,2020-10-12,B.1.1.277,0,0.0,7
90362,Thailand,2020-10-12,B.1.1.302,0,0.0,7
90363,Thailand,2020-10-12,B.1.1.519,0,0.0,7
90364,Thailand,2020-10-12,B.1.160,1,14.29,7
90365,Thailand,2020-10-12,B.1.177,1,14.29,7
90366,Thailand,2020-10-12,B.1.221,0,0.0,7
90367,Thailand,2020-10-12,B.1.258,0,0.0,7
90368,Thailand,2020-10-12,B.1.367,0,0.0,7
90369,Thailand,2020-10-12,B.1.620,0,0.0,7
90370,Thailand,2020-10-12,Beta,0,0.0,7
90371,Thailand,2020-10-12,Delta,0,0.0,7
90372,Thailand,2020-10-12,Epsilon,0,0.0,7
90373,Thailand,2020-10-12,Eta,0,0.0,7
90374,Thailand,2020-10-12,Gamma,0,0.0,7
90375,Thailand,2020-10-12,Iota,0,0.0,7
90376,Thailand,2020-10-12,Kappa,0,0.0,7
90377,Thailand,2020-10-12,Lambda,0,0.0,7
90378,Thailand,2020-10-12,Mu,0,0.0,7
90379,Thailand,2020-10-12,Omicron,0,0.0,7
90380,Thailand,2020-10-12,S:677H.Robin1,0,0.0,7
90381,Thailand,2020-10-12,S:677P.Pelican,0,0.0,7
90382,Thailand,2020-10-12,others,5,71.42,7
90383,Thailand,2020-10-12,non_who,7,100.0,7
90384,Thailand,2020-10-26,Alpha,0,0.0,7
90385,Thailand,2020-10-26,B.1.1.277,0,0.0,7
90386,Thailand,2020-10-26,B.1.1.302,0,0.0,7
90387,Thailand,2020-10-26,B.1.1.519,0,0.0,7
90388,Thailand,2020-10-26,B.1.160,1,14.29,7
90389,Thailand,2020-10-26,B.1.177,3,42.86,7
90390,Thailand,2020-10-26,B.1.221,0,0.0,7
90391,Thailand,2020-10-26,B.1.258,0,0.0,7
90392,Thailand,2020-10-26,B.1.367,0,0.0,7
90393,Thailand,2020-10-26,B.1.620,0,0.0,7
90394,Thailand,2020-10-26,Beta,0,0.0,7
90395,Thailand,2020-10-26,Delta,0,0.0,7
90396,Thailand,2020-10-26,Epsilon,0,0.0,7
90397,Thailand,2020-10-26,Eta,0,0.0,7
90398,Thailand,2020-10-26,Gamma,0,0.0,7
90399,Thailand,2020-10-26,Iota,0,0.0,7
90400,Thailand,2020-10-26,Kappa,0,0.0,7
90401,Thailand,2020-10-26,Lambda,0,0.0,7
90402,Thailand,2020-10-26,Mu,0,0.0,7
90403,Thailand,2020-10-26,Omicron,0,0.0,7
90404,Thailand,2020-10-26,S:677H.Robin1,0,0.0,7
90405,Thailand,2020-10-26,S:677P.Pelican,0,0.0,7
90406,Thailand,2020-10-26,others,3,42.85,7
90407,Thailand,2020-10-26,non_who,7,100.0,7
90408,Thailand,2020-11-09,Alpha,0,0.0,6
90409,Thailand,2020-11-09,B.1.1.277,0,0.0,6
90410,Thailand,2020-11-09,B.1.1.302,0,0.0,6
90411,Thailand,2020-11-09,B.1.1.519,0,0.0,6
90412,Thailand,2020-11-09,B.1.160,1,16.67,6
90413,Thailand,2020-11-09,B.1.177,0,0.0,6
90414,Thailand,2020-11-09,B.1.221,0,0.0,6
90415,Thailand,2020-11-09,B.1.258,0,0.0,6
90416,Thailand,2020-11-09,B.1.367,0,0.0,6
90417,Thailand,2020-11-09,B.1.620,0,0.0,6
90418,Thailand,2020-11-09,Beta,0,0.0,6
90419,Thailand,2020-11-09,Delta,0,0.0,6
90420,Thailand,2020-11-09,Epsilon,0,0.0,6
90421,Thailand,2020-11-09,Eta,0,0.0,6
90422,Thailand,2020-11-09,Gamma,0,0.0,6
90423,Thailand,2020-11-09,Iota,0,0.0,6
90424,Thailand,2020-11-09,Kappa,0,0.0,6
90425,Thailand,2020-11-09,Lambda,0,0.0,6
90426,Thailand,2020-11-09,Mu,0,0.0,6
90427,Thailand,2020-11-09,Omicron,0,0.0,6
90428,Thailand,2020-11-09,S:677H.Robin1,0,0.0,6
90429,Thailand,2020-11-09,S:677P.Pelican,0,0.0,6
90430,Thailand,2020-11-09,others,5,83.33,6
90431,Thailand,2020-11-09,non_who,6,100.0,6
90432,Thailand,2020-11-23,Alpha,0,0.0,9
90433,Thailand,2020-11-23,B.1.1.277,0,0.0,9
90434,Thailand,2020-11-23,B.1.1.302,0,0.0,9
90435,Thailand,2020-11-23,B.1.1.519,0,0.0,9
90436,Thailand,2020-11-23,B.1.160,2,22.22,9
90437,Thailand,2020-11-23,B.1.177,2,22.22,9
90438,Thailand,2020-11-23,B.1.221,0,0.0,9
90439,Thailand,2020-11-23,B.1.258,0,0.0,9
90440,Thailand,2020-11-23,B.1.367,0,0.0,9
90441,Thailand,2020-11-23,B.1.620,0,0.0,9
90442,Thailand,2020-11-23,Beta,0,0.0,9
90443,Thailand,2020-11-23,Delta,0,0.0,9
90444,Thailand,2020-11-23,Epsilon,0,0.0,9
90445,Thailand,2020-11-23,Eta,0,0.0,9
90446,Thailand,2020-11-23,Gamma,0,0.0,9
90447,Thailand,2020-11-23,Iota,0,0.0,9
90448,Thailand,2020-11-23,Kappa,0,0.0,9
90449,Thailand,2020-11-23,Lambda,0,0.0,9
90450,Thailand,2020-11-23,Mu,0,0.0,9
90451,Thailand,2020-11-23,Omicron,0,0.0,9
90452,Thailand,2020-11-23,S:677H.Robin1,0,0.0,9
90453,Thailand,2020-11-23,S:677P.Pelican,0,0.0,9
90454,Thailand,2020-11-23,others,5,55.56,9
90455,Thailand,2020-11-23,non_who,9,100.0,9
90456,Thailand,2020-12-07,Alpha,0,0.0,18
90457,Thailand,2020-12-07,B.1.1.277,0,0.0,18
90458,Thailand,2020-12-07,B.1.1.302,0,0.0,18
90459,Thailand,2020-12-07,B.1.1.519,0,0.0,18
90460,Thailand,2020-12-07,B.1.160,3,16.67,18
90461,Thailand,2020-12-07,B.1.177,0,0.0,18
90462,Thailand,2020-12-07,B.1.221,0,0.0,18
90463,Thailand,2020-12-07,B.1.258,0,0.0,18
90464,Thailand,2020-12-07,B.1.367,0,0.0,18
90465,Thailand,2020-12-07,B.1.620,0,0.0,18
90466,Thailand,2020-12-07,Beta,0,0.0,18
90467,Thailand,2020-12-07,Delta,0,0.0,18
90468,Thailand,2020-12-07,Epsilon,0,0.0,18
90469,Thailand,2020-12-07,Eta,0,0.0,18
90470,Thailand,2020-12-07,Gamma,0,0.0,18
90471,Thailand,2020-12-07,Iota,0,0.0,18
90472,Thailand,2020-12-07,Kappa,0,0.0,18
90473,Thailand,2020-12-07,Lambda,0,0.0,18
90474,Thailand,2020-12-07,Mu,0,0.0,18
90475,Thailand,2020-12-07,Omicron,0,0.0,18
90476,Thailand,2020-12-07,S:677H.Robin1,0,0.0,18
90477,Thailand,2020-12-07,S:677P.Pelican,0,0.0,18
90478,Thailand,2020-12-07,others,15,83.33,18
90479,Thailand,2020-12-07,non_who,18,100.0,18
90480,Thailand,2020-12-21,Alpha,0,0.0,76
90481,Thailand,2020-12-21,B.1.1.277,0,0.0,76
90482,Thailand,2020-12-21,B.1.1.302,0,0.0,76
90483,Thailand,2020-12-21,B.1.1.519,0,0.0,76
90484,Thailand,2020-12-21,B.1.160,0,0.0,76
90485,Thailand,2020-12-21,B.1.177,1,1.32,76
90486,Thailand,2020-12-21,B.1.221,0,0.0,76
90487,Thailand,2020-12-21,B.1.258,0,0.0,76
90488,Thailand,2020-12-21,B.1.367,0,0.0,76
90489,Thailand,2020-12-21,B.1.620,0,0.0,76
90490,Thailand,2020-12-21,Beta,0,0.0,76
90491,Thailand,2020-12-21,Delta,0,0.0,76
90492,Thailand,2020-12-21,Epsilon,0,0.0,76
90493,Thailand,2020-12-21,Eta,0,0.0,76
90494,Thailand,2020-12-21,Gamma,0,0.0,76
90495,Thailand,2020-12-21,Iota,0,0.0,76
90496,Thailand,2020-12-21,Kappa,0,0.0,76
90497,Thailand,2020-12-21,Lambda,0,0.0,76
90498,Thailand,2020-12-21,Mu,0,0.0,76
90499,Thailand,2020-12-21,Omicron,0,0.0,76
90500,Thailand,2020-12-21,S:677H.Robin1,0,0.0,76
