,location,date,variant,num_sequences,perc_sequences,num_sequences_total
91152,Togo,2020-05-25,Alpha,0,0.0,3
91153,Togo,2020-05-25,B.1.1.277,0,0.0,3
91154,Togo,2020-05-25,B.1.1.302,0,0.0,3
91155,Togo,2020-05-25,B.1.1.519,0,0.0,3
91156,Togo,2020-05-25,B.1.160,0,0.0,3
91157,Togo,2020-05-25,B.1.177,0,0.0,3
91158,Togo,2020-05-25,B.1.221,0,0.0,3
91159,Togo,2020-05-25,B.1.258,0,0.0,3
91160,Togo,2020-05-25,B.1.367,0,0.0,3
91161,Togo,2020-05-25,B.1.620,0,0.0,3
91162,Togo,2020-05-25,Beta,0,0.0,3
91163,Togo,2020-05-25,Delta,0,0.0,3
91164,Togo,2020-05-25,Epsilon,0,0.0,3
91165,Togo,2020-05-25,Eta,0,0.0,3
91166,Togo,2020-05-25,Gamma,0,0.0,3
91167,Togo,2020-05-25,Iota,0,0.0,3
91168,Togo,2020-05-25,Kappa,0,0.0,3
91169,Togo,2020-05-25,Lambda,0,0.0,3
91170,Togo,2020-05-25,Mu,0,0.0,3
91171,Togo,2020-05-25,Omicron,0,0.0,3
91172,Togo,2020-05-25,S:677H.Robin1,0,0.0,3
91173,Togo,2020-05-25,S:677P.Pelican,0,0.0,3
91174,Togo,2020-05-25,others,3,100.0,3
91175,Togo,2020-05-25,non_who,3,100.0,3
91176,Togo,2020-06-08,Alpha,0,0.0,4
91177,Togo,2020-06-08,B.1.1.277,0,0.0,4
91178,Togo,2020-06-08,B.1.1.302,0,0.0,4
91179,Togo,2020-06-08,B.1.1.519,0,0.0,4
91180,Togo,2020-06-08,B.1.160,0,0.0,4
91181,Togo,2020-06-08,B.1.177,0,0.0,4
91182,Togo,2020-06-08,B.1.221,0,0.0,4
91183,Togo,2020-06-08,B.1.258,0,0.0,4
91184,Togo,2020-06-08,B.1.367,0,0.0,4
91185,Togo,2020-06-08,B.1.620,0,0.0,4
91186,Togo,2020-06-08,Beta,0,0.0,4
91187,Togo,2020-06-08,Delta,0,0.0,4
91188,Togo,2020-06-08,Epsilon,0,0.0,4
91189,Togo,2020-06-08,Eta,0,0.0,4
91190,Togo,2020-06-08,Gamma,0,0.0,4
91191,Togo,2020-06-08,Iota,0,0.0,4
91192,Togo,2020-06-08,Kappa,0,0.0,4
91193,Togo,2020-06-08,Lambda,0,0.0,4
91194,Togo,2020-06-08,Mu,0,0.0,4
91195,Togo,2020-06-08,Omicron,0,0.0,4
91196,Togo,2020-06-08,S:677H.Robin1,0,0.0,4
91197,Togo,2020-06-08,S:677P.Pelican,0,0.0,4
91198,Togo,2020-06-08,others,4,100.0,4
91199,Togo,2020-06-08,non_who,4,100.0,4
91200,Togo,2020-07-20,Alpha,0,0.0,2
91201,Togo,2020-07-20,B.1.1.277,0,0.0,2
