,location,date,variant,num_sequences,perc_sequences,num_sequences_total
91680,Trinidad and Tobago,2020-06-22,Alpha,0,0.0,1
91681,Trinidad and Tobago,2020-06-22,B.1.1.277,0,0.0,1
91682,Trinidad and Tobago,2020-06-22,B.1.1.302,0,0.0,1
91683,Trinidad and Tobago,2020-06-22,B.1.1.519,0,0.0,1
91684,Trinidad and Tobago,2020-06-22,B.1.160,0,0.0,1
91685,Trinidad and Tobago,2020-06-22,B.1.177,0,0.0,1
91686,Trinidad and Tobago,2020-06-22,B.1.221,0,0.0,1
91687,Trinidad and Tobago,2020-06-22,B.1.258,0,0.0,1
91688,Trinidad and Tobago,2020-06-22,B.1.367,0,0.0,1
91689,Trinidad and Tobago,2020-06-22,B.1.620,0,0.0,1
91690,Trinidad and Tobago,2020-06-22,Beta,0,0.0,1
91691,Trinidad and Tobago,2020-06-22,Delta,0,0.0,1
91692,Trinidad and Tobago,2020-06-22,Epsilon,0,0.0,1
91693,Trinidad and Tobago,2020-06-22,Eta,0,0.0,1
91694,Trinidad and Tobago,2020-06-22,Gamma,0,0.0,1
91695,Trinidad and Tobago,2020-06-22,Iota,0,0.0,1
91696,Trinidad and Tobago,2020-06-22,Kappa,0,0.0,1
91697,Trinidad and Tobago,2020-06-22,Lambda,0,0.0,1
91698,Trinidad and Tobago,2020-06-22,Mu,0,0.0,1
91699,Trinidad and Tobago,2020-06-22,Omicron,0,0.0,1
91700,Trinidad and Tobago,2020-06-22,S:677H.Robin1,0,0.0,1
91701,Trinidad and Tobago,2020-06-22,S:677P.Pelican,0,0.0,1
91702,Trinidad and Tobago,2020-06-22,others,1,100.0,1
91703,Trinidad and Tobago,2020-06-22,non_who,1,100.0,1
91704,Trinidad and Tobago,2020-08-17,Alpha,0,0.0,1
91705,Trinidad and Tobago,2020-08-17,B.1.1.277,0,0.0,1
91706,Trinidad and Tobago,2020-08-17,B.1.1.302,0,0.0,1
91707,Trinidad and Tobago,2020-08-17,B.1.1.519,0,0.0,1
91708,Trinidad and Tobago,2020-08-17,B.1.160,0,0.0,1
91709,Trinidad and Tobago,2020-08-17,B.1.177,0,0.0,1
91710,Trinidad and Tobago,2020-08-17,B.1.221,0,0.0,1
91711,Trinidad and Tobago,2020-08-17,B.1.258,0,0.0,1
91712,Trinidad and Tobago,2020-08-17,B.1.367,0,0.0,1
91713,Trinidad and Tobago,2020-08-17,B.1.620,0,0.0,1
91714,Trinidad and Tobago,2020-08-17,Beta,0,0.0,1
91715,Trinidad and Tobago,2020-08-17,Delta,0,0.0,1
91716,Trinidad and Tobago,2020-08-17,Epsilon,0,0.0,1
91717,Trinidad and Tobago,2020-08-17,Eta,0,0.0,1
91718,Trinidad and Tobago,2020-08-17,Gamma,0,0.0,1
91719,Trinidad and Tobago,2020-08-17,Iota,0,0.0,1
91720,Trinidad and Tobago,2020-08-17,Kappa,0,0.0,1
91721,Trinidad and Tobago,2020-08-17,Lambda,0,0.0,1
91722,Trinidad and Tobago,2020-08-17,Mu,0,0.0,1
91723,Trinidad and Tobago,2020-08-17,Omicron,0,0.0,1
91724,Trinidad and Tobago,2020-08-17,S:677H.Robin1,0,0.0,1
91725,Trinidad and Tobago,2020-08-17,S:677P.Pelican,0,0.0,1
91726,Trinidad and Tobago,2020-08-17,others,1,100.0,1
91727,Trinidad and Tobago,2020-08-17,non_who,1,100.0,1
91728,Trinidad and Tobago,2020-08-31,Alpha,0,0.0,10
91729,Trinidad and Tobago,2020-08-31,B.1.1.277,0,0.0,10
91730,Trinidad and Tobago,2020-08-31,B.1.1.302,0,0.0,10
91731,Trinidad and Tobago,2020-08-31,B.1.1.519,0,0.0,10
91732,Trinidad and Tobago,2020-08-31,B.1.160,0,0.0,10
