,location,date,variant,num_sequences,perc_sequences,num_sequences_total
93504,Uganda,2020-05-11,Alpha,0,0.0,27
93505,Uganda,2020-05-11,B.1.1.277,0,0.0,27
93506,Uganda,2020-05-11,B.1.1.302,0,0.0,27
93507,Uganda,2020-05-11,B.1.1.519,0,0.0,27
93508,Uganda,2020-05-11,B.1.160,0,0.0,27
93509,Uganda,2020-05-11,B.1.177,0,0.0,27
93510,Uganda,2020-05-11,B.1.221,0,0.0,27
93511,Uganda,2020-05-11,B.1.258,0,0.0,27
93512,Uganda,2020-05-11,B.1.367,0,0.0,27
93513,Uganda,2020-05-11,B.1.620,0,0.0,27
93514,Uganda,2020-05-11,Beta,0,0.0,27
93515,Uganda,2020-05-11,Delta,0,0.0,27
93516,Uganda,2020-05-11,Epsilon,0,0.0,27
93517,Uganda,2020-05-11,Eta,0,0.0,27
93518,Uganda,2020-05-11,Gamma,0,0.0,27
93519,Uganda,2020-05-11,Iota,0,0.0,27
93520,Uganda,2020-05-11,Kappa,0,0.0,27
93521,Uganda,2020-05-11,Lambda,0,0.0,27
93522,Uganda,2020-05-11,Mu,0,0.0,27
93523,Uganda,2020-05-11,Omicron,0,0.0,27
93524,Uganda,2020-05-11,S:677H.Robin1,0,0.0,27
93525,Uganda,2020-05-11,S:677P.Pelican,0,0.0,27
93526,Uganda,2020-05-11,others,27,100.0,27
93527,Uganda,2020-05-11,non_who,27,100.0,27
93528,Uganda,2020-05-25,Alpha,0,0.0,1
93529,Uganda,2020-05-25,B.1.1.277,0,0.0,1
93530,Uganda,2020-05-25,B.1.1.302,0,0.0,1
93531,Uganda,2020-05-25,B.1.1.519,0,0.0,1
93532,Uganda,2020-05-25,B.1.160,0,0.0,1
93533,Uganda,2020-05-25,B.1.177,0,0.0,1
93534,Uganda,2020-05-25,B.1.221,0,0.0,1
93535,Uganda,2020-05-25,B.1.258,0,0.0,1
93536,Uganda,2020-05-25,B.1.367,0,0.0,1
93537,Uganda,2020-05-25,B.1.620,0,0.0,1
93538,Uganda,2020-05-25,Beta,0,0.0,1
93539,Uganda,2020-05-25,Delta,0,0.0,1
93540,Uganda,2020-05-25,Epsilon,0,0.0,1
93541,Uganda,2020-05-25,Eta,0,0.0,1
93542,Uganda,2020-05-25,Gamma,0,0.0,1
93543,Uganda,2020-05-25,Iota,0,0.0,1
93544,Uganda,2020-05-25,Kappa,0,0.0,1
93545,Uganda,2020-05-25,Lambda,0,0.0,1
93546,Uganda,2020-05-25,Mu,0,0.0,1
93547,Uganda,2020-05-25,Omicron,0,0.0,1
93548,Uganda,2020-05-25,S:677H.Robin1,0,0.0,1
93549,Uganda,2020-05-25,S:677P.Pelican,0,0.0,1
93550,Uganda,2020-05-25,others,1,100.0,1
93551,Uganda,2020-05-25,non_who,1,100.0,1
93552,Uganda,2020-07-06,Alpha,0,0.0,4
93553,Uganda,2020-07-06,B.1.1.277,0,0.0,4
93554,Uganda,2020-07-06,B.1.1.302,0,0.0,4
93555,Uganda,2020-07-06,B.1.1.519,0,0.0,4
93556,Uganda,2020-07-06,B.1.160,0,0.0,4
93557,Uganda,2020-07-06,B.1.177,0,0.0,4
93558,Uganda,2020-07-06,B.1.221,0,0.0,4
93559,Uganda,2020-07-06,B.1.258,0,0.0,4
93560,Uganda,2020-07-06,B.1.367,0,0.0,4
93561,Uganda,2020-07-06,B.1.620,0,0.0,4
93562,Uganda,2020-07-06,Beta,0,0.0,4
93563,Uganda,2020-07-06,Delta,0,0.0,4
93564,Uganda,2020-07-06,Epsilon,0,0.0,4
93565,Uganda,2020-07-06,Eta,0,0.0,4
93566,Uganda,2020-07-06,Gamma,0,0.0,4
93567,Uganda,2020-07-06,Iota,0,0.0,4
93568,Uganda,2020-07-06,Kappa,0,0.0,4
93569,Uganda,2020-07-06,Lambda,0,0.0,4
93570,Uganda,2020-07-06,Mu,0,0.0,4
93571,Uganda,2020-07-06,Omicron,0,0.0,4
93572,Uganda,2020-07-06,S:677H.Robin1,0,0.0,4
93573,Uganda,2020-07-06,S:677P.Pelican,0,0.0,4
93574,Uganda,2020-07-06,others,4,100.0,4
93575,Uganda,2020-07-06,non_who,4,100.0,4
93576,Uganda,2020-07-20,Alpha,0,0.0,2
93577,Uganda,2020-07-20,B.1.1.277,0,0.0,2
93578,Uganda,2020-07-20,B.1.1.302,0,0.0,2
93579,Uganda,2020-07-20,B.1.1.519,0,0.0,2
93580,Uganda,2020-07-20,B.1.160,0,0.0,2
93581,Uganda,2020-07-20,B.1.177,0,0.0,2
93582,Uganda,2020-07-20,B.1.221,0,0.0,2
93583,Uganda,2020-07-20,B.1.258,0,0.0,2
93584,Uganda,2020-07-20,B.1.367,0,0.0,2
93585,Uganda,2020-07-20,B.1.620,0,0.0,2
93586,Uganda,2020-07-20,Beta,0,0.0,2
93587,Uganda,2020-07-20,Delta,0,0.0,2
93588,Uganda,2020-07-20,Epsilon,0,0.0,2
93589,Uganda,2020-07-20,Eta,0,0.0,2
93590,Uganda,2020-07-20,Gamma,0,0.0,2
93591,Uganda,2020-07-20,Iota,0,0.0,2
93592,Uganda,2020-07-20,Kappa,0,0.0,2
93593,Uganda,2020-07-20,Lambda,0,0.0,2
93594,Uganda,2020-07-20,Mu,0,0.0,2
93595,Uganda,2020-07-20,Omicron,0,0.0,2
93596,Uganda,2020-07-20,S:677H.Robin1,0,0.0,2
93597,Uganda,2020-07-20,S:677P.Pelican,0,0.0,2
93598,Uganda,2020-07-20,others,2,100.0,2
93599,Uganda,2020-07-20,non_who,2,100.0,2
93600,Uganda,2020-08-03,Alpha,0,0.0,9
