,location,date,variant,num_sequences,perc_sequences,num_sequences_total
94296,Ukraine,2020-05-11,Alpha,0,0.0,2
94297,Ukraine,2020-05-11,B.1.1.277,0,0.0,2
94298,Ukraine,2020-05-11,B.1.1.302,0,0.0,2
94299,Ukraine,2020-05-11,B.1.1.519,0,0.0,2
94300,Ukraine,2020-05-11,B.1.160,0,0.0,2
94301,Ukraine,2020-05-11,B.1.177,0,0.0,2
94302,Ukraine,2020-05-11,B.1.221,0,0.0,2
94303,Ukraine,2020-05-11,B.1.258,0,0.0,2
94304,Ukraine,2020-05-11,B.1.367,0,0.0,2
94305,Ukraine,2020-05-11,B.1.620,0,0.0,2
94306,Ukraine,2020-05-11,Beta,0,0.0,2
94307,Ukraine,2020-05-11,Delta,0,0.0,2
94308,Ukraine,2020-05-11,Epsilon,0,0.0,2
94309,Ukraine,2020-05-11,Eta,0,0.0,2
94310,Ukraine,2020-05-11,Gamma,0,0.0,2
94311,Ukraine,2020-05-11,Iota,0,0.0,2
94312,Ukraine,2020-05-11,Kappa,0,0.0,2
94313,Ukraine,2020-05-11,Lambda,0,0.0,2
94314,Ukraine,2020-05-11,Mu,0,0.0,2
94315,Ukraine,2020-05-11,Omicron,0,0.0,2
94316,Ukraine,2020-05-11,S:677H.Robin1,0,0.0,2
94317,Ukraine,2020-05-11,S:677P.Pelican,0,0.0,2
94318,Ukraine,2020-05-11,others,2,100.0,2
94319,Ukraine,2020-05-11,non_who,2,100.0,2
94320,Ukraine,2020-05-25,Alpha,0,0.0,9
94321,Ukraine,2020-05-25,B.1.1.277,0,0.0,9
94322,Ukraine,2020-05-25,B.1.1.302,0,0.0,9
94323,Ukraine,2020-05-25,B.1.1.519,0,0.0,9
94324,Ukraine,2020-05-25,B.1.160,0,0.0,9
94325,Ukraine,2020-05-25,B.1.177,0,0.0,9
94326,Ukraine,2020-05-25,B.1.221,0,0.0,9
94327,Ukraine,2020-05-25,B.1.258,0,0.0,9
94328,Ukraine,2020-05-25,B.1.367,0,0.0,9
94329,Ukraine,2020-05-25,B.1.620,0,0.0,9
94330,Ukraine,2020-05-25,Beta,0,0.0,9
94331,Ukraine,2020-05-25,Delta,0,0.0,9
94332,Ukraine,2020-05-25,Epsilon,0,0.0,9
94333,Ukraine,2020-05-25,Eta,0,0.0,9
94334,Ukraine,2020-05-25,Gamma,0,0.0,9
94335,Ukraine,2020-05-25,Iota,0,0.0,9
94336,Ukraine,2020-05-25,Kappa,0,0.0,9
94337,Ukraine,2020-05-25,Lambda,0,0.0,9
94338,Ukraine,2020-05-25,Mu,0,0.0,9
