,location,date,variant,num_sequences,perc_sequences,num_sequences_total
95112,United Arab Emirates,2020-05-11,Alpha,0,0.0,133
95113,United Arab Emirates,2020-05-11,B.1.1.277,0,0.0,133
95114,United Arab Emirates,2020-05-11,B.1.1.302,0,0.0,133
95115,United Arab Emirates,2020-05-11,B.1.1.519,0,0.0,133
95116,United Arab Emirates,2020-05-11,B.1.160,0,0.0,133
95117,United Arab Emirates,2020-05-11,B.1.177,0,0.0,133
95118,United Arab Emirates,2020-05-11,B.1.221,0,0.0,133
95119,United Arab Emirates,2020-05-11,B.1.258,0,0.0,133
95120,United Arab Emirates,2020-05-11,B.1.367,0,0.0,133
95121,United Arab Emirates,2020-05-11,B.1.620,0,0.0,133
95122,United Arab Emirates,2020-05-11,Beta,0,0.0,133
95123,United Arab Emirates,2020-05-11,Delta,0,0.0,133
95124,United Arab Emirates,2020-05-11,Epsilon,0,0.0,133
95125,United Arab Emirates,2020-05-11,Eta,0,0.0,133
95126,United Arab Emirates,2020-05-11,Gamma,0,0.0,133
95127,United Arab Emirates,2020-05-11,Iota,0,0.0,133
95128,United Arab Emirates,2020-05-11,Kappa,0,0.0,133
95129,United Arab Emirates,2020-05-11,Lambda,0,0.0,133
95130,United Arab Emirates,2020-05-11,Mu,0,0.0,133
95131,United Arab Emirates,2020-05-11,Omicron,0,0.0,133
95132,United Arab Emirates,2020-05-11,S:677H.Robin1,0,0.0,133
95133,United Arab Emirates,2020-05-11,S:677P.Pelican,0,0.0,133
95134,United Arab Emirates,2020-05-11,others,133,100.0,133
95135,United Arab Emirates,2020-05-11,non_who,133,100.0,133
95136,United Arab Emirates,2020-05-25,Alpha,0,0.0,891
95137,United Arab Emirates,2020-05-25,B.1.1.277,0,0.0,891
95138,United Arab Emirates,2020-05-25,B.1.1.302,0,0.0,891
95139,United Arab Emirates,2020-05-25,B.1.1.519,0,0.0,891
95140,United Arab Emirates,2020-05-25,B.1.160,0,0.0,891
95141,United Arab Emirates,2020-05-25,B.1.177,0,0.0,891
95142,United Arab Emirates,2020-05-25,B.1.221,0,0.0,891
95143,United Arab Emirates,2020-05-25,B.1.258,0,0.0,891
95144,United Arab Emirates,2020-05-25,B.1.367,0,0.0,891
95145,United Arab Emirates,2020-05-25,B.1.620,0,0.0,891
95146,United Arab Emirates,2020-05-25,Beta,0,0.0,891
95147,United Arab Emirates,2020-05-25,Delta,0,0.0,891
95148,United Arab Emirates,2020-05-25,Epsilon,0,0.0,891
95149,United Arab Emirates,2020-05-25,Eta,0,0.0,891
95150,United Arab Emirates,2020-05-25,Gamma,0,0.0,891
95151,United Arab Emirates,2020-05-25,Iota,0,0.0,891
95152,United Arab Emirates,2020-05-25,Kappa,0,0.0,891
95153,United Arab Emirates,2020-05-25,Lambda,0,0.0,891
95154,United Arab Emirates,2020-05-25,Mu,0,0.0,891
95155,United Arab Emirates,2020-05-25,Omicron,0,0.0,891
95156,United Arab Emirates,2020-05-25,S:677H.Robin1,0,0.0,891
95157,United Arab Emirates,2020-05-25,S:677P.Pelican,0,0.0,891
95158,United Arab Emirates,2020-05-25,others,891,100.0,891
