,location,date,variant,num_sequences,perc_sequences,num_sequences_total
95688,United Kingdom,2020-05-11,Alpha,0,0.0,4753
95689,United Kingdom,2020-05-11,B.1.1.277,0,0.0,4753
95690,United Kingdom,2020-05-11,B.1.1.302,0,0.0,4753
95691,United Kingdom,2020-05-11,B.1.1.519,0,0.0,4753
95692,United Kingdom,2020-05-11,B.1.160,0,0.0,4753
95693,United Kingdom,2020-05-11,B.1.177,0,0.0,4753
95694,United Kingdom,2020-05-11,B.1.221,0,0.0,4753
95695,United Kingdom,2020-05-11,B.1.258,0,0.0,4753
95696,United Kingdom,2020-05-11,B.1.367,0,0.0,4753
95697,United Kingdom,2020-05-11,B.1.620,0,0.0,4753
95698,United Kingdom,2020-05-11,Beta,0,0.0,4753
95699,United Kingdom,2020-05-11,Delta,0,0.0,4753
95700,United Kingdom,2020-05-11,Epsilon,0,0.0,4753
95701,United Kingdom,2020-05-11,Eta,0,0.0,4753
95702,United Kingdom,2020-05-11,Gamma,0,0.0,4753
95703,United Kingdom,2020-05-11,Iota,0,0.0,4753
95704,United Kingdom,2020-05-11,Kappa,0,0.0,4753
95705,United Kingdom,2020-05-11,Lambda,0,0.0,4753
95706,United Kingdom,2020-05-11,Mu,0,0.0,4753
95707,United Kingdom,2020-05-11,Omicron,0,0.0,4753
95708,United Kingdom,2020-05-11,S:677H.Robin1,0,0.0,4753
95709,United Kingdom,2020-05-11,S:677P.Pelican,0,0.0,4753
95710,United Kingdom,2020-05-11,others,4753,100.0,4753
95711,United Kingdom,2020-05-11,non_who,4753,100.0,4753
95712,United Kingdom,2020-05-25,Alpha,0,0.0,2767
95713,United Kingdom,2020-05-25,B.1.1.277,0,0.0,2767
95714,United Kingdom,2020-05-25,B.1.1.302,0,0.0,2767
95715,United Kingdom,2020-05-25,B.1.1.519,0,0.0,2767
95716,United Kingdom,2020-05-25,B.1.160,0,0.0,2767
95717,United Kingdom,2020-05-25,B.1.177,0,0.0,2767
95718,United Kingdom,2020-05-25,B.1.221,0,0.0,2767
95719,United Kingdom,2020-05-25,B.1.258,0,0.0,2767
95720,United Kingdom,2020-05-25,B.1.367,0,0.0,2767
95721,United Kingdom,2020-05-25,B.1.620,0,0.0,2767
95722,United Kingdom,2020-05-25,Beta,0,0.0,2767
95723,United Kingdom,2020-05-25,Delta,0,0.0,2767
95724,United Kingdom,2020-05-25,Epsilon,0,0.0,2767
95725,United Kingdom,2020-05-25,Eta,0,0.0,2767
95726,United Kingdom,2020-05-25,Gamma,0,0.0,2767
95727,United Kingdom,2020-05-25,Iota,0,0.0,2767
95728,United Kingdom,2020-05-25,Kappa,0,0.0,2767
95729,United Kingdom,2020-05-25,Lambda,0,0.0,2767
95730,United Kingdom,2020-05-25,Mu,0,0.0,2767
95731,United Kingdom,2020-05-25,Omicron,0,0.0,2767
95732,United Kingdom,2020-05-25,S:677H.Robin1,0,0.0,2767
95733,United Kingdom,2020-05-25,S:677P.Pelican,0,0.0,2767
95734,United Kingdom,2020-05-25,others,2767,100.0,2767
95735,United Kingdom,2020-05-25,non_who,2767,100.0,2767
95736,United Kingdom,2020-06-08,Alpha,0,0.0,1761
95737,United Kingdom,2020-06-08,B.1.1.277,0,0.0,1761
95738,United Kingdom,2020-06-08,B.1.1.302,0,0.0,1761
95739,United Kingdom,2020-06-08,B.1.1.519,0,0.0,1761
95740,United Kingdom,2020-06-08,B.1.160,0,0.0,1761
95741,United Kingdom,2020-06-08,B.1.177,0,0.0,1761
95742,United Kingdom,2020-06-08,B.1.221,0,0.0,1761
95743,United Kingdom,2020-06-08,B.1.258,0,0.0,1761
95744,United Kingdom,2020-06-08,B.1.367,0,0.0,1761
95745,United Kingdom,2020-06-08,B.1.620,0,0.0,1761
95746,United Kingdom,2020-06-08,Beta,0,0.0,1761
95747,United Kingdom,2020-06-08,Delta,0,0.0,1761
95748,United Kingdom,2020-06-08,Epsilon,0,0.0,1761
95749,United Kingdom,2020-06-08,Eta,0,0.0,1761
95750,United Kingdom,2020-06-08,Gamma,0,0.0,1761
95751,United Kingdom,2020-06-08,Iota,0,0.0,1761
95752,United Kingdom,2020-06-08,Kappa,0,0.0,1761
95753,United Kingdom,2020-06-08,Lambda,0,0.0,1761
95754,United Kingdom,2020-06-08,Mu,0,0.0,1761
95755,United Kingdom,2020-06-08,Omicron,0,0.0,1761
95756,United Kingdom,2020-06-08,S:677H.Robin1,0,0.0,1761
95757,United Kingdom,2020-06-08,S:677P.Pelican,0,0.0,1761
95758,United Kingdom,2020-06-08,others,1761,100.0,1761
95759,United Kingdom,2020-06-08,non_who,1761,100.0,1761
95760,United Kingdom,2020-06-22,Alpha,0,0.0,4716
95761,United Kingdom,2020-06-22,B.1.1.277,0,0.0,4716
95762,United Kingdom,2020-06-22,B.1.1.302,0,0.0,4716
95763,United Kingdom,2020-06-22,B.1.1.519,0,0.0,4716
95764,United Kingdom,2020-06-22,B.1.160,0,0.0,4716
95765,United Kingdom,2020-06-22,B.1.177,0,0.0,4716
95766,United Kingdom,2020-06-22,B.1.221,0,0.0,4716
95767,United Kingdom,2020-06-22,B.1.258,0,0.0,4716
95768,United Kingdom,2020-06-22,B.1.367,0,0.0,4716
95769,United Kingdom,2020-06-22,B.1.620,0,0.0,4716
95770,United Kingdom,2020-06-22,Beta,0,0.0,4716
95771,United Kingdom,2020-06-22,Delta,0,0.0,4716
95772,United Kingdom,2020-06-22,Epsilon,0,0.0,4716
95773,United Kingdom,2020-06-22,Eta,0,0.0,4716
95774,United Kingdom,2020-06-22,Gamma,0,0.0,4716
95775,United Kingdom,2020-06-22,Iota,0,0.0,4716
95776,United Kingdom,2020-06-22,Kappa,0,0.0,4716
95777,United Kingdom,2020-06-22,Lambda,0,0.0,4716
95778,United Kingdom,2020-06-22,Mu,0,0.0,4716
95779,United Kingdom,2020-06-22,Omicron,0,0.0,4716
95780,United Kingdom,2020-06-22,S:677H.Robin1,0,0.0,4716
95781,United Kingdom,2020-06-22,S:677P.Pelican,0,0.0,4716
95782,United Kingdom,2020-06-22,others,4716,100.0,4716
95783,United Kingdom,2020-06-22,non_who,4716,100.0,4716
95784,United Kingdom,2020-07-06,Alpha,0,0.0,2286
95785,United Kingdom,2020-07-06,B.1.1.277,0,0.0,2286
95786,United Kingdom,2020-07-06,B.1.1.302,0,0.0,2286
95787,United Kingdom,2020-07-06,B.1.1.519,0,0.0,2286
95788,United Kingdom,2020-07-06,B.1.160,0,0.0,2286
95789,United Kingdom,2020-07-06,B.1.177,0,0.0,2286
95790,United Kingdom,2020-07-06,B.1.221,0,0.0,2286
95791,United Kingdom,2020-07-06,B.1.258,2,0.09,2286
95792,United Kingdom,2020-07-06,B.1.367,0,0.0,2286
95793,United Kingdom,2020-07-06,B.1.620,0,0.0,2286
95794,United Kingdom,2020-07-06,Beta,0,0.0,2286
95795,United Kingdom,2020-07-06,Delta,0,0.0,2286
95796,United Kingdom,2020-07-06,Epsilon,0,0.0,2286
95797,United Kingdom,2020-07-06,Eta,0,0.0,2286
95798,United Kingdom,2020-07-06,Gamma,0,0.0,2286
95799,United Kingdom,2020-07-06,Iota,0,0.0,2286
95800,United Kingdom,2020-07-06,Kappa,0,0.0,2286
95801,United Kingdom,2020-07-06,Lambda,0,0.0,2286
95802,United Kingdom,2020-07-06,Mu,0,0.0,2286
95803,United Kingdom,2020-07-06,Omicron,0,0.0,2286
95804,United Kingdom,2020-07-06,S:677H.Robin1,0,0.0,2286
95805,United Kingdom,2020-07-06,S:677P.Pelican,0,0.0,2286
95806,United Kingdom,2020-07-06,others,2284,99.91,2286
95807,United Kingdom,2020-07-06,non_who,2286,100.0,2286
95808,United Kingdom,2020-07-20,Alpha,0,0.0,1088
95809,United Kingdom,2020-07-20,B.1.1.277,0,0.0,1088
95810,United Kingdom,2020-07-20,B.1.1.302,1,0.09,1088
95811,United Kingdom,2020-07-20,B.1.1.519,0,0.0,1088
95812,United Kingdom,2020-07-20,B.1.160,0,0.0,1088
95813,United Kingdom,2020-07-20,B.1.177,1,0.09,1088
95814,United Kingdom,2020-07-20,B.1.221,0,0.0,1088
95815,United Kingdom,2020-07-20,B.1.258,13,1.19,1088
95816,United Kingdom,2020-07-20,B.1.367,0,0.0,1088
95817,United Kingdom,2020-07-20,B.1.620,0,0.0,1088
95818,United Kingdom,2020-07-20,Beta,0,0.0,1088
95819,United Kingdom,2020-07-20,Delta,0,0.0,1088
95820,United Kingdom,2020-07-20,Epsilon,0,0.0,1088
95821,United Kingdom,2020-07-20,Eta,0,0.0,1088
95822,United Kingdom,2020-07-20,Gamma,0,0.0,1088
95823,United Kingdom,2020-07-20,Iota,0,0.0,1088
95824,United Kingdom,2020-07-20,Kappa,0,0.0,1088
95825,United Kingdom,2020-07-20,Lambda,0,0.0,1088
95826,United Kingdom,2020-07-20,Mu,0,0.0,1088
