,location,date,variant,num_sequences,perc_sequences,num_sequences_total
96768,United States,2020-05-11,Alpha,0,0.0,5804
96769,United States,2020-05-11,B.1.1.277,0,0.0,5804
96770,United States,2020-05-11,B.1.1.302,0,0.0,5804
96771,United States,2020-05-11,B.1.1.519,0,0.0,5804
96772,United States,2020-05-11,B.1.160,0,0.0,5804
96773,United States,2020-05-11,B.1.177,0,0.0,5804
96774,United States,2020-05-11,B.1.221,0,0.0,5804
96775,United States,2020-05-11,B.1.258,0,0.0,5804
96776,United States,2020-05-11,B.1.367,0,0.0,5804
96777,United States,2020-05-11,B.1.620,0,0.0,5804
96778,United States,2020-05-11,Beta,0,0.0,5804
96779,United States,2020-05-11,Delta,0,0.0,5804
96780,United States,2020-05-11,Epsilon,0,0.0,5804
96781,United States,2020-05-11,Eta,0,0.0,5804
96782,United States,2020-05-11,Gamma,0,0.0,5804
96783,United States,2020-05-11,Iota,0,0.0,5804
96784,United States,2020-05-11,Kappa,0,0.0,5804
96785,United States,2020-05-11,Lambda,0,0.0,5804
96786,United States,2020-05-11,Mu,0,0.0,5804
96787,United States,2020-05-11,Omicron,0,0.0,5804
96788,United States,2020-05-11,S:677H.Robin1,0,0.0,5804
96789,United States,2020-05-11,S:677P.Pelican,0,0.0,5804
96790,United States,2020-05-11,others,5804,100.0,5804
96791,United States,2020-05-11,non_who,5804,100.0,5804
96792,United States,2020-05-25,Alpha,0,0.0,4736
96793,United States,2020-05-25,B.1.1.277,0,0.0,4736
96794,United States,2020-05-25,B.1.1.302,0,0.0,4736
96795,United States,2020-05-25,B.1.1.519,0,0.0,4736
96796,United States,2020-05-25,B.1.160,0,0.0,4736
96797,United States,2020-05-25,B.1.177,0,0.0,4736
96798,United States,2020-05-25,B.1.221,0,0.0,4736
96799,United States,2020-05-25,B.1.258,0,0.0,4736
96800,United States,2020-05-25,B.1.367,0,0.0,4736
96801,United States,2020-05-25,B.1.620,0,0.0,4736
96802,United States,2020-05-25,Beta,0,0.0,4736
96803,United States,2020-05-25,Delta,0,0.0,4736
96804,United States,2020-05-25,Epsilon,0,0.0,4736
96805,United States,2020-05-25,Eta,0,0.0,4736
96806,United States,2020-05-25,Gamma,0,0.0,4736
96807,United States,2020-05-25,Iota,0,0.0,4736
96808,United States,2020-05-25,Kappa,0,0.0,4736
96809,United States,2020-05-25,Lambda,0,0.0,4736
96810,United States,2020-05-25,Mu,0,0.0,4736
96811,United States,2020-05-25,Omicron,0,0.0,4736
96812,United States,2020-05-25,S:677H.Robin1,0,0.0,4736
96813,United States,2020-05-25,S:677P.Pelican,0,0.0,4736
96814,United States,2020-05-25,others,4736,100.0,4736
96815,United States,2020-05-25,non_who,4736,100.0,4736
96816,United States,2020-06-08,Alpha,0,0.0,4035
96817,United States,2020-06-08,B.1.1.277,0,0.0,4035
96818,United States,2020-06-08,B.1.1.302,0,0.0,4035
96819,United States,2020-06-08,B.1.1.519,0,0.0,4035
96820,United States,2020-06-08,B.1.160,0,0.0,4035
96821,United States,2020-06-08,B.1.177,0,0.0,4035
96822,United States,2020-06-08,B.1.221,0,0.0,4035
96823,United States,2020-06-08,B.1.258,0,0.0,4035
96824,United States,2020-06-08,B.1.367,0,0.0,4035
96825,United States,2020-06-08,B.1.620,0,0.0,4035
96826,United States,2020-06-08,Beta,0,0.0,4035
96827,United States,2020-06-08,Delta,0,0.0,4035
96828,United States,2020-06-08,Epsilon,0,0.0,4035
96829,United States,2020-06-08,Eta,0,0.0,4035
96830,United States,2020-06-08,Gamma,0,0.0,4035
96831,United States,2020-06-08,Iota,0,0.0,4035
96832,United States,2020-06-08,Kappa,0,0.0,4035
96833,United States,2020-06-08,Lambda,0,0.0,4035
96834,United States,2020-06-08,Mu,0,0.0,4035
96835,United States,2020-06-08,Omicron,0,0.0,4035
96836,United States,2020-06-08,S:677H.Robin1,0,0.0,4035
96837,United States,2020-06-08,S:677P.Pelican,0,0.0,4035
96838,United States,2020-06-08,others,4035,100.0,4035
96839,United States,2020-06-08,non_who,4035,100.0,4035
96840,United States,2020-06-22,Alpha,0,0.0,6070
96841,United States,2020-06-22,B.1.1.277,0,0.0,6070
96842,United States,2020-06-22,B.1.1.302,0,0.0,6070
96843,United States,2020-06-22,B.1.1.519,0,0.0,6070
96844,United States,2020-06-22,B.1.160,0,0.0,6070
96845,United States,2020-06-22,B.1.177,0,0.0,6070
96846,United States,2020-06-22,B.1.221,0,0.0,6070
96847,United States,2020-06-22,B.1.258,0,0.0,6070
96848,United States,2020-06-22,B.1.367,0,0.0,6070
96849,United States,2020-06-22,B.1.620,0,0.0,6070
96850,United States,2020-06-22,Beta,0,0.0,6070
96851,United States,2020-06-22,Delta,0,0.0,6070
96852,United States,2020-06-22,Epsilon,0,0.0,6070
96853,United States,2020-06-22,Eta,0,0.0,6070
96854,United States,2020-06-22,Gamma,0,0.0,6070
96855,United States,2020-06-22,Iota,0,0.0,6070
96856,United States,2020-06-22,Kappa,0,0.0,6070
96857,United States,2020-06-22,Lambda,0,0.0,6070
96858,United States,2020-06-22,Mu,0,0.0,6070
96859,United States,2020-06-22,Omicron,0,0.0,6070
