,location,date,variant,num_sequences,perc_sequences,num_sequences_total
98424,Vietnam,2021-01-04,Alpha,0,0.0,1
98425,Vietnam,2021-01-04,B.1.1.277,0,0.0,1
98426,Vietnam,2021-01-04,B.1.1.302,0,0.0,1
98427,Vietnam,2021-01-04,B.1.1.519,0,0.0,1
98428,Vietnam,2021-01-04,B.1.160,0,0.0,1
98429,Vietnam,2021-01-04,B.1.177,1,100.0,1
98430,Vietnam,2021-01-04,B.1.221,0,0.0,1
98431,Vietnam,2021-01-04,B.1.258,0,0.0,1
98432,Vietnam,2021-01-04,B.1.367,0,0.0,1
98433,Vietnam,2021-01-04,B.1.620,0,0.0,1
98434,Vietnam,2021-01-04,Beta,0,0.0,1
98435,Vietnam,2021-01-04,Delta,0,0.0,1
98436,Vietnam,2021-01-04,Epsilon,0,0.0,1
98437,Vietnam,2021-01-04,Eta,0,0.0,1
98438,Vietnam,2021-01-04,Gamma,0,0.0,1
98439,Vietnam,2021-01-04,Iota,0,0.0,1
98440,Vietnam,2021-01-04,Kappa,0,0.0,1
98441,Vietnam,2021-01-04,Lambda,0,0.0,1
98442,Vietnam,2021-01-04,Mu,0,0.0,1
98443,Vietnam,2021-01-04,Omicron,0,0.0,1
98444,Vietnam,2021-01-04,S:677H.Robin1,0,0.0,1
98445,Vietnam,2021-01-04,S:677P.Pelican,0,0.0,1
98446,Vietnam,2021-01-04,others,0,0.0,1
98447,Vietnam,2021-01-04,non_who,1,100.0,1
98448,Vietnam,2021-01-11,Alpha,1,100.0,1
98449,Vietnam,2021-01-11,B.1.1.277,0,0.0,1
98450,Vietnam,2021-01-11,B.1.1.302,0,0.0,1
98451,Vietnam,2021-01-11,B.1.1.519,0,0.0,1
98452,Vietnam,2021-01-11,B.1.160,0,0.0,1
98453,Vietnam,2021-01-11,B.1.177,0,0.0,1
98454,Vietnam,2021-01-11,B.1.221,0,0.0,1
98455,Vietnam,2021-01-11,B.1.258,0,0.0,1
98456,Vietnam,2021-01-11,B.1.367,0,0.0,1
98457,Vietnam,2021-01-11,B.1.620,0,0.0,1
98458,Vietnam,2021-01-11,Beta,0,0.0,1
98459,Vietnam,2021-01-11,Delta,0,0.0,1
98460,Vietnam,2021-01-11,Epsilon,0,0.0,1
98461,Vietnam,2021-01-11,Eta,0,0.0,1
98462,Vietnam,2021-01-11,Gamma,0,0.0,1
98463,Vietnam,2021-01-11,Iota,0,0.0,1
