,location,date,variant,num_sequences,perc_sequences,num_sequences_total
98928,Zambia,2020-05-11,Alpha,0,0.0,4
98929,Zambia,2020-05-11,B.1.1.277,0,0.0,4
98930,Zambia,2020-05-11,B.1.1.302,0,0.0,4
98931,Zambia,2020-05-11,B.1.1.519,0,0.0,4
98932,Zambia,2020-05-11,B.1.160,0,0.0,4
98933,Zambia,2020-05-11,B.1.177,0,0.0,4
98934,Zambia,2020-05-11,B.1.221,0,0.0,4
98935,Zambia,2020-05-11,B.1.258,0,0.0,4
98936,Zambia,2020-05-11,B.1.367,0,0.0,4
98937,Zambia,2020-05-11,B.1.620,0,0.0,4
98938,Zambia,2020-05-11,Beta,0,0.0,4
98939,Zambia,2020-05-11,Delta,0,0.0,4
98940,Zambia,2020-05-11,Epsilon,0,0.0,4
98941,Zambia,2020-05-11,Eta,0,0.0,4
98942,Zambia,2020-05-11,Gamma,0,0.0,4
98943,Zambia,2020-05-11,Iota,0,0.0,4
98944,Zambia,2020-05-11,Kappa,0,0.0,4
98945,Zambia,2020-05-11,Lambda,0,0.0,4
98946,Zambia,2020-05-11,Mu,0,0.0,4
98947,Zambia,2020-05-11,Omicron,0,0.0,4
98948,Zambia,2020-05-11,S:677H.Robin1,0,0.0,4
98949,Zambia,2020-05-11,S:677P.Pelican,0,0.0,4
98950,Zambia,2020-05-11,others,4,100.0,4
98951,Zambia,2020-05-11,non_who,4,100.0,4
98952,Zambia,2020-06-08,Alpha,0,0.0,21
98953,Zambia,2020-06-08,B.1.1.277,0,0.0,21
98954,Zambia,2020-06-08,B.1.1.302,0,0.0,21
98955,Zambia,2020-06-08,B.1.1.519,0,0.0,21
98956,Zambia,2020-06-08,B.1.160,0,0.0,21
98957,Zambia,2020-06-08,B.1.177,0,0.0,21
98958,Zambia,2020-06-08,B.1.221,0,0.0,21
98959,Zambia,2020-06-08,B.1.258,0,0.0,21
98960,Zambia,2020-06-08,B.1.367,0,0.0,21
98961,Zambia,2020-06-08,B.1.620,0,0.0,21
98962,Zambia,2020-06-08,Beta,0,0.0,21
98963,Zambia,2020-06-08,Delta,0,0.0,21
