,location,date,variant,num_sequences,perc_sequences,num_sequences_total
0,Angola,2020-07-06,Alpha,0,0.0,3
24,Angola,2020-08-31,Alpha,0,0.0,1
48,Angola,2020-09-28,Alpha,0,0.0,10
72,Angola,2020-10-12,Alpha,0,0.0,29
96,Angola,2020-10-26,Alpha,0,0.0,7
120,Angola,2020-12-07,Alpha,0,0.0,6
144,Angola,2020-12-21,Alpha,0,0.0,93
168,Angola,2021-01-04,Alpha,0,0.0,5
192,Angola,2021-01-11,Alpha,0,0.0,16
216,Angola,2021-01-25,Alpha,3,5.77,52
240,Angola,2021-02-08,Alpha,4,9.52,42
264,Angola,2021-02-22,Alpha,1,2.56,39
288,Angola,2021-03-08,Alpha,7,6.19,113
312,Angola,2021-03-22,Alpha,12,9.92,121
336,Angola,2021-04-05,Alpha,32,23.36,137
360,Angola,2021-04-19,Alpha,21,25.3,83
384,Angola,2021-05-03,Alpha,11,32.35,34
408,Angola,2021-05-17,Alpha,0,0.0,5
432,Angola,2021-05-31,Alpha,7,100.0,7
456,Angola,2021-06-14,Alpha,17,77.27,22
480,Angola,2021-06-28,Alpha,30,50.85,59
504,Angola,2021-07-12,Alpha,9,19.57,46
528,Angola,2021-07-26,Alpha,2,20.0,10
552,Angola,2021-08-09,Alpha,0,0.0,4
576,Angola,2021-08-23,Alpha,0,0.0,1
600,Angola,2021-09-06,Alpha,0,0.0,20
624,Angola,2021-09-20,Alpha,0,0.0,57
648,Angola,2021-10-04,Alpha,0,0.0,33
672,Argentina,2020-05-11,Alpha,0,0.0,151
696,Argentina,2020-05-25,Alpha,0,0.0,167
720,Argentina,2020-06-08,Alpha,0,0.0,67
744,Argentina,2020-06-22,Alpha,0,0.0,79
768,Argentina,2020-07-06,Alpha,0,0.0,63
792,Argentina,2020-07-20,Alpha,0,0.0,113
816,Argentina,2020-08-03,Alpha,0,0.0,103
840,Argentina,2020-08-17,Alpha,0,0.0,113
864,Argentina,2020-08-31,Alpha,0,0.0,138
888,Argentina,2020-09-14,Alpha,0,0.0,50
912,Argentina,2020-09-28,Alpha,0,0.0,56
936,Argentina,2020-10-12,Alpha,0,0.0,39
960,Argentina,2020-10-26,Alpha,0,0.0,102
984,Argentina,2020-11-09,Alpha,0,0.0,58
1008,Argentina,2020-11-23,Alpha,0,0.0,63
1032,Argentina,2020-12-07,Alpha,0,0.0,49
1056,Argentina,2020-12-21,Alpha,0,0.0,71
1080,Argentina,2021-01-04,Alpha,1,2.04,49
1104,Argentina,2021-01-11,Alpha,0,0.0,33
1128,Argentina,2021-01-25,Alpha,0,0.0,62
1152,Argentina,2021-02-08,Alpha,5,7.25,69
1176,Argentina,2021-02-22,Alpha,0,0.0,57
1200,Argentina,2021-03-08,Alpha,5,7.69,65
1224,Argentina,2021-03-22,Alpha,22,12.43,177
1248,Argentina,2021-04-05,Alpha,32,16.33,196
1272,Argentina,2021-04-19,Alpha,38,12.75,298
1296,Argentina,2021-05-03,Alpha,43,12.76,337
1320,Argentina,2021-05-17,Alpha,41,12.13,338
1344,Argentina,2021-05-31,Alpha,32,10.63,301
1368,Argentina,2021-06-14,Alpha,35,8.6,407
1392,Argentina,2021-06-28,Alpha,35,9.21,380
1416,Argentina,2021-07-12,Alpha,15,4.21,356
1440,Argentina,2021-07-26,Alpha,14,4.17,336
1464,Argentina,2021-08-09,Alpha,13,2.71,480
1488,Argentina,2021-08-23,Alpha,9,2.01,447
1512,Argentina,2021-09-06,Alpha,4,0.89,447
1536,Argentina,2021-09-20,Alpha,3,0.96,313
1560,Argentina,2021-10-04,Alpha,2,0.84,237
1584,Argentina,2021-10-18,Alpha,3,0.83,361
1608,Argentina,2021-11-01,Alpha,10,1.81,553
1632,Argentina,2021-11-15,Alpha,4,1.2,332
1656,Argentina,2021-11-29,Alpha,0,0.0,117
1680,Argentina,2021-12-13,Alpha,0,0.0,87
1704,Argentina,2021-12-27,Alpha,0,0.0,94
1728,Aruba,2020-08-17,Alpha,0,0.0,4
1752,Aruba,2020-08-31,Alpha,0,0.0,1
1776,Aruba,2021-01-25,Alpha,1,3.85,26
1800,Aruba,2021-02-08,Alpha,9,7.89,114
