,location,date,variant,num_sequences,perc_sequences,num_sequences_total
3,Angola,2020-07-06,B.1.1.519,0,0.0,3
27,Angola,2020-08-31,B.1.1.519,0,0.0,1
51,Angola,2020-09-28,B.1.1.519,0,0.0,10
75,Angola,2020-10-12,B.1.1.519,0,0.0,29
99,Angola,2020-10-26,B.1.1.519,0,0.0,7
123,Angola,2020-12-07,B.1.1.519,0,0.0,6
147,Angola,2020-12-21,B.1.1.519,0,0.0,93
171,Angola,2021-01-04,B.1.1.519,0,0.0,5
195,Angola,2021-01-11,B.1.1.519,0,0.0,16
219,Angola,2021-01-25,B.1.1.519,0,0.0,52
243,Angola,2021-02-08,B.1.1.519,0,0.0,42
267,Angola,2021-02-22,B.1.1.519,0,0.0,39
291,Angola,2021-03-08,B.1.1.519,0,0.0,113
315,Angola,2021-03-22,B.1.1.519,0,0.0,121
339,Angola,2021-04-05,B.1.1.519,0,0.0,137
363,Angola,2021-04-19,B.1.1.519,0,0.0,83
387,Angola,2021-05-03,B.1.1.519,0,0.0,34
411,Angola,2021-05-17,B.1.1.519,0,0.0,5
435,Angola,2021-05-31,B.1.1.519,0,0.0,7
459,Angola,2021-06-14,B.1.1.519,0,0.0,22
483,Angola,2021-06-28,B.1.1.519,0,0.0,59
507,Angola,2021-07-12,B.1.1.519,0,0.0,46
531,Angola,2021-07-26,B.1.1.519,0,0.0,10
555,Angola,2021-08-09,B.1.1.519,0,0.0,4
579,Angola,2021-08-23,B.1.1.519,0,0.0,1
603,Angola,2021-09-06,B.1.1.519,0,0.0,20
627,Angola,2021-09-20,B.1.1.519,0,0.0,57
651,Angola,2021-10-04,B.1.1.519,0,0.0,33
675,Argentina,2020-05-11,B.1.1.519,0,0.0,151
699,Argentina,2020-05-25,B.1.1.519,0,0.0,167
723,Argentina,2020-06-08,B.1.1.519,0,0.0,67
747,Argentina,2020-06-22,B.1.1.519,0,0.0,79
771,Argentina,2020-07-06,B.1.1.519,0,0.0,63
795,Argentina,2020-07-20,B.1.1.519,0,0.0,113
819,Argentina,2020-08-03,B.1.1.519,0,0.0,103
843,Argentina,2020-08-17,B.1.1.519,0,0.0,113
867,Argentina,2020-08-31,B.1.1.519,0,0.0,138
891,Argentina,2020-09-14,B.1.1.519,0,0.0,50
915,Argentina,2020-09-28,B.1.1.519,0,0.0,56
939,Argentina,2020-10-12,B.1.1.519,0,0.0,39
963,Argentina,2020-10-26,B.1.1.519,0,0.0,102
987,Argentina,2020-11-09,B.1.1.519,1,1.72,58
1011,Argentina,2020-11-23,B.1.1.519,3,4.76,63
1035,Argentina,2020-12-07,B.1.1.519,0,0.0,49
1059,Argentina,2020-12-21,B.1.1.519,0,0.0,71
1083,Argentina,2021-01-04,B.1.1.519,0,0.0,49
1107,Argentina,2021-01-11,B.1.1.519,0,0.0,33
1131,Argentina,2021-01-25,B.1.1.519,2,3.23,62
1155,Argentina,2021-02-08,B.1.1.519,8,11.59,69
1179,Argentina,2021-02-22,B.1.1.519,1,1.75,57
1203,Argentina,2021-03-08,B.1.1.519,3,4.62,65
1227,Argentina,2021-03-22,B.1.1.519,5,2.82,177
1251,Argentina,2021-04-05,B.1.1.519,3,1.53,196
1275,Argentina,2021-04-19,B.1.1.519,7,2.35,298
1299,Argentina,2021-05-03,B.1.1.519,7,2.08,337
1323,Argentina,2021-05-17,B.1.1.519,5,1.48,338
1347,Argentina,2021-05-31,B.1.1.519,1,0.33,301
1371,Argentina,2021-06-14,B.1.1.519,0,0.0,407
1395,Argentina,2021-06-28,B.1.1.519,0,0.0,380
1419,Argentina,2021-07-12,B.1.1.519,0,0.0,356
1443,Argentina,2021-07-26,B.1.1.519,0,0.0,336
1467,Argentina,2021-08-09,B.1.1.519,0,0.0,480
1491,Argentina,2021-08-23,B.1.1.519,0,0.0,447
1515,Argentina,2021-09-06,B.1.1.519,0,0.0,447
1539,Argentina,2021-09-20,B.1.1.519,0,0.0,313
1563,Argentina,2021-10-04,B.1.1.519,0,0.0,237
1587,Argentina,2021-10-18,B.1.1.519,0,0.0,361
1611,Argentina,2021-11-01,B.1.1.519,0,0.0,553
1635,Argentina,2021-11-15,B.1.1.519,0,0.0,332
1659,Argentina,2021-11-29,B.1.1.519,0,0.0,117
1683,Argentina,2021-12-13,B.1.1.519,0,0.0,87
1707,Argentina,2021-12-27,B.1.1.519,0,0.0,94
1731,Aruba,2020-08-17,B.1.1.519,0,0.0,4
1755,Aruba,2020-08-31,B.1.1.519,0,0.0,1
1779,Aruba,2021-01-25,B.1.1.519,1,3.85,26
1803,Aruba,2021-02-08,B.1.1.519,1,0.88,114
1827,Aruba,2021-02-22,B.1.1.519,4,2.6,154
1851,Aruba,2021-03-08,B.1.1.519,12,9.6,125
1875,Aruba,2021-03-22,B.1.1.519,6,6.06,99
1899,Aruba,2021-04-05,B.1.1.519,1,1.09,92
1923,Aruba,2021-04-19,B.1.1.519,1,0.69,145
1947,Aruba,2021-05-03,B.1.1.519,1,0.71,140
1971,Aruba,2021-05-17,B.1.1.519,0,0.0,101
1995,Aruba,2021-05-31,B.1.1.519,0,0.0,107
2019,Aruba,2021-06-14,B.1.1.519,0,0.0,89
2043,Aruba,2021-06-28,B.1.1.519,0,0.0,24
2067,Aruba,2021-07-12,B.1.1.519,0,0.0,29
2091,Aruba,2021-07-26,B.1.1.519,0,0.0,97
2115,Aruba,2021-08-09,B.1.1.519,0,0.0,341
2139,Aruba,2021-08-23,B.1.1.519,0,0.0,525
2163,Aruba,2021-09-06,B.1.1.519,0,0.0,261
2187,Aruba,2021-09-20,B.1.1.519,0,0.0,140
2211,Aruba,2021-10-04,B.1.1.519,0,0.0,177
2235,Aruba,2021-10-18,B.1.1.519,0,0.0,37
2259,Aruba,2021-11-15,B.1.1.519,0,0.0,68
2283,Aruba,2021-11-29,B.1.1.519,0,0.0,43
2307,Aruba,2021-12-13,B.1.1.519,0,0.0,61
2331,Australia,2020-05-11,B.1.1.519,0,0.0,148
2355,Australia,2020-05-25,B.1.1.519,0,0.0,103
2379,Australia,2020-06-08,B.1.1.519,0,0.0,94
2403,Australia,2020-06-22,B.1.1.519,0,0.0,172
2427,Australia,2020-07-06,B.1.1.519,0,0.0,814
2451,Australia,2020-07-20,B.1.1.519,0,0.0,2733
2475,Australia,2020-08-03,B.1.1.519,0,0.0,4183
2499,Australia,2020-08-17,B.1.1.519,0,0.0,3020
2523,Australia,2020-08-31,B.1.1.519,0,0.0,1987
2547,Australia,2020-09-14,B.1.1.519,0,0.0,770
2571,Australia,2020-09-28,B.1.1.519,0,0.0,323
2595,Australia,2020-10-12,B.1.1.519,0,0.0,182
2619,Australia,2020-10-26,B.1.1.519,0,0.0,132
2643,Australia,2020-11-09,B.1.1.519,0,0.0,63
2667,Australia,2020-11-23,B.1.1.519,0,0.0,64
