,location,date,variant,num_sequences,perc_sequences,num_sequences_total
6,Angola,2020-07-06,B.1.221,0,0.0,3
30,Angola,2020-08-31,B.1.221,0,0.0,1
54,Angola,2020-09-28,B.1.221,0,0.0,10
78,Angola,2020-10-12,B.1.221,0,0.0,29
102,Angola,2020-10-26,B.1.221,0,0.0,7
126,Angola,2020-12-07,B.1.221,0,0.0,6
150,Angola,2020-12-21,B.1.221,0,0.0,93
174,Angola,2021-01-04,B.1.221,0,0.0,5
198,Angola,2021-01-11,B.1.221,0,0.0,16
222,Angola,2021-01-25,B.1.221,0,0.0,52
246,Angola,2021-02-08,B.1.221,0,0.0,42
270,Angola,2021-02-22,B.1.221,0,0.0,39
294,Angola,2021-03-08,B.1.221,0,0.0,113
318,Angola,2021-03-22,B.1.221,0,0.0,121
342,Angola,2021-04-05,B.1.221,0,0.0,137
366,Angola,2021-04-19,B.1.221,0,0.0,83
390,Angola,2021-05-03,B.1.221,0,0.0,34
414,Angola,2021-05-17,B.1.221,0,0.0,5
438,Angola,2021-05-31,B.1.221,0,0.0,7
462,Angola,2021-06-14,B.1.221,0,0.0,22
486,Angola,2021-06-28,B.1.221,0,0.0,59
510,Angola,2021-07-12,B.1.221,0,0.0,46
534,Angola,2021-07-26,B.1.221,0,0.0,10
558,Angola,2021-08-09,B.1.221,0,0.0,4
582,Angola,2021-08-23,B.1.221,0,0.0,1
606,Angola,2021-09-06,B.1.221,0,0.0,20
630,Angola,2021-09-20,B.1.221,0,0.0,57
654,Angola,2021-10-04,B.1.221,0,0.0,33
678,Argentina,2020-05-11,B.1.221,0,0.0,151
702,Argentina,2020-05-25,B.1.221,0,0.0,167
726,Argentina,2020-06-08,B.1.221,0,0.0,67
750,Argentina,2020-06-22,B.1.221,0,0.0,79
774,Argentina,2020-07-06,B.1.221,0,0.0,63
798,Argentina,2020-07-20,B.1.221,0,0.0,113
822,Argentina,2020-08-03,B.1.221,0,0.0,103
846,Argentina,2020-08-17,B.1.221,0,0.0,113
870,Argentina,2020-08-31,B.1.221,0,0.0,138
894,Argentina,2020-09-14,B.1.221,0,0.0,50
918,Argentina,2020-09-28,B.1.221,0,0.0,56
942,Argentina,2020-10-12,B.1.221,0,0.0,39
966,Argentina,2020-10-26,B.1.221,0,0.0,102
990,Argentina,2020-11-09,B.1.221,0,0.0,58
1014,Argentina,2020-11-23,B.1.221,0,0.0,63
1038,Argentina,2020-12-07,B.1.221,0,0.0,49
1062,Argentina,2020-12-21,B.1.221,0,0.0,71
1086,Argentina,2021-01-04,B.1.221,0,0.0,49
1110,Argentina,2021-01-11,B.1.221,0,0.0,33
1134,Argentina,2021-01-25,B.1.221,0,0.0,62
1158,Argentina,2021-02-08,B.1.221,0,0.0,69
1182,Argentina,2021-02-22,B.1.221,0,0.0,57
1206,Argentina,2021-03-08,B.1.221,0,0.0,65
1230,Argentina,2021-03-22,B.1.221,0,0.0,177
1254,Argentina,2021-04-05,B.1.221,0,0.0,196
1278,Argentina,2021-04-19,B.1.221,0,0.0,298
1302,Argentina,2021-05-03,B.1.221,0,0.0,337
1326,Argentina,2021-05-17,B.1.221,0,0.0,338
1350,Argentina,2021-05-31,B.1.221,0,0.0,301
1374,Argentina,2021-06-14,B.1.221,0,0.0,407
1398,Argentina,2021-06-28,B.1.221,0,0.0,380
1422,Argentina,2021-07-12,B.1.221,0,0.0,356
1446,Argentina,2021-07-26,B.1.221,0,0.0,336
1470,Argentina,2021-08-09,B.1.221,0,0.0,480
1494,Argentina,2021-08-23,B.1.221,0,0.0,447
1518,Argentina,2021-09-06,B.1.221,0,0.0,447
1542,Argentina,2021-09-20,B.1.221,0,0.0,313
1566,Argentina,2021-10-04,B.1.221,0,0.0,237
1590,Argentina,2021-10-18,B.1.221,0,0.0,361
1614,Argentina,2021-11-01,B.1.221,0,0.0,553
1638,Argentina,2021-11-15,B.1.221,0,0.0,332
1662,Argentina,2021-11-29,B.1.221,0,0.0,117
1686,Argentina,2021-12-13,B.1.221,0,0.0,87
1710,Argentina,2021-12-27,B.1.221,0,0.0,94
1734,Aruba,2020-08-17,B.1.221,0,0.0,4
1758,Aruba,2020-08-31,B.1.221,0,0.0,1
1782,Aruba,2021-01-25,B.1.221,0,0.0,26
1806,Aruba,2021-02-08,B.1.221,0,0.0,114
1830,Aruba,2021-02-22,B.1.221,1,0.65,154
1854,Aruba,2021-03-08,B.1.221,1,0.8,125
1878,Aruba,2021-03-22,B.1.221,0,0.0,99
1902,Aruba,2021-04-05,B.1.221,0,0.0,92
1926,Aruba,2021-04-19,B.1.221,0,0.0,145
1950,Aruba,2021-05-03,B.1.221,0,0.0,140
1974,Aruba,2021-05-17,B.1.221,0,0.0,101
1998,Aruba,2021-05-31,B.1.221,0,0.0,107
2022,Aruba,2021-06-14,B.1.221,0,0.0,89
2046,Aruba,2021-06-28,B.1.221,0,0.0,24
2070,Aruba,2021-07-12,B.1.221,0,0.0,29
2094,Aruba,2021-07-26,B.1.221,0,0.0,97
2118,Aruba,2021-08-09,B.1.221,0,0.0,341
2142,Aruba,2021-08-23,B.1.221,0,0.0,525
2166,Aruba,2021-09-06,B.1.221,0,0.0,261
2190,Aruba,2021-09-20,B.1.221,0,0.0,140
2214,Aruba,2021-10-04,B.1.221,0,0.0,177
2238,Aruba,2021-10-18,B.1.221,0,0.0,37
2262,Aruba,2021-11-15,B.1.221,0,0.0,68
2286,Aruba,2021-11-29,B.1.221,0,0.0,43
2310,Aruba,2021-12-13,B.1.221,0,0.0,61
2334,Australia,2020-05-11,B.1.221,0,0.0,148
2358,Australia,2020-05-25,B.1.221,0,0.0,103
2382,Australia,2020-06-08,B.1.221,0,0.0,94
2406,Australia,2020-06-22,B.1.221,0,0.0,172
2430,Australia,2020-07-06,B.1.221,0,0.0,814
2454,Australia,2020-07-20,B.1.221,0,0.0,2733
2478,Australia,2020-08-03,B.1.221,0,0.0,4183
2502,Australia,2020-08-17,B.1.221,0,0.0,3020
2526,Australia,2020-08-31,B.1.221,0,0.0,1987
2550,Australia,2020-09-14,B.1.221,0,0.0,770
2574,Australia,2020-09-28,B.1.221,1,0.31,323
2598,Australia,2020-10-12,B.1.221,1,0.55,182
2622,Australia,2020-10-26,B.1.221,0,0.0,132
2646,Australia,2020-11-09,B.1.221,4,6.35,63
2670,Australia,2020-11-23,B.1.221,0,0.0,64
2694,Australia,2020-12-07,B.1.221,1,2.04,49
2718,Australia,2020-12-21,B.1.221,0,0.0,142
2742,Australia,2021-01-04,B.1.221,0,0.0,208
2766,Australia,2021-01-11,B.1.221,0,0.0,74
2790,Australia,2021-01-25,B.1.221,0,0.0,100
2814,Australia,2021-02-08,B.1.221,0,0.0,53
2838,Australia,2021-02-22,B.1.221,0,0.0,80
2862,Australia,2021-03-08,B.1.221,0,0.0,71
2886,Australia,2021-03-22,B.1.221,0,0.0,122
2910,Australia,2021-04-05,B.1.221,0,0.0,123
2934,Australia,2021-04-19,B.1.221,0,0.0,157
2958,Australia,2021-05-03,B.1.221,0,0.0,204
2982,Australia,2021-05-17,B.1.221,0,0.0,117
3006,Australia,2021-05-31,B.1.221,0,0.0,108
3030,Australia,2021-06-14,B.1.221,0,0.0,132
3054,Australia,2021-06-28,B.1.221,0,0.0,247
3078,Australia,2021-07-12,B.1.221,0,0.0,767
3102,Australia,2021-07-26,B.1.221,0,0.0,1742
3126,Australia,2021-08-09,B.1.221,0,0.0,2734
3150,Australia,2021-08-23,B.1.221,0,0.0,3198
3174,Australia,2021-09-06,B.1.221,0,0.0,3744
3198,Australia,2021-09-20,B.1.221,0,0.0,3526
3222,Australia,2021-10-04,B.1.221,0,0.0,1824
3246,Australia,2021-10-18,B.1.221,0,0.0,2410
3270,Australia,2021-11-01,B.1.221,0,0.0,1883
3294,Australia,2021-11-15,B.1.221,0,0.0,2078
3318,Australia,2021-11-29,B.1.221,0,0.0,1992
3342,Australia,2021-12-13,B.1.221,0,0.0,2800
3366,Australia,2021-12-27,B.1.221,0,0.0,1726
3390,Austria,2020-05-11,B.1.221,0,0.0,34
3414,Austria,2020-05-25,B.1.221,0,0.0,41
3438,Austria,2020-06-08,B.1.221,0,0.0,1
3462,Austria,2020-06-22,B.1.221,0,0.0,1
3486,Austria,2020-07-06,B.1.221,0,0.0,2
3510,Austria,2020-07-20,B.1.221,0,0.0,11
3534,Austria,2020-08-03,B.1.221,0,0.0,9
3558,Austria,2020-08-17,B.1.221,2,9.09,22
3582,Austria,2020-08-31,B.1.221,3,6.82,44
3606,Austria,2020-09-14,B.1.221,1,2.86,35
3630,Austria,2020-09-28,B.1.221,0,0.0,39
3654,Austria,2020-10-12,B.1.221,2,6.67,30
3678,Austria,2020-10-26,B.1.221,0,0.0,84
3702,Austria,2020-11-09,B.1.221,1,0.55,181
3726,Austria,2020-11-23,B.1.221,3,1.89,159
3750,Austria,2020-12-07,B.1.221,7,5.11,137
3774,Austria,2020-12-21,B.1.221,0,0.0,45
3798,Austria,2021-01-04,B.1.221,2,0.63,315
3822,Austria,2021-01-11,B.1.221,1,0.74,136
3846,Austria,2021-01-25,B.1.221,0,0.0,250
3870,Austria,2021-02-08,B.1.221,0,0.0,385
3894,Austria,2021-02-22,B.1.221,0,0.0,415
3918,Austria,2021-03-08,B.1.221,1,0.22,464
3942,Austria,2021-03-22,B.1.221,0,0.0,567
3966,Austria,2021-04-05,B.1.221,0,0.0,291
3990,Austria,2021-04-19,B.1.221,0,0.0,353
4014,Austria,2021-05-03,B.1.221,0,0.0,329
4038,Austria,2021-05-17,B.1.221,0,0.0,619
4062,Austria,2021-05-31,B.1.221,1,0.26,389
4086,Austria,2021-06-14,B.1.221,0,0.0,398
4110,Austria,2021-06-28,B.1.221,0,0.0,750
4134,Austria,2021-07-12,B.1.221,0,0.0,505
4158,Austria,2021-07-26,B.1.221,0,0.0,771
4182,Austria,2021-08-09,B.1.221,0,0.0,623
4206,Austria,2021-08-23,B.1.221,0,0.0,623
4230,Austria,2021-09-06,B.1.221,0,0.0,585
4254,Austria,2021-09-20,B.1.221,0,0.0,513
4278,Austria,2021-10-04,B.1.221,0,0.0,444
4302,Austria,2021-10-18,B.1.221,0,0.0,437
4326,Austria,2021-11-01,B.1.221,0,0.0,634
4350,Austria,2021-11-15,B.1.221,0,0.0,561
4374,Austria,2021-11-29,B.1.221,0,0.0,165
4398,Austria,2021-12-13,B.1.221,0,0.0,183
4422,Bahrain,2020-06-08,B.1.221,0,0.0,1
4446,Bahrain,2020-06-22,B.1.221,0,0.0,2
4470,Bahrain,2020-07-06,B.1.221,0,0.0,11
4494,Bahrain,2020-08-03,B.1.221,0,0.0,3
4518,Bahrain,2020-08-31,B.1.221,0,0.0,3
4542,Bahrain,2020-09-14,B.1.221,0,0.0,2
4566,Bahrain,2020-09-28,B.1.221,0,0.0,2
4590,Bahrain,2020-10-12,B.1.221,0,0.0,10
4614,Bahrain,2020-10-26,B.1.221,0,0.0,45
4638,Bahrain,2020-11-09,B.1.221,0,0.0,6
4662,Bahrain,2020-11-23,B.1.221,0,0.0,38
4686,Bahrain,2021-02-08,B.1.221,0,0.0,1
4710,Bahrain,2021-02-22,B.1.221,0,0.0,2
4734,Bahrain,2021-03-22,B.1.221,0,0.0,7
4758,Bahrain,2021-04-05,B.1.221,0,0.0,2
4782,Bahrain,2021-04-19,B.1.221,0,0.0,42
4806,Bahrain,2021-05-03,B.1.221,0,0.0,9
4830,Bahrain,2021-05-17,B.1.221,0,0.0,57
4854,Bahrain,2021-05-31,B.1.221,0,0.0,46
4878,Bahrain,2021-06-14,B.1.221,0,0.0,24
4902,Bahrain,2021-06-28,B.1.221,0,0.0,84
4926,Bahrain,2021-07-12,B.1.221,0,0.0,69
4950,Bahrain,2021-07-26,B.1.221,0,0.0,106
4974,Bahrain,2021-08-09,B.1.221,0,0.0,48
4998,Bahrain,2021-09-06,B.1.221,0,0.0,227
5022,Bahrain,2021-10-04,B.1.221,0,0.0,186
5046,Bahrain,2021-10-18,B.1.221,0,0.0,372
5070,Bahrain,2021-11-01,B.1.221,0,0.0,467
5094,Bahrain,2021-11-15,B.1.221,0,0.0,370
5118,Bangladesh,2020-05-11,B.1.221,0,0.0,124
5142,Bangladesh,2020-05-25,B.1.221,0,0.0,168
5166,Bangladesh,2020-06-08,B.1.221,0,0.0,69
5190,Bangladesh,2020-06-22,B.1.221,0,0.0,111
5214,Bangladesh,2020-07-06,B.1.221,0,0.0,175
5238,Bangladesh,2020-07-20,B.1.221,0,0.0,139
5262,Bangladesh,2020-08-03,B.1.221,0,0.0,66
5286,Bangladesh,2020-08-17,B.1.221,0,0.0,26
5310,Bangladesh,2020-08-31,B.1.221,0,0.0,25
5334,Bangladesh,2020-09-14,B.1.221,0,0.0,35
5358,Bangladesh,2020-09-28,B.1.221,0,0.0,8
5382,Bangladesh,2020-10-12,B.1.221,0,0.0,20
5406,Bangladesh,2020-10-26,B.1.221,0,0.0,15
5430,Bangladesh,2020-11-09,B.1.221,0,0.0,27
5454,Bangladesh,2020-11-23,B.1.221,0,0.0,30
5478,Bangladesh,2020-12-07,B.1.221,0,0.0,57
5502,Bangladesh,2020-12-21,B.1.221,0,0.0,25
5526,Bangladesh,2021-01-04,B.1.221,0,0.0,53
5550,Bangladesh,2021-01-11,B.1.221,0,0.0,15
5574,Bangladesh,2021-01-25,B.1.221,0,0.0,62
5598,Bangladesh,2021-02-08,B.1.221,0,0.0,42
5622,Bangladesh,2021-02-22,B.1.221,0,0.0,36
5646,Bangladesh,2021-03-08,B.1.221,0,0.0,14
5670,Bangladesh,2021-03-22,B.1.221,0,0.0,156
5694,Bangladesh,2021-04-05,B.1.221,0,0.0,87
5718,Bangladesh,2021-04-19,B.1.221,0,0.0,131
5742,Bangladesh,2021-05-03,B.1.221,0,0.0,56
5766,Bangladesh,2021-05-17,B.1.221,0,0.0,58
5790,Bangladesh,2021-05-31,B.1.221,0,0.0,99
5814,Bangladesh,2021-06-14,B.1.221,0,0.0,69
5838,Bangladesh,2021-06-28,B.1.221,0,0.0,112
5862,Bangladesh,2021-07-12,B.1.221,0,0.0,244
5886,Bangladesh,2021-07-26,B.1.221,0,0.0,174
5910,Bangladesh,2021-08-09,B.1.221,0,0.0,149
5934,Bangladesh,2021-08-23,B.1.221,0,0.0,140
5958,Bangladesh,2021-09-06,B.1.221,0,0.0,131
5982,Bangladesh,2021-09-20,B.1.221,0,0.0,126
6006,Bangladesh,2021-10-04,B.1.221,0,0.0,94
