,location,date,variant,num_sequences,perc_sequences,num_sequences_total
10,Angola,2020-07-06,Beta,0,0.0,3
34,Angola,2020-08-31,Beta,1,100.0,1
58,Angola,2020-09-28,Beta,9,90.0,10
82,Angola,2020-10-12,Beta,24,82.76,29
106,Angola,2020-10-26,Beta,7,100.0,7
130,Angola,2020-12-07,Beta,6,100.0,6
154,Angola,2020-12-21,Beta,69,74.19,93
178,Angola,2021-01-04,Beta,0,0.0,5
202,Angola,2021-01-11,Beta,1,6.25,16
226,Angola,2021-01-25,Beta,2,3.85,52
250,Angola,2021-02-08,Beta,12,28.57,42
274,Angola,2021-02-22,Beta,16,41.03,39
298,Angola,2021-03-08,Beta,69,61.06,113
322,Angola,2021-03-22,Beta,87,71.9,121
346,Angola,2021-04-05,Beta,64,46.72,137
370,Angola,2021-04-19,Beta,31,37.35,83
394,Angola,2021-05-03,Beta,17,50.0,34
418,Angola,2021-05-17,Beta,0,0.0,5
442,Angola,2021-05-31,Beta,0,0.0,7
466,Angola,2021-06-14,Beta,5,22.73,22
490,Angola,2021-06-28,Beta,18,30.51,59
514,Angola,2021-07-12,Beta,12,26.09,46
538,Angola,2021-07-26,Beta,1,10.0,10
562,Angola,2021-08-09,Beta,1,25.0,4
586,Angola,2021-08-23,Beta,0,0.0,1
610,Angola,2021-09-06,Beta,0,0.0,20
634,Angola,2021-09-20,Beta,0,0.0,57
658,Angola,2021-10-04,Beta,0,0.0,33
682,Argentina,2020-05-11,Beta,0,0.0,151
706,Argentina,2020-05-25,Beta,0,0.0,167
730,Argentina,2020-06-08,Beta,0,0.0,67
754,Argentina,2020-06-22,Beta,0,0.0,79
778,Argentina,2020-07-06,Beta,0,0.0,63
802,Argentina,2020-07-20,Beta,0,0.0,113
826,Argentina,2020-08-03,Beta,0,0.0,103
850,Argentina,2020-08-17,Beta,0,0.0,113
874,Argentina,2020-08-31,Beta,0,0.0,138
898,Argentina,2020-09-14,Beta,0,0.0,50
922,Argentina,2020-09-28,Beta,0,0.0,56
946,Argentina,2020-10-12,Beta,0,0.0,39
970,Argentina,2020-10-26,Beta,0,0.0,102
994,Argentina,2020-11-09,Beta,0,0.0,58
1018,Argentina,2020-11-23,Beta,0,0.0,63
1042,Argentina,2020-12-07,Beta,0,0.0,49
1066,Argentina,2020-12-21,Beta,0,0.0,71
1090,Argentina,2021-01-04,Beta,0,0.0,49
1114,Argentina,2021-01-11,Beta,0,0.0,33
1138,Argentina,2021-01-25,Beta,0,0.0,62
1162,Argentina,2021-02-08,Beta,0,0.0,69
1186,Argentina,2021-02-22,Beta,0,0.0,57
1210,Argentina,2021-03-08,Beta,0,0.0,65
1234,Argentina,2021-03-22,Beta,0,0.0,177
1258,Argentina,2021-04-05,Beta,0,0.0,196
1282,Argentina,2021-04-19,Beta,0,0.0,298
1306,Argentina,2021-05-03,Beta,1,0.3,337
1330,Argentina,2021-05-17,Beta,0,0.0,338
1354,Argentina,2021-05-31,Beta,0,0.0,301
1378,Argentina,2021-06-14,Beta,0,0.0,407
1402,Argentina,2021-06-28,Beta,0,0.0,380
1426,Argentina,2021-07-12,Beta,0,0.0,356
1450,Argentina,2021-07-26,Beta,0,0.0,336
1474,Argentina,2021-08-09,Beta,0,0.0,480
1498,Argentina,2021-08-23,Beta,0,0.0,447
1522,Argentina,2021-09-06,Beta,0,0.0,447
1546,Argentina,2021-09-20,Beta,0,0.0,313
1570,Argentina,2021-10-04,Beta,0,0.0,237
1594,Argentina,2021-10-18,Beta,0,0.0,361
1618,Argentina,2021-11-01,Beta,0,0.0,553
1642,Argentina,2021-11-15,Beta,0,0.0,332
1666,Argentina,2021-11-29,Beta,0,0.0,117
1690,Argentina,2021-12-13,Beta,0,0.0,87
1714,Argentina,2021-12-27,Beta,0,0.0,94
1738,Aruba,2020-08-17,Beta,0,0.0,4
1762,Aruba,2020-08-31,Beta,0,0.0,1
1786,Aruba,2021-01-25,Beta,0,0.0,26
1810,Aruba,2021-02-08,Beta,0,0.0,114
1834,Aruba,2021-02-22,Beta,0,0.0,154
1858,Aruba,2021-03-08,Beta,2,1.6,125
1882,Aruba,2021-03-22,Beta,0,0.0,99
1906,Aruba,2021-04-05,Beta,0,0.0,92
1930,Aruba,2021-04-19,Beta,2,1.38,145
1954,Aruba,2021-05-03,Beta,0,0.0,140
1978,Aruba,2021-05-17,Beta,0,0.0,101
2002,Aruba,2021-05-31,Beta,0,0.0,107
2026,Aruba,2021-06-14,Beta,0,0.0,89
2050,Aruba,2021-06-28,Beta,0,0.0,24
2074,Aruba,2021-07-12,Beta,0,0.0,29
2098,Aruba,2021-07-26,Beta,0,0.0,97
2122,Aruba,2021-08-09,Beta,0,0.0,341
2146,Aruba,2021-08-23,Beta,0,0.0,525
2170,Aruba,2021-09-06,Beta,0,0.0,261
2194,Aruba,2021-09-20,Beta,0,0.0,140
2218,Aruba,2021-10-04,Beta,0,0.0,177
2242,Aruba,2021-10-18,Beta,0,0.0,37
2266,Aruba,2021-11-15,Beta,0,0.0,68
2290,Aruba,2021-11-29,Beta,0,0.0,43
2314,Aruba,2021-12-13,Beta,0,0.0,61
2338,Australia,2020-05-11,Beta,0,0.0,148
2362,Australia,2020-05-25,Beta,0,0.0,103
2386,Australia,2020-06-08,Beta,0,0.0,94
2410,Australia,2020-06-22,Beta,0,0.0,172
2434,Australia,2020-07-06,Beta,0,0.0,814
2458,Australia,2020-07-20,Beta,0,0.0,2733
2482,Australia,2020-08-03,Beta,0,0.0,4183
2506,Australia,2020-08-17,Beta,0,0.0,3020
2530,Australia,2020-08-31,Beta,0,0.0,1987
2554,Australia,2020-09-14,Beta,0,0.0,770
2578,Australia,2020-09-28,Beta,0,0.0,323
2602,Australia,2020-10-12,Beta,0,0.0,182
2626,Australia,2020-10-26,Beta,0,0.0,132
2650,Australia,2020-11-09,Beta,0,0.0,63
2674,Australia,2020-11-23,Beta,0,0.0,64
2698,Australia,2020-12-07,Beta,0,0.0,49
2722,Australia,2020-12-21,Beta,2,1.41,142
2746,Australia,2021-01-04,Beta,8,3.85,208
2770,Australia,2021-01-11,Beta,4,5.41,74
2794,Australia,2021-01-25,Beta,6,6.0,100
2818,Australia,2021-02-08,Beta,3,5.66,53
2842,Australia,2021-02-22,Beta,2,2.5,80
2866,Australia,2021-03-08,Beta,5,7.04,71
2890,Australia,2021-03-22,Beta,7,5.74,122
2914,Australia,2021-04-05,Beta,9,7.32,123
2938,Australia,2021-04-19,Beta,20,12.74,157
2962,Australia,2021-05-03,Beta,8,3.92,204
2986,Australia,2021-05-17,Beta,3,2.56,117
3010,Australia,2021-05-31,Beta,4,3.7,108
3034,Australia,2021-06-14,Beta,7,5.3,132
3058,Australia,2021-06-28,Beta,3,1.21,247
3082,Australia,2021-07-12,Beta,5,0.65,767
3106,Australia,2021-07-26,Beta,0,0.0,1742
3130,Australia,2021-08-09,Beta,0,0.0,2734
3154,Australia,2021-08-23,Beta,0,0.0,3198
3178,Australia,2021-09-06,Beta,0,0.0,3744
3202,Australia,2021-09-20,Beta,0,0.0,3526
3226,Australia,2021-10-04,Beta,0,0.0,1824
3250,Australia,2021-10-18,Beta,0,0.0,2410
3274,Australia,2021-11-01,Beta,0,0.0,1883
3298,Australia,2021-11-15,Beta,0,0.0,2078
3322,Australia,2021-11-29,Beta,0,0.0,1992
3346,Australia,2021-12-13,Beta,0,0.0,2800
3370,Australia,2021-12-27,Beta,0,0.0,1726
3394,Austria,2020-05-11,Beta,0,0.0,34
3418,Austria,2020-05-25,Beta,0,0.0,41
3442,Austria,2020-06-08,Beta,0,0.0,1
3466,Austria,2020-06-22,Beta,0,0.0,1
3490,Austria,2020-07-06,Beta,0,0.0,2
3514,Austria,2020-07-20,Beta,0,0.0,11
3538,Austria,2020-08-03,Beta,0,0.0,9
3562,Austria,2020-08-17,Beta,0,0.0,22
3586,Austria,2020-08-31,Beta,0,0.0,44
3610,Austria,2020-09-14,Beta,0,0.0,35
3634,Austria,2020-09-28,Beta,0,0.0,39
3658,Austria,2020-10-12,Beta,0,0.0,30
3682,Austria,2020-10-26,Beta,0,0.0,84
3706,Austria,2020-11-09,Beta,0,0.0,181
3730,Austria,2020-11-23,Beta,0,0.0,159
3754,Austria,2020-12-07,Beta,0,0.0,137
3778,Austria,2020-12-21,Beta,0,0.0,45
