,location,date,variant,num_sequences,perc_sequences,num_sequences_total
11,Angola,2020-07-06,Delta,0,0.0,3
35,Angola,2020-08-31,Delta,0,0.0,1
59,Angola,2020-09-28,Delta,0,0.0,10
83,Angola,2020-10-12,Delta,0,0.0,29
107,Angola,2020-10-26,Delta,0,0.0,7
131,Angola,2020-12-07,Delta,0,0.0,6
155,Angola,2020-12-21,Delta,0,0.0,93
179,Angola,2021-01-04,Delta,0,0.0,5
203,Angola,2021-01-11,Delta,0,0.0,16
227,Angola,2021-01-25,Delta,0,0.0,52
251,Angola,2021-02-08,Delta,0,0.0,42
275,Angola,2021-02-22,Delta,0,0.0,39
299,Angola,2021-03-08,Delta,0,0.0,113
323,Angola,2021-03-22,Delta,0,0.0,121
347,Angola,2021-04-05,Delta,0,0.0,137
371,Angola,2021-04-19,Delta,2,2.41,83
395,Angola,2021-05-03,Delta,1,2.94,34
419,Angola,2021-05-17,Delta,4,80.0,5
443,Angola,2021-05-31,Delta,0,0.0,7
467,Angola,2021-06-14,Delta,0,0.0,22
491,Angola,2021-06-28,Delta,10,16.95,59
515,Angola,2021-07-12,Delta,23,50.0,46
539,Angola,2021-07-26,Delta,6,60.0,10
563,Angola,2021-08-09,Delta,3,75.0,4
587,Angola,2021-08-23,Delta,1,100.0,1
611,Angola,2021-09-06,Delta,20,100.0,20
635,Angola,2021-09-20,Delta,57,100.0,57
659,Angola,2021-10-04,Delta,33,100.0,33
683,Argentina,2020-05-11,Delta,0,0.0,151
707,Argentina,2020-05-25,Delta,0,0.0,167
731,Argentina,2020-06-08,Delta,0,0.0,67
755,Argentina,2020-06-22,Delta,0,0.0,79
779,Argentina,2020-07-06,Delta,0,0.0,63
803,Argentina,2020-07-20,Delta,0,0.0,113
827,Argentina,2020-08-03,Delta,0,0.0,103
851,Argentina,2020-08-17,Delta,0,0.0,113
875,Argentina,2020-08-31,Delta,0,0.0,138
899,Argentina,2020-09-14,Delta,0,0.0,50
923,Argentina,2020-09-28,Delta,0,0.0,56
947,Argentina,2020-10-12,Delta,0,0.0,39
971,Argentina,2020-10-26,Delta,0,0.0,102
995,Argentina,2020-11-09,Delta,0,0.0,58
1019,Argentina,2020-11-23,Delta,1,1.59,63
1043,Argentina,2020-12-07,Delta,0,0.0,49
1067,Argentina,2020-12-21,Delta,0,0.0,71
1091,Argentina,2021-01-04,Delta,0,0.0,49
1115,Argentina,2021-01-11,Delta,0,0.0,33
1139,Argentina,2021-01-25,Delta,0,0.0,62
1163,Argentina,2021-02-08,Delta,0,0.0,69
1187,Argentina,2021-02-22,Delta,0,0.0,57
1211,Argentina,2021-03-08,Delta,1,1.54,65
1235,Argentina,2021-03-22,Delta,0,0.0,177
1259,Argentina,2021-04-05,Delta,0,0.0,196
1283,Argentina,2021-04-19,Delta,0,0.0,298
1307,Argentina,2021-05-03,Delta,1,0.3,337
1331,Argentina,2021-05-17,Delta,0,0.0,338
1355,Argentina,2021-05-31,Delta,0,0.0,301
1379,Argentina,2021-06-14,Delta,1,0.25,407
1403,Argentina,2021-06-28,Delta,2,0.53,380
1427,Argentina,2021-07-12,Delta,19,5.34,356
1451,Argentina,2021-07-26,Delta,44,13.1,336
1475,Argentina,2021-08-09,Delta,86,17.92,480
1499,Argentina,2021-08-23,Delta,85,19.02,447
1523,Argentina,2021-09-06,Delta,90,20.13,447
1547,Argentina,2021-09-20,Delta,127,40.58,313
1571,Argentina,2021-10-04,Delta,113,47.68,237
1595,Argentina,2021-10-18,Delta,171,47.37,361
1619,Argentina,2021-11-01,Delta,417,75.41,553
1643,Argentina,2021-11-15,Delta,270,81.33,332
1667,Argentina,2021-11-29,Delta,105,89.74,117
1691,Argentina,2021-12-13,Delta,70,80.46,87
1715,Argentina,2021-12-27,Delta,12,12.77,94
1739,Aruba,2020-08-17,Delta,0,0.0,4
1763,Aruba,2020-08-31,Delta,0,0.0,1
1787,Aruba,2021-01-25,Delta,0,0.0,26
1811,Aruba,2021-02-08,Delta,0,0.0,114
1835,Aruba,2021-02-22,Delta,0,0.0,154
1859,Aruba,2021-03-08,Delta,0,0.0,125
1883,Aruba,2021-03-22,Delta,0,0.0,99
1907,Aruba,2021-04-05,Delta,0,0.0,92
1931,Aruba,2021-04-19,Delta,14,9.66,145
1955,Aruba,2021-05-03,Delta,2,1.43,140
1979,Aruba,2021-05-17,Delta,10,9.9,101
2003,Aruba,2021-05-31,Delta,0,0.0,107
2027,Aruba,2021-06-14,Delta,4,4.49,89
2051,Aruba,2021-06-28,Delta,0,0.0,24
2075,Aruba,2021-07-12,Delta,13,44.83,29
2099,Aruba,2021-07-26,Delta,84,86.6,97
2123,Aruba,2021-08-09,Delta,335,98.24,341
2147,Aruba,2021-08-23,Delta,518,98.67,525
2171,Aruba,2021-09-06,Delta,258,98.85,261
2195,Aruba,2021-09-20,Delta,140,100.0,140
2219,Aruba,2021-10-04,Delta,177,100.0,177
2243,Aruba,2021-10-18,Delta,37,100.0,37
2267,Aruba,2021-11-15,Delta,68,100.0,68
2291,Aruba,2021-11-29,Delta,43,100.0,43
2315,Aruba,2021-12-13,Delta,61,100.0,61
2339,Australia,2020-05-11,Delta,0,0.0,148
2363,Australia,2020-05-25,Delta,0,0.0,103
