,location,date,variant,num_sequences,perc_sequences,num_sequences_total
12,Angola,2020-07-06,Epsilon,0,0.0,3
36,Angola,2020-08-31,Epsilon,0,0.0,1
60,Angola,2020-09-28,Epsilon,0,0.0,10
84,Angola,2020-10-12,Epsilon,0,0.0,29
108,Angola,2020-10-26,Epsilon,0,0.0,7
132,Angola,2020-12-07,Epsilon,0,0.0,6
156,Angola,2020-12-21,Epsilon,0,0.0,93
180,Angola,2021-01-04,Epsilon,0,0.0,5
204,Angola,2021-01-11,Epsilon,0,0.0,16
228,Angola,2021-01-25,Epsilon,0,0.0,52
252,Angola,2021-02-08,Epsilon,0,0.0,42
276,Angola,2021-02-22,Epsilon,0,0.0,39
300,Angola,2021-03-08,Epsilon,0,0.0,113
324,Angola,2021-03-22,Epsilon,0,0.0,121
348,Angola,2021-04-05,Epsilon,0,0.0,137
372,Angola,2021-04-19,Epsilon,0,0.0,83
396,Angola,2021-05-03,Epsilon,0,0.0,34
420,Angola,2021-05-17,Epsilon,0,0.0,5
444,Angola,2021-05-31,Epsilon,0,0.0,7
468,Angola,2021-06-14,Epsilon,0,0.0,22
492,Angola,2021-06-28,Epsilon,0,0.0,59
516,Angola,2021-07-12,Epsilon,0,0.0,46
540,Angola,2021-07-26,Epsilon,0,0.0,10
564,Angola,2021-08-09,Epsilon,0,0.0,4
588,Angola,2021-08-23,Epsilon,0,0.0,1
612,Angola,2021-09-06,Epsilon,0,0.0,20
636,Angola,2021-09-20,Epsilon,0,0.0,57
660,Angola,2021-10-04,Epsilon,0,0.0,33
684,Argentina,2020-05-11,Epsilon,0,0.0,151
708,Argentina,2020-05-25,Epsilon,0,0.0,167
732,Argentina,2020-06-08,Epsilon,0,0.0,67
756,Argentina,2020-06-22,Epsilon,0,0.0,79
780,Argentina,2020-07-06,Epsilon,0,0.0,63
804,Argentina,2020-07-20,Epsilon,0,0.0,113
828,Argentina,2020-08-03,Epsilon,0,0.0,103
852,Argentina,2020-08-17,Epsilon,0,0.0,113
876,Argentina,2020-08-31,Epsilon,0,0.0,138
900,Argentina,2020-09-14,Epsilon,0,0.0,50
924,Argentina,2020-09-28,Epsilon,0,0.0,56
948,Argentina,2020-10-12,Epsilon,0,0.0,39
972,Argentina,2020-10-26,Epsilon,0,0.0,102
996,Argentina,2020-11-09,Epsilon,0,0.0,58
1020,Argentina,2020-11-23,Epsilon,0,0.0,63
1044,Argentina,2020-12-07,Epsilon,0,0.0,49
1068,Argentina,2020-12-21,Epsilon,0,0.0,71
1092,Argentina,2021-01-04,Epsilon,0,0.0,49
1116,Argentina,2021-01-11,Epsilon,1,3.03,33
1140,Argentina,2021-01-25,Epsilon,0,0.0,62
1164,Argentina,2021-02-08,Epsilon,3,4.35,69
1188,Argentina,2021-02-22,Epsilon,1,1.75,57
1212,Argentina,2021-03-08,Epsilon,3,4.62,65
1236,Argentina,2021-03-22,Epsilon,4,2.26,177
1260,Argentina,2021-04-05,Epsilon,4,2.04,196
1284,Argentina,2021-04-19,Epsilon,6,2.01,298
1308,Argentina,2021-05-03,Epsilon,6,1.78,337
1332,Argentina,2021-05-17,Epsilon,7,2.07,338
1356,Argentina,2021-05-31,Epsilon,4,1.33,301
1380,Argentina,2021-06-14,Epsilon,2,0.49,407
1404,Argentina,2021-06-28,Epsilon,1,0.26,380
1428,Argentina,2021-07-12,Epsilon,0,0.0,356
1452,Argentina,2021-07-26,Epsilon,0,0.0,336
1476,Argentina,2021-08-09,Epsilon,0,0.0,480
1500,Argentina,2021-08-23,Epsilon,0,0.0,447
1524,Argentina,2021-09-06,Epsilon,0,0.0,447
1548,Argentina,2021-09-20,Epsilon,0,0.0,313
1572,Argentina,2021-10-04,Epsilon,0,0.0,237
1596,Argentina,2021-10-18,Epsilon,0,0.0,361
1620,Argentina,2021-11-01,Epsilon,0,0.0,553
1644,Argentina,2021-11-15,Epsilon,0,0.0,332
