,location,date,variant,num_sequences,perc_sequences,num_sequences_total
13,Angola,2020-07-06,Eta,0,0.0,3
37,Angola,2020-08-31,Eta,0,0.0,1
61,Angola,2020-09-28,Eta,0,0.0,10
85,Angola,2020-10-12,Eta,0,0.0,29
109,Angola,2020-10-26,Eta,0,0.0,7
133,Angola,2020-12-07,Eta,0,0.0,6
157,Angola,2020-12-21,Eta,1,1.08,93
181,Angola,2021-01-04,Eta,0,0.0,5
205,Angola,2021-01-11,Eta,0,0.0,16
229,Angola,2021-01-25,Eta,0,0.0,52
253,Angola,2021-02-08,Eta,0,0.0,42
277,Angola,2021-02-22,Eta,0,0.0,39
301,Angola,2021-03-08,Eta,0,0.0,113
325,Angola,2021-03-22,Eta,1,0.83,121
349,Angola,2021-04-05,Eta,6,4.38,137
373,Angola,2021-04-19,Eta,2,2.41,83
397,Angola,2021-05-03,Eta,0,0.0,34
421,Angola,2021-05-17,Eta,0,0.0,5
445,Angola,2021-05-31,Eta,0,0.0,7
469,Angola,2021-06-14,Eta,0,0.0,22
493,Angola,2021-06-28,Eta,0,0.0,59
517,Angola,2021-07-12,Eta,0,0.0,46
541,Angola,2021-07-26,Eta,0,0.0,10
565,Angola,2021-08-09,Eta,0,0.0,4
589,Angola,2021-08-23,Eta,0,0.0,1
613,Angola,2021-09-06,Eta,0,0.0,20
637,Angola,2021-09-20,Eta,0,0.0,57
661,Angola,2021-10-04,Eta,0,0.0,33
685,Argentina,2020-05-11,Eta,0,0.0,151
709,Argentina,2020-05-25,Eta,0,0.0,167
733,Argentina,2020-06-08,Eta,0,0.0,67
757,Argentina,2020-06-22,Eta,0,0.0,79
781,Argentina,2020-07-06,Eta,0,0.0,63
805,Argentina,2020-07-20,Eta,0,0.0,113
829,Argentina,2020-08-03,Eta,0,0.0,103
853,Argentina,2020-08-17,Eta,0,0.0,113
877,Argentina,2020-08-31,Eta,0,0.0,138
901,Argentina,2020-09-14,Eta,0,0.0,50
925,Argentina,2020-09-28,Eta,0,0.0,56
949,Argentina,2020-10-12,Eta,0,0.0,39
973,Argentina,2020-10-26,Eta,0,0.0,102
997,Argentina,2020-11-09,Eta,0,0.0,58
1021,Argentina,2020-11-23,Eta,0,0.0,63
1045,Argentina,2020-12-07,Eta,0,0.0,49
1069,Argentina,2020-12-21,Eta,0,0.0,71
1093,Argentina,2021-01-04,Eta,0,0.0,49
1117,Argentina,2021-01-11,Eta,0,0.0,33
1141,Argentina,2021-01-25,Eta,0,0.0,62
1165,Argentina,2021-02-08,Eta,0,0.0,69
1189,Argentina,2021-02-22,Eta,0,0.0,57
1213,Argentina,2021-03-08,Eta,0,0.0,65
1237,Argentina,2021-03-22,Eta,0,0.0,177
1261,Argentina,2021-04-05,Eta,0,0.0,196
1285,Argentina,2021-04-19,Eta,0,0.0,298
1309,Argentina,2021-05-03,Eta,0,0.0,337
1333,Argentina,2021-05-17,Eta,1,0.3,338
1357,Argentina,2021-05-31,Eta,0,0.0,301
1381,Argentina,2021-06-14,Eta,0,0.0,407
1405,Argentina,2021-06-28,Eta,0,0.0,380
1429,Argentina,2021-07-12,Eta,0,0.0,356
1453,Argentina,2021-07-26,Eta,0,0.0,336
