,location,date,variant,num_sequences,perc_sequences,num_sequences_total
14,Angola,2020-07-06,Gamma,0,0.0,3
38,Angola,2020-08-31,Gamma,0,0.0,1
62,Angola,2020-09-28,Gamma,0,0.0,10
86,Angola,2020-10-12,Gamma,0,0.0,29
110,Angola,2020-10-26,Gamma,0,0.0,7
134,Angola,2020-12-07,Gamma,0,0.0,6
158,Angola,2020-12-21,Gamma,0,0.0,93
182,Angola,2021-01-04,Gamma,0,0.0,5
206,Angola,2021-01-11,Gamma,0,0.0,16
230,Angola,2021-01-25,Gamma,0,0.0,52
254,Angola,2021-02-08,Gamma,0,0.0,42
278,Angola,2021-02-22,Gamma,0,0.0,39
302,Angola,2021-03-08,Gamma,0,0.0,113
326,Angola,2021-03-22,Gamma,0,0.0,121
350,Angola,2021-04-05,Gamma,1,0.73,137
374,Angola,2021-04-19,Gamma,0,0.0,83
398,Angola,2021-05-03,Gamma,0,0.0,34
422,Angola,2021-05-17,Gamma,0,0.0,5
446,Angola,2021-05-31,Gamma,0,0.0,7
470,Angola,2021-06-14,Gamma,0,0.0,22
494,Angola,2021-06-28,Gamma,0,0.0,59
518,Angola,2021-07-12,Gamma,0,0.0,46
542,Angola,2021-07-26,Gamma,0,0.0,10
566,Angola,2021-08-09,Gamma,0,0.0,4
590,Angola,2021-08-23,Gamma,0,0.0,1
614,Angola,2021-09-06,Gamma,0,0.0,20
638,Angola,2021-09-20,Gamma,0,0.0,57
662,Angola,2021-10-04,Gamma,0,0.0,33
686,Argentina,2020-05-11,Gamma,0,0.0,151
710,Argentina,2020-05-25,Gamma,0,0.0,167
734,Argentina,2020-06-08,Gamma,0,0.0,67
758,Argentina,2020-06-22,Gamma,0,0.0,79
782,Argentina,2020-07-06,Gamma,0,0.0,63
806,Argentina,2020-07-20,Gamma,0,0.0,113
830,Argentina,2020-08-03,Gamma,0,0.0,103
854,Argentina,2020-08-17,Gamma,0,0.0,113
878,Argentina,2020-08-31,Gamma,0,0.0,138
902,Argentina,2020-09-14,Gamma,0,0.0,50
926,Argentina,2020-09-28,Gamma,0,0.0,56
950,Argentina,2020-10-12,Gamma,0,0.0,39
974,Argentina,2020-10-26,Gamma,0,0.0,102
998,Argentina,2020-11-09,Gamma,0,0.0,58
1022,Argentina,2020-11-23,Gamma,0,0.0,63
1046,Argentina,2020-12-07,Gamma,0,0.0,49
1070,Argentina,2020-12-21,Gamma,0,0.0,71
1094,Argentina,2021-01-04,Gamma,0,0.0,49
1118,Argentina,2021-01-11,Gamma,0,0.0,33
1142,Argentina,2021-01-25,Gamma,1,1.61,62
1166,Argentina,2021-02-08,Gamma,2,2.9,69
1190,Argentina,2021-02-22,Gamma,3,5.26,57
1214,Argentina,2021-03-08,Gamma,7,10.77,65
1238,Argentina,2021-03-22,Gamma,22,12.43,177
1262,Argentina,2021-04-05,Gamma,45,22.96,196
1286,Argentina,2021-04-19,Gamma,88,29.53,298
1310,Argentina,2021-05-03,Gamma,142,42.14,337
1334,Argentina,2021-05-17,Gamma,188,55.62,338
1358,Argentina,2021-05-31,Gamma,183,60.8,301
1382,Argentina,2021-06-14,Gamma,268,65.85,407
1406,Argentina,2021-06-28,Gamma,256,67.37,380
1430,Argentina,2021-07-12,Gamma,262,73.6,356
1454,Argentina,2021-07-26,Gamma,192,57.14,336
1478,Argentina,2021-08-09,Gamma,283,58.96,480
1502,Argentina,2021-08-23,Gamma,245,54.81,447
1526,Argentina,2021-09-06,Gamma,256,57.27,447
1550,Argentina,2021-09-20,Gamma,116,37.06,313
1574,Argentina,2021-10-04,Gamma,81,34.18,237
1598,Argentina,2021-10-18,Gamma,112,31.02,361
1622,Argentina,2021-11-01,Gamma,81,14.65,553
1646,Argentina,2021-11-15,Gamma,21,6.33,332
1670,Argentina,2021-11-29,Gamma,4,3.42,117
1694,Argentina,2021-12-13,Gamma,1,1.15,87
1718,Argentina,2021-12-27,Gamma,0,0.0,94
1742,Aruba,2020-08-17,Gamma,0,0.0,4
1766,Aruba,2020-08-31,Gamma,0,0.0,1
1790,Aruba,2021-01-25,Gamma,0,0.0,26
1814,Aruba,2021-02-08,Gamma,0,0.0,114
1838,Aruba,2021-02-22,Gamma,1,0.65,154
1862,Aruba,2021-03-08,Gamma,0,0.0,125
1886,Aruba,2021-03-22,Gamma,1,1.01,99
1910,Aruba,2021-04-05,Gamma,0,0.0,92
1934,Aruba,2021-04-19,Gamma,9,6.21,145
1958,Aruba,2021-05-03,Gamma,14,10.0,140
1982,Aruba,2021-05-17,Gamma,12,11.88,101
2006,Aruba,2021-05-31,Gamma,25,23.36,107
2030,Aruba,2021-06-14,Gamma,35,39.33,89
2054,Aruba,2021-06-28,Gamma,19,79.17,24
2078,Aruba,2021-07-12,Gamma,4,13.79,29
2102,Aruba,2021-07-26,Gamma,2,2.06,97
2126,Aruba,2021-08-09,Gamma,0,0.0,341
2150,Aruba,2021-08-23,Gamma,1,0.19,525
2174,Aruba,2021-09-06,Gamma,0,0.0,261
2198,Aruba,2021-09-20,Gamma,0,0.0,140
2222,Aruba,2021-10-04,Gamma,0,0.0,177
2246,Aruba,2021-10-18,Gamma,0,0.0,37
2270,Aruba,2021-11-15,Gamma,0,0.0,68
2294,Aruba,2021-11-29,Gamma,0,0.0,43
2318,Aruba,2021-12-13,Gamma,0,0.0,61
2342,Australia,2020-05-11,Gamma,0,0.0,148
2366,Australia,2020-05-25,Gamma,0,0.0,103
2390,Australia,2020-06-08,Gamma,0,0.0,94
2414,Australia,2020-06-22,Gamma,0,0.0,172
2438,Australia,2020-07-06,Gamma,0,0.0,814
2462,Australia,2020-07-20,Gamma,0,0.0,2733
2486,Australia,2020-08-03,Gamma,0,0.0,4183
2510,Australia,2020-08-17,Gamma,0,0.0,3020
2534,Australia,2020-08-31,Gamma,0,0.0,1987
2558,Australia,2020-09-14,Gamma,0,0.0,770
2582,Australia,2020-09-28,Gamma,0,0.0,323
2606,Australia,2020-10-12,Gamma,0,0.0,182
2630,Australia,2020-10-26,Gamma,0,0.0,132
2654,Australia,2020-11-09,Gamma,0,0.0,63
2678,Australia,2020-11-23,Gamma,0,0.0,64
2702,Australia,2020-12-07,Gamma,0,0.0,49
2726,Australia,2020-12-21,Gamma,0,0.0,142
2750,Australia,2021-01-04,Gamma,0,0.0,208
2774,Australia,2021-01-11,Gamma,0,0.0,74
2798,Australia,2021-01-25,Gamma,0,0.0,100
2822,Australia,2021-02-08,Gamma,0,0.0,53
2846,Australia,2021-02-22,Gamma,0,0.0,80
2870,Australia,2021-03-08,Gamma,1,1.41,71
2894,Australia,2021-03-22,Gamma,1,0.82,122
2918,Australia,2021-04-05,Gamma,2,1.63,123
2942,Australia,2021-04-19,Gamma,2,1.27,157
2966,Australia,2021-05-03,Gamma,2,0.98,204
2990,Australia,2021-05-17,Gamma,0,0.0,117
3014,Australia,2021-05-31,Gamma,0,0.0,108
3038,Australia,2021-06-14,Gamma,0,0.0,132
3062,Australia,2021-06-28,Gamma,0,0.0,247
3086,Australia,2021-07-12,Gamma,0,0.0,767
3110,Australia,2021-07-26,Gamma,0,0.0,1742
3134,Australia,2021-08-09,Gamma,0,0.0,2734
3158,Australia,2021-08-23,Gamma,0,0.0,3198
3182,Australia,2021-09-06,Gamma,0,0.0,3744
3206,Australia,2021-09-20,Gamma,0,0.0,3526
3230,Australia,2021-10-04,Gamma,0,0.0,1824
3254,Australia,2021-10-18,Gamma,0,0.0,2410
3278,Australia,2021-11-01,Gamma,0,0.0,1883
3302,Australia,2021-11-15,Gamma,0,0.0,2078
3326,Australia,2021-11-29,Gamma,0,0.0,1992
3350,Australia,2021-12-13,Gamma,0,0.0,2800
3374,Australia,2021-12-27,Gamma,0,0.0,1726
3398,Austria,2020-05-11,Gamma,0,0.0,34
3422,Austria,2020-05-25,Gamma,0,0.0,41
3446,Austria,2020-06-08,Gamma,0,0.0,1
3470,Austria,2020-06-22,Gamma,0,0.0,1
3494,Austria,2020-07-06,Gamma,0,0.0,2
3518,Austria,2020-07-20,Gamma,0,0.0,11
3542,Austria,2020-08-03,Gamma,0,0.0,9
3566,Austria,2020-08-17,Gamma,0,0.0,22
3590,Austria,2020-08-31,Gamma,0,0.0,44
3614,Austria,2020-09-14,Gamma,0,0.0,35
3638,Austria,2020-09-28,Gamma,0,0.0,39
3662,Austria,2020-10-12,Gamma,0,0.0,30
3686,Austria,2020-10-26,Gamma,0,0.0,84
3710,Austria,2020-11-09,Gamma,0,0.0,181
3734,Austria,2020-11-23,Gamma,0,0.0,159
3758,Austria,2020-12-07,Gamma,0,0.0,137
3782,Austria,2020-12-21,Gamma,0,0.0,45
3806,Austria,2021-01-04,Gamma,0,0.0,315
3830,Austria,2021-01-11,Gamma,0,0.0,136
3854,Austria,2021-01-25,Gamma,0,0.0,250
3878,Austria,2021-02-08,Gamma,0,0.0,385
3902,Austria,2021-02-22,Gamma,0,0.0,415
3926,Austria,2021-03-08,Gamma,0,0.0,464
3950,Austria,2021-03-22,Gamma,0,0.0,567
3974,Austria,2021-04-05,Gamma,0,0.0,291
3998,Austria,2021-04-19,Gamma,1,0.28,353
4022,Austria,2021-05-03,Gamma,0,0.0,329
4046,Austria,2021-05-17,Gamma,6,0.97,619
4070,Austria,2021-05-31,Gamma,11,2.83,389
4094,Austria,2021-06-14,Gamma,10,2.51,398
4118,Austria,2021-06-28,Gamma,2,0.27,750
4142,Austria,2021-07-12,Gamma,1,0.2,505
4166,Austria,2021-07-26,Gamma,0,0.0,771
4190,Austria,2021-08-09,Gamma,2,0.32,623
4214,Austria,2021-08-23,Gamma,0,0.0,623
4238,Austria,2021-09-06,Gamma,1,0.17,585
4262,Austria,2021-09-20,Gamma,0,0.0,513
4286,Austria,2021-10-04,Gamma,0,0.0,444
4310,Austria,2021-10-18,Gamma,0,0.0,437
4334,Austria,2021-11-01,Gamma,0,0.0,634
4358,Austria,2021-11-15,Gamma,0,0.0,561
4382,Austria,2021-11-29,Gamma,0,0.0,165
4406,Austria,2021-12-13,Gamma,0,0.0,183
4430,Bahrain,2020-06-08,Gamma,0,0.0,1
4454,Bahrain,2020-06-22,Gamma,0,0.0,2
4478,Bahrain,2020-07-06,Gamma,0,0.0,11
4502,Bahrain,2020-08-03,Gamma,0,0.0,3
4526,Bahrain,2020-08-31,Gamma,0,0.0,3
4550,Bahrain,2020-09-14,Gamma,0,0.0,2
4574,Bahrain,2020-09-28,Gamma,0,0.0,2
4598,Bahrain,2020-10-12,Gamma,0,0.0,10
4622,Bahrain,2020-10-26,Gamma,0,0.0,45
4646,Bahrain,2020-11-09,Gamma,0,0.0,6
4670,Bahrain,2020-11-23,Gamma,0,0.0,38
4694,Bahrain,2021-02-08,Gamma,0,0.0,1
4718,Bahrain,2021-02-22,Gamma,0,0.0,2
4742,Bahrain,2021-03-22,Gamma,0,0.0,7
4766,Bahrain,2021-04-05,Gamma,0,0.0,2
4790,Bahrain,2021-04-19,Gamma,0,0.0,42
4814,Bahrain,2021-05-03,Gamma,0,0.0,9
4838,Bahrain,2021-05-17,Gamma,0,0.0,57
4862,Bahrain,2021-05-31,Gamma,0,0.0,46
4886,Bahrain,2021-06-14,Gamma,0,0.0,24
4910,Bahrain,2021-06-28,Gamma,0,0.0,84
4934,Bahrain,2021-07-12,Gamma,0,0.0,69
4958,Bahrain,2021-07-26,Gamma,1,0.94,106
4982,Bahrain,2021-08-09,Gamma,0,0.0,48
5006,Bahrain,2021-09-06,Gamma,0,0.0,227
5030,Bahrain,2021-10-04,Gamma,0,0.0,186
5054,Bahrain,2021-10-18,Gamma,0,0.0,372
5078,Bahrain,2021-11-01,Gamma,0,0.0,467
5102,Bahrain,2021-11-15,Gamma,0,0.0,370
5126,Bangladesh,2020-05-11,Gamma,0,0.0,124
5150,Bangladesh,2020-05-25,Gamma,0,0.0,168
5174,Bangladesh,2020-06-08,Gamma,0,0.0,69
5198,Bangladesh,2020-06-22,Gamma,0,0.0,111
5222,Bangladesh,2020-07-06,Gamma,0,0.0,175
5246,Bangladesh,2020-07-20,Gamma,0,0.0,139
5270,Bangladesh,2020-08-03,Gamma,0,0.0,66
5294,Bangladesh,2020-08-17,Gamma,0,0.0,26
5318,Bangladesh,2020-08-31,Gamma,0,0.0,25
5342,Bangladesh,2020-09-14,Gamma,0,0.0,35
5366,Bangladesh,2020-09-28,Gamma,0,0.0,8
5390,Bangladesh,2020-10-12,Gamma,0,0.0,20
5414,Bangladesh,2020-10-26,Gamma,0,0.0,15
5438,Bangladesh,2020-11-09,Gamma,0,0.0,27
5462,Bangladesh,2020-11-23,Gamma,0,0.0,30
5486,Bangladesh,2020-12-07,Gamma,0,0.0,57
5510,Bangladesh,2020-12-21,Gamma,0,0.0,25
5534,Bangladesh,2021-01-04,Gamma,0,0.0,53
5558,Bangladesh,2021-01-11,Gamma,0,0.0,15
5582,Bangladesh,2021-01-25,Gamma,0,0.0,62
5606,Bangladesh,2021-02-08,Gamma,0,0.0,42
5630,Bangladesh,2021-02-22,Gamma,1,2.78,36
5654,Bangladesh,2021-03-08,Gamma,0,0.0,14
5678,Bangladesh,2021-03-22,Gamma,0,0.0,156
5702,Bangladesh,2021-04-05,Gamma,0,0.0,87
5726,Bangladesh,2021-04-19,Gamma,0,0.0,131
5750,Bangladesh,2021-05-03,Gamma,0,0.0,56
5774,Bangladesh,2021-05-17,Gamma,0,0.0,58
5798,Bangladesh,2021-05-31,Gamma,0,0.0,99
5822,Bangladesh,2021-06-14,Gamma,0,0.0,69
5846,Bangladesh,2021-06-28,Gamma,0,0.0,112
5870,Bangladesh,2021-07-12,Gamma,0,0.0,244
5894,Bangladesh,2021-07-26,Gamma,0,0.0,174
5918,Bangladesh,2021-08-09,Gamma,0,0.0,149
5942,Bangladesh,2021-08-23,Gamma,0,0.0,140
5966,Bangladesh,2021-09-06,Gamma,0,0.0,131
5990,Bangladesh,2021-09-20,Gamma,0,0.0,126
6014,Bangladesh,2021-10-04,Gamma,0,0.0,94
6038,Bangladesh,2021-10-18,Gamma,0,0.0,136
6062,Bangladesh,2021-11-01,Gamma,0,0.0,94
6086,Bangladesh,2021-11-15,Gamma,0,0.0,118
6110,Bangladesh,2021-11-29,Gamma,0,0.0,112
6134,Bangladesh,2021-12-13,Gamma,0,0.0,45
6158,Bangladesh,2021-12-27,Gamma,0,0.0,24
6182,Bangladesh,2022-01-05,Gamma,0,0.0,3
6206,Belgium,2020-05-11,Gamma,0,0.0,134
6230,Belgium,2020-05-25,Gamma,0,0.0,67
6254,Belgium,2020-06-08,Gamma,0,0.0,15
6278,Belgium,2020-06-22,Gamma,0,0.0,38
6302,Belgium,2020-07-06,Gamma,0,0.0,39
6326,Belgium,2020-07-20,Gamma,0,0.0,39
6350,Belgium,2020-08-03,Gamma,0,0.0,146
6374,Belgium,2020-08-17,Gamma,0,0.0,130
6398,Belgium,2020-08-31,Gamma,0,0.0,54
6422,Belgium,2020-09-14,Gamma,0,0.0,87
6446,Belgium,2020-09-28,Gamma,0,0.0,246
6470,Belgium,2020-10-12,Gamma,0,0.0,130
6494,Belgium,2020-10-26,Gamma,0,0.0,363
6518,Belgium,2020-11-09,Gamma,0,0.0,204
6542,Belgium,2020-11-23,Gamma,0,0.0,241
6566,Belgium,2020-12-07,Gamma,0,0.0,148
6590,Belgium,2020-12-21,Gamma,0,0.0,347
6614,Belgium,2021-01-04,Gamma,0,0.0,242
6638,Belgium,2021-01-11,Gamma,0,0.0,293
6662,Belgium,2021-01-25,Gamma,0,0.0,1378
6686,Belgium,2021-02-08,Gamma,7,0.38,1820
6710,Belgium,2021-02-22,Gamma,44,2.43,1808
6734,Belgium,2021-03-08,Gamma,80,3.58,2237
6758,Belgium,2021-03-22,Gamma,140,4.77,2935
6782,Belgium,2021-04-05,Gamma,216,6.28,3438
6806,Belgium,2021-04-19,Gamma,281,9.65,2911
6830,Belgium,2021-05-03,Gamma,272,8.15,3338
6854,Belgium,2021-05-17,Gamma,314,10.1,3108
6878,Belgium,2021-05-31,Gamma,293,9.93,2952
6902,Belgium,2021-06-14,Gamma,206,10.33,1995
6926,Belgium,2021-06-28,Gamma,56,4.74,1181
6950,Belgium,2021-07-12,Gamma,59,2.23,2640
6974,Belgium,2021-07-26,Gamma,58,1.46,3960
6998,Belgium,2021-08-09,Gamma,11,0.27,4006
7022,Belgium,2021-08-23,Gamma,4,0.09,4534
7046,Belgium,2021-09-06,Gamma,0,0.0,4495
7070,Belgium,2021-09-20,Gamma,1,0.03,3113
7094,Belgium,2021-10-04,Gamma,0,0.0,2926
7118,Belgium,2021-10-18,Gamma,0,0.0,3315
7142,Belgium,2021-11-01,Gamma,0,0.0,3530
7166,Belgium,2021-11-15,Gamma,0,0.0,2729
7190,Belgium,2021-11-29,Gamma,0,0.0,3076
7214,Belgium,2021-12-13,Gamma,0,0.0,3087
7238,Belgium,2021-12-27,Gamma,0,0.0,1493
7262,Belgium,2022-01-05,Gamma,0,0.0,59
7286,Belize,2020-08-17,Gamma,0,0.0,4
7310,Belize,2020-08-31,Gamma,0,0.0,1
7334,Belize,2020-09-28,Gamma,0,0.0,2
7358,Belize,2020-10-12,Gamma,0,0.0,4
7382,Belize,2020-10-26,Gamma,0,0.0,6
7406,Belize,2020-11-09,Gamma,0,0.0,1
7430,Belize,2020-12-21,Gamma,0,0.0,7
7454,Belize,2021-01-04,Gamma,0,0.0,14
7478,Belize,2021-01-11,Gamma,0,0.0,7
7502,Belize,2021-01-25,Gamma,0,0.0,16
7526,Belize,2021-02-08,Gamma,0,0.0,26
7550,Belize,2021-02-22,Gamma,0,0.0,11
7574,Belize,2021-03-08,Gamma,0,0.0,3
7598,Belize,2021-03-22,Gamma,0,0.0,2
7622,Belize,2021-04-19,Gamma,0,0.0,3
7646,Belize,2021-05-03,Gamma,0,0.0,1
7670,Belize,2021-05-17,Gamma,1,6.67,15
7694,Belize,2021-05-31,Gamma,0,0.0,3
7718,Belize,2021-06-14,Gamma,0,0.0,1
7742,Belize,2021-06-28,Gamma,3,9.38,32
7766,Belize,2021-07-12,Gamma,3,16.67,18
7790,Belize,2021-07-26,Gamma,8,13.79,58
7814,Belize,2021-08-09,Gamma,6,9.52,63
7838,Belize,2021-08-23,Gamma,1,6.25,16
7862,Benin,2021-02-08,Gamma,0,0.0,109
7886,Benin,2021-03-08,Gamma,0,0.0,121
7910,Benin,2021-04-05,Gamma,0,0.0,176
7934,Benin,2021-04-19,Gamma,0,0.0,8
7958,Benin,2021-05-03,Gamma,0,0.0,25
7982,Benin,2021-05-17,Gamma,0,0.0,32
8006,Benin,2021-05-31,Gamma,0,0.0,27
8030,Benin,2021-06-14,Gamma,0,0.0,9
8054,Benin,2021-06-28,Gamma,0,0.0,14
8078,Benin,2021-07-12,Gamma,0,0.0,28
8102,Benin,2021-07-26,Gamma,0,0.0,36
8126,Benin,2021-08-09,Gamma,0,0.0,34
8150,Benin,2021-08-23,Gamma,0,0.0,74
8174,Benin,2021-09-06,Gamma,0,0.0,57
8198,Bosnia and Herzegovina,2020-05-11,Gamma,0,0.0,1
8222,Bosnia and Herzegovina,2020-06-08,Gamma,0,0.0,2
8246,Bosnia and Herzegovina,2020-07-20,Gamma,0,0.0,1
8270,Bosnia and Herzegovina,2020-08-31,Gamma,0,0.0,1
8294,Bosnia and Herzegovina,2020-09-14,Gamma,0,0.0,1
8318,Bosnia and Herzegovina,2020-09-28,Gamma,0,0.0,1
8342,Bosnia and Herzegovina,2020-10-12,Gamma,0,0.0,1
8366,Bosnia and Herzegovina,2020-11-09,Gamma,0,0.0,2
