,location,date,variant,num_sequences,perc_sequences,num_sequences_total
15,Angola,2020-07-06,Iota,0,0.0,3
39,Angola,2020-08-31,Iota,0,0.0,1
63,Angola,2020-09-28,Iota,0,0.0,10
87,Angola,2020-10-12,Iota,0,0.0,29
111,Angola,2020-10-26,Iota,0,0.0,7
135,Angola,2020-12-07,Iota,0,0.0,6
159,Angola,2020-12-21,Iota,0,0.0,93
183,Angola,2021-01-04,Iota,0,0.0,5
207,Angola,2021-01-11,Iota,0,0.0,16
231,Angola,2021-01-25,Iota,0,0.0,52
255,Angola,2021-02-08,Iota,0,0.0,42
279,Angola,2021-02-22,Iota,0,0.0,39
303,Angola,2021-03-08,Iota,0,0.0,113
327,Angola,2021-03-22,Iota,0,0.0,121
351,Angola,2021-04-05,Iota,0,0.0,137
375,Angola,2021-04-19,Iota,0,0.0,83
399,Angola,2021-05-03,Iota,0,0.0,34
423,Angola,2021-05-17,Iota,0,0.0,5
447,Angola,2021-05-31,Iota,0,0.0,7
471,Angola,2021-06-14,Iota,0,0.0,22
495,Angola,2021-06-28,Iota,0,0.0,59
519,Angola,2021-07-12,Iota,0,0.0,46
543,Angola,2021-07-26,Iota,0,0.0,10
567,Angola,2021-08-09,Iota,0,0.0,4
591,Angola,2021-08-23,Iota,0,0.0,1
615,Angola,2021-09-06,Iota,0,0.0,20
639,Angola,2021-09-20,Iota,0,0.0,57
663,Angola,2021-10-04,Iota,0,0.0,33
687,Argentina,2020-05-11,Iota,0,0.0,151
711,Argentina,2020-05-25,Iota,0,0.0,167
735,Argentina,2020-06-08,Iota,0,0.0,67
759,Argentina,2020-06-22,Iota,0,0.0,79
783,Argentina,2020-07-06,Iota,0,0.0,63
807,Argentina,2020-07-20,Iota,0,0.0,113
831,Argentina,2020-08-03,Iota,0,0.0,103
855,Argentina,2020-08-17,Iota,0,0.0,113
879,Argentina,2020-08-31,Iota,0,0.0,138
903,Argentina,2020-09-14,Iota,0,0.0,50
927,Argentina,2020-09-28,Iota,0,0.0,56
951,Argentina,2020-10-12,Iota,0,0.0,39
975,Argentina,2020-10-26,Iota,0,0.0,102
999,Argentina,2020-11-09,Iota,0,0.0,58
1023,Argentina,2020-11-23,Iota,0,0.0,63
1047,Argentina,2020-12-07,Iota,0,0.0,49
1071,Argentina,2020-12-21,Iota,0,0.0,71
1095,Argentina,2021-01-04,Iota,0,0.0,49
1119,Argentina,2021-01-11,Iota,0,0.0,33
1143,Argentina,2021-01-25,Iota,0,0.0,62
1167,Argentina,2021-02-08,Iota,0,0.0,69
1191,Argentina,2021-02-22,Iota,0,0.0,57
1215,Argentina,2021-03-08,Iota,0,0.0,65
1239,Argentina,2021-03-22,Iota,2,1.13,177
1263,Argentina,2021-04-05,Iota,5,2.55,196
1287,Argentina,2021-04-19,Iota,1,0.34,298
1311,Argentina,2021-05-03,Iota,3,0.89,337
1335,Argentina,2021-05-17,Iota,2,0.59,338
1359,Argentina,2021-05-31,Iota,3,1.0,301
1383,Argentina,2021-06-14,Iota,2,0.49,407
1407,Argentina,2021-06-28,Iota,1,0.26,380
1431,Argentina,2021-07-12,Iota,0,0.0,356
1455,Argentina,2021-07-26,Iota,0,0.0,336
1479,Argentina,2021-08-09,Iota,0,0.0,480
1503,Argentina,2021-08-23,Iota,0,0.0,447
1527,Argentina,2021-09-06,Iota,0,0.0,447
1551,Argentina,2021-09-20,Iota,1,0.32,313
1575,Argentina,2021-10-04,Iota,0,0.0,237
1599,Argentina,2021-10-18,Iota,0,0.0,361
1623,Argentina,2021-11-01,Iota,0,0.0,553
1647,Argentina,2021-11-15,Iota,0,0.0,332
1671,Argentina,2021-11-29,Iota,0,0.0,117
1695,Argentina,2021-12-13,Iota,1,1.15,87
1719,Argentina,2021-12-27,Iota,0,0.0,94
1743,Aruba,2020-08-17,Iota,0,0.0,4
1767,Aruba,2020-08-31,Iota,0,0.0,1
1791,Aruba,2021-01-25,Iota,0,0.0,26
1815,Aruba,2021-02-08,Iota,2,1.75,114
1839,Aruba,2021-02-22,Iota,2,1.3,154
1863,Aruba,2021-03-08,Iota,7,5.6,125
1887,Aruba,2021-03-22,Iota,7,7.07,99
1911,Aruba,2021-04-05,Iota,9,9.78,92
1935,Aruba,2021-04-19,Iota,9,6.21,145
1959,Aruba,2021-05-03,Iota,27,19.29,140
1983,Aruba,2021-05-17,Iota,17,16.83,101
2007,Aruba,2021-05-31,Iota,9,8.41,107
