,location,date,variant,num_sequences,perc_sequences,num_sequences_total
16,Angola,2020-07-06,Kappa,0,0.0,3
40,Angola,2020-08-31,Kappa,0,0.0,1
64,Angola,2020-09-28,Kappa,0,0.0,10
88,Angola,2020-10-12,Kappa,0,0.0,29
112,Angola,2020-10-26,Kappa,0,0.0,7
136,Angola,2020-12-07,Kappa,0,0.0,6
160,Angola,2020-12-21,Kappa,0,0.0,93
184,Angola,2021-01-04,Kappa,0,0.0,5
208,Angola,2021-01-11,Kappa,0,0.0,16
232,Angola,2021-01-25,Kappa,0,0.0,52
256,Angola,2021-02-08,Kappa,0,0.0,42
280,Angola,2021-02-22,Kappa,0,0.0,39
304,Angola,2021-03-08,Kappa,0,0.0,113
328,Angola,2021-03-22,Kappa,1,0.83,121
352,Angola,2021-04-05,Kappa,4,2.92,137
376,Angola,2021-04-19,Kappa,1,1.2,83
400,Angola,2021-05-03,Kappa,0,0.0,34
424,Angola,2021-05-17,Kappa,0,0.0,5
448,Angola,2021-05-31,Kappa,0,0.0,7
472,Angola,2021-06-14,Kappa,0,0.0,22
496,Angola,2021-06-28,Kappa,0,0.0,59
520,Angola,2021-07-12,Kappa,0,0.0,46
544,Angola,2021-07-26,Kappa,0,0.0,10
568,Angola,2021-08-09,Kappa,0,0.0,4
592,Angola,2021-08-23,Kappa,0,0.0,1
616,Angola,2021-09-06,Kappa,0,0.0,20
640,Angola,2021-09-20,Kappa,0,0.0,57
664,Angola,2021-10-04,Kappa,0,0.0,33
688,Argentina,2020-05-11,Kappa,0,0.0,151
712,Argentina,2020-05-25,Kappa,0,0.0,167
736,Argentina,2020-06-08,Kappa,0,0.0,67
760,Argentina,2020-06-22,Kappa,0,0.0,79
784,Argentina,2020-07-06,Kappa,0,0.0,63
808,Argentina,2020-07-20,Kappa,0,0.0,113
832,Argentina,2020-08-03,Kappa,0,0.0,103
856,Argentina,2020-08-17,Kappa,0,0.0,113
880,Argentina,2020-08-31,Kappa,0,0.0,138
904,Argentina,2020-09-14,Kappa,0,0.0,50
928,Argentina,2020-09-28,Kappa,0,0.0,56
952,Argentina,2020-10-12,Kappa,0,0.0,39
976,Argentina,2020-10-26,Kappa,0,0.0,102
1000,Argentina,2020-11-09,Kappa,0,0.0,58
1024,Argentina,2020-11-23,Kappa,0,0.0,63
1048,Argentina,2020-12-07,Kappa,0,0.0,49
1072,Argentina,2020-12-21,Kappa,0,0.0,71
1096,Argentina,2021-01-04,Kappa,0,0.0,49
1120,Argentina,2021-01-11,Kappa,0,0.0,33
1144,Argentina,2021-01-25,Kappa,0,0.0,62
1168,Argentina,2021-02-08,Kappa,0,0.0,69
1192,Argentina,2021-02-22,Kappa,0,0.0,57
1216,Argentina,2021-03-08,Kappa,0,0.0,65
1240,Argentina,2021-03-22,Kappa,0,0.0,177
1264,Argentina,2021-04-05,Kappa,0,0.0,196
1288,Argentina,2021-04-19,Kappa,0,0.0,298
1312,Argentina,2021-05-03,Kappa,0,0.0,337
1336,Argentina,2021-05-17,Kappa,0,0.0,338
1360,Argentina,2021-05-31,Kappa,0,0.0,301
1384,Argentina,2021-06-14,Kappa,0,0.0,407
1408,Argentina,2021-06-28,Kappa,0,0.0,380
1432,Argentina,2021-07-12,Kappa,0,0.0,356
1456,Argentina,2021-07-26,Kappa,0,0.0,336
1480,Argentina,2021-08-09,Kappa,0,0.0,480
1504,Argentina,2021-08-23,Kappa,0,0.0,447
1528,Argentina,2021-09-06,Kappa,0,0.0,447
1552,Argentina,2021-09-20,Kappa,0,0.0,313
1576,Argentina,2021-10-04,Kappa,0,0.0,237
1600,Argentina,2021-10-18,Kappa,0,0.0,361
1624,Argentina,2021-11-01,Kappa,0,0.0,553
1648,Argentina,2021-11-15,Kappa,0,0.0,332
1672,Argentina,2021-11-29,Kappa,0,0.0,117
1696,Argentina,2021-12-13,Kappa,0,0.0,87
1720,Argentina,2021-12-27,Kappa,0,0.0,94
1744,Aruba,2020-08-17,Kappa,0,0.0,4
1768,Aruba,2020-08-31,Kappa,0,0.0,1
1792,Aruba,2021-01-25,Kappa,0,0.0,26
1816,Aruba,2021-02-08,Kappa,0,0.0,114
1840,Aruba,2021-02-22,Kappa,0,0.0,154
1864,Aruba,2021-03-08,Kappa,0,0.0,125
1888,Aruba,2021-03-22,Kappa,0,0.0,99
1912,Aruba,2021-04-05,Kappa,0,0.0,92
1936,Aruba,2021-04-19,Kappa,0,0.0,145
1960,Aruba,2021-05-03,Kappa,0,0.0,140
1984,Aruba,2021-05-17,Kappa,0,0.0,101
2008,Aruba,2021-05-31,Kappa,0,0.0,107
2032,Aruba,2021-06-14,Kappa,0,0.0,89
2056,Aruba,2021-06-28,Kappa,0,0.0,24
2080,Aruba,2021-07-12,Kappa,0,0.0,29
2104,Aruba,2021-07-26,Kappa,0,0.0,97
2128,Aruba,2021-08-09,Kappa,0,0.0,341
2152,Aruba,2021-08-23,Kappa,0,0.0,525
2176,Aruba,2021-09-06,Kappa,0,0.0,261
2200,Aruba,2021-09-20,Kappa,0,0.0,140
2224,Aruba,2021-10-04,Kappa,0,0.0,177
2248,Aruba,2021-10-18,Kappa,0,0.0,37
2272,Aruba,2021-11-15,Kappa,0,0.0,68
2296,Aruba,2021-11-29,Kappa,0,0.0,43
2320,Aruba,2021-12-13,Kappa,0,0.0,61
2344,Australia,2020-05-11,Kappa,0,0.0,148
2368,Australia,2020-05-25,Kappa,0,0.0,103
2392,Australia,2020-06-08,Kappa,0,0.0,94
2416,Australia,2020-06-22,Kappa,0,0.0,172
2440,Australia,2020-07-06,Kappa,0,0.0,814
2464,Australia,2020-07-20,Kappa,0,0.0,2733
2488,Australia,2020-08-03,Kappa,0,0.0,4183
2512,Australia,2020-08-17,Kappa,0,0.0,3020
2536,Australia,2020-08-31,Kappa,0,0.0,1987
2560,Australia,2020-09-14,Kappa,0,0.0,770
2584,Australia,2020-09-28,Kappa,0,0.0,323
2608,Australia,2020-10-12,Kappa,0,0.0,182
2632,Australia,2020-10-26,Kappa,0,0.0,132
2656,Australia,2020-11-09,Kappa,0,0.0,63
2680,Australia,2020-11-23,Kappa,0,0.0,64
2704,Australia,2020-12-07,Kappa,0,0.0,49
2728,Australia,2020-12-21,Kappa,0,0.0,142
2752,Australia,2021-01-04,Kappa,0,0.0,208
2776,Australia,2021-01-11,Kappa,0,0.0,74
2800,Australia,2021-01-25,Kappa,0,0.0,100
2824,Australia,2021-02-08,Kappa,0,0.0,53
2848,Australia,2021-02-22,Kappa,0,0.0,80
2872,Australia,2021-03-08,Kappa,0,0.0,71
2896,Australia,2021-03-22,Kappa,2,1.64,122
2920,Australia,2021-04-05,Kappa,2,1.63,123
2944,Australia,2021-04-19,Kappa,18,11.46,157
2968,Australia,2021-05-03,Kappa,17,8.33,204
2992,Australia,2021-05-17,Kappa,5,4.27,117
3016,Australia,2021-05-31,Kappa,65,60.19,108
3040,Australia,2021-06-14,Kappa,38,28.79,132
3064,Australia,2021-06-28,Kappa,9,3.64,247
3088,Australia,2021-07-12,Kappa,0,0.0,767
3112,Australia,2021-07-26,Kappa,0,0.0,1742
3136,Australia,2021-08-09,Kappa,0,0.0,2734
3160,Australia,2021-08-23,Kappa,0,0.0,3198
3184,Australia,2021-09-06,Kappa,0,0.0,3744
3208,Australia,2021-09-20,Kappa,0,0.0,3526
3232,Australia,2021-10-04,Kappa,0,0.0,1824
3256,Australia,2021-10-18,Kappa,0,0.0,2410
3280,Australia,2021-11-01,Kappa,0,0.0,1883
