,location,date,variant,num_sequences,perc_sequences,num_sequences_total
17,Angola,2020-07-06,Lambda,0,0.0,3
41,Angola,2020-08-31,Lambda,0,0.0,1
65,Angola,2020-09-28,Lambda,0,0.0,10
89,Angola,2020-10-12,Lambda,0,0.0,29
113,Angola,2020-10-26,Lambda,0,0.0,7
137,Angola,2020-12-07,Lambda,0,0.0,6
161,Angola,2020-12-21,Lambda,0,0.0,93
185,Angola,2021-01-04,Lambda,0,0.0,5
209,Angola,2021-01-11,Lambda,0,0.0,16
233,Angola,2021-01-25,Lambda,0,0.0,52
257,Angola,2021-02-08,Lambda,0,0.0,42
281,Angola,2021-02-22,Lambda,0,0.0,39
305,Angola,2021-03-08,Lambda,0,0.0,113
329,Angola,2021-03-22,Lambda,0,0.0,121
353,Angola,2021-04-05,Lambda,0,0.0,137
377,Angola,2021-04-19,Lambda,0,0.0,83
401,Angola,2021-05-03,Lambda,0,0.0,34
425,Angola,2021-05-17,Lambda,0,0.0,5
449,Angola,2021-05-31,Lambda,0,0.0,7
473,Angola,2021-06-14,Lambda,0,0.0,22
497,Angola,2021-06-28,Lambda,0,0.0,59
521,Angola,2021-07-12,Lambda,0,0.0,46
545,Angola,2021-07-26,Lambda,0,0.0,10
569,Angola,2021-08-09,Lambda,0,0.0,4
593,Angola,2021-08-23,Lambda,0,0.0,1
617,Angola,2021-09-06,Lambda,0,0.0,20
641,Angola,2021-09-20,Lambda,0,0.0,57
665,Angola,2021-10-04,Lambda,0,0.0,33
689,Argentina,2020-05-11,Lambda,0,0.0,151
713,Argentina,2020-05-25,Lambda,0,0.0,167
737,Argentina,2020-06-08,Lambda,0,0.0,67
761,Argentina,2020-06-22,Lambda,0,0.0,79
785,Argentina,2020-07-06,Lambda,0,0.0,63
809,Argentina,2020-07-20,Lambda,0,0.0,113
833,Argentina,2020-08-03,Lambda,0,0.0,103
857,Argentina,2020-08-17,Lambda,0,0.0,113
881,Argentina,2020-08-31,Lambda,0,0.0,138
905,Argentina,2020-09-14,Lambda,0,0.0,50
929,Argentina,2020-09-28,Lambda,0,0.0,56
953,Argentina,2020-10-12,Lambda,0,0.0,39
977,Argentina,2020-10-26,Lambda,0,0.0,102
1001,Argentina,2020-11-09,Lambda,1,1.72,58
1025,Argentina,2020-11-23,Lambda,0,0.0,63
1049,Argentina,2020-12-07,Lambda,0,0.0,49
1073,Argentina,2020-12-21,Lambda,0,0.0,71
1097,Argentina,2021-01-04,Lambda,0,0.0,49
1121,Argentina,2021-01-11,Lambda,0,0.0,33
1145,Argentina,2021-01-25,Lambda,1,1.61,62
1169,Argentina,2021-02-08,Lambda,2,2.9,69
1193,Argentina,2021-02-22,Lambda,2,3.51,57
1217,Argentina,2021-03-08,Lambda,2,3.08,65
1241,Argentina,2021-03-22,Lambda,7,3.95,177
1265,Argentina,2021-04-05,Lambda,26,13.27,196
1289,Argentina,2021-04-19,Lambda,38,12.75,298
1313,Argentina,2021-05-03,Lambda,62,18.4,337
1337,Argentina,2021-05-17,Lambda,54,15.98,338
1361,Argentina,2021-05-31,Lambda,66,21.93,301
1385,Argentina,2021-06-14,Lambda,88,21.62,407
1409,Argentina,2021-06-28,Lambda,78,20.53,380
1433,Argentina,2021-07-12,Lambda,57,16.01,356
1457,Argentina,2021-07-26,Lambda,81,24.11,336
1481,Argentina,2021-08-09,Lambda,92,19.17,480
1505,Argentina,2021-08-23,Lambda,105,23.49,447
1529,Argentina,2021-09-06,Lambda,90,20.13,447
1553,Argentina,2021-09-20,Lambda,62,19.81,313
1577,Argentina,2021-10-04,Lambda,37,15.61,237
1601,Argentina,2021-10-18,Lambda,72,19.94,361
1625,Argentina,2021-11-01,Lambda,42,7.59,553
1649,Argentina,2021-11-15,Lambda,34,10.24,332
1673,Argentina,2021-11-29,Lambda,8,6.84,117
1697,Argentina,2021-12-13,Lambda,2,2.3,87
1721,Argentina,2021-12-27,Lambda,0,0.0,94
1745,Aruba,2020-08-17,Lambda,0,0.0,4
1769,Aruba,2020-08-31,Lambda,0,0.0,1
1793,Aruba,2021-01-25,Lambda,0,0.0,26
1817,Aruba,2021-02-08,Lambda,0,0.0,114
1841,Aruba,2021-02-22,Lambda,0,0.0,154
1865,Aruba,2021-03-08,Lambda,0,0.0,125
1889,Aruba,2021-03-22,Lambda,0,0.0,99
1913,Aruba,2021-04-05,Lambda,0,0.0,92
1937,Aruba,2021-04-19,Lambda,0,0.0,145
1961,Aruba,2021-05-03,Lambda,1,0.71,140
1985,Aruba,2021-05-17,Lambda,0,0.0,101
2009,Aruba,2021-05-31,Lambda,0,0.0,107
2033,Aruba,2021-06-14,Lambda,1,1.12,89
2057,Aruba,2021-06-28,Lambda,0,0.0,24
2081,Aruba,2021-07-12,Lambda,0,0.0,29
2105,Aruba,2021-07-26,Lambda,0,0.0,97
2129,Aruba,2021-08-09,Lambda,0,0.0,341
2153,Aruba,2021-08-23,Lambda,0,0.0,525
2177,Aruba,2021-09-06,Lambda,0,0.0,261
2201,Aruba,2021-09-20,Lambda,0,0.0,140
2225,Aruba,2021-10-04,Lambda,0,0.0,177
2249,Aruba,2021-10-18,Lambda,0,0.0,37
2273,Aruba,2021-11-15,Lambda,0,0.0,68
2297,Aruba,2021-11-29,Lambda,0,0.0,43
2321,Aruba,2021-12-13,Lambda,0,0.0,61
2345,Australia,2020-05-11,Lambda,0,0.0,148
2369,Australia,2020-05-25,Lambda,0,0.0,103
2393,Australia,2020-06-08,Lambda,0,0.0,94
2417,Australia,2020-06-22,Lambda,0,0.0,172
2441,Australia,2020-07-06,Lambda,0,0.0,814
2465,Australia,2020-07-20,Lambda,0,0.0,2733
2489,Australia,2020-08-03,Lambda,0,0.0,4183
2513,Australia,2020-08-17,Lambda,0,0.0,3020
2537,Australia,2020-08-31,Lambda,0,0.0,1987
2561,Australia,2020-09-14,Lambda,0,0.0,770
2585,Australia,2020-09-28,Lambda,0,0.0,323
2609,Australia,2020-10-12,Lambda,0,0.0,182
2633,Australia,2020-10-26,Lambda,0,0.0,132
2657,Australia,2020-11-09,Lambda,0,0.0,63
2681,Australia,2020-11-23,Lambda,0,0.0,64
2705,Australia,2020-12-07,Lambda,0,0.0,49
2729,Australia,2020-12-21,Lambda,0,0.0,142
2753,Australia,2021-01-04,Lambda,0,0.0,208
2777,Australia,2021-01-11,Lambda,0,0.0,74
2801,Australia,2021-01-25,Lambda,0,0.0,100
2825,Australia,2021-02-08,Lambda,0,0.0,53
2849,Australia,2021-02-22,Lambda,0,0.0,80
2873,Australia,2021-03-08,Lambda,0,0.0,71
2897,Australia,2021-03-22,Lambda,0,0.0,122
2921,Australia,2021-04-05,Lambda,1,0.81,123
2945,Australia,2021-04-19,Lambda,0,0.0,157
2969,Australia,2021-05-03,Lambda,0,0.0,204
2993,Australia,2021-05-17,Lambda,0,0.0,117
3017,Australia,2021-05-31,Lambda,0,0.0,108
3041,Australia,2021-06-14,Lambda,0,0.0,132
3065,Australia,2021-06-28,Lambda,0,0.0,247
3089,Australia,2021-07-12,Lambda,0,0.0,767
3113,Australia,2021-07-26,Lambda,0,0.0,1742
3137,Australia,2021-08-09,Lambda,0,0.0,2734
3161,Australia,2021-08-23,Lambda,0,0.0,3198
3185,Australia,2021-09-06,Lambda,0,0.0,3744
3209,Australia,2021-09-20,Lambda,0,0.0,3526
3233,Australia,2021-10-04,Lambda,0,0.0,1824
3257,Australia,2021-10-18,Lambda,0,0.0,2410
3281,Australia,2021-11-01,Lambda,0,0.0,1883
3305,Australia,2021-11-15,Lambda,0,0.0,2078
3329,Australia,2021-11-29,Lambda,0,0.0,1992
3353,Australia,2021-12-13,Lambda,0,0.0,2800
3377,Australia,2021-12-27,Lambda,0,0.0,1726
3401,Austria,2020-05-11,Lambda,0,0.0,34
3425,Austria,2020-05-25,Lambda,0,0.0,41
3449,Austria,2020-06-08,Lambda,0,0.0,1
3473,Austria,2020-06-22,Lambda,0,0.0,1
3497,Austria,2020-07-06,Lambda,0,0.0,2
3521,Austria,2020-07-20,Lambda,0,0.0,11
3545,Austria,2020-08-03,Lambda,0,0.0,9
3569,Austria,2020-08-17,Lambda,0,0.0,22
3593,Austria,2020-08-31,Lambda,0,0.0,44
3617,Austria,2020-09-14,Lambda,0,0.0,35
3641,Austria,2020-09-28,Lambda,0,0.0,39
3665,Austria,2020-10-12,Lambda,0,0.0,30
3689,Austria,2020-10-26,Lambda,0,0.0,84
3713,Austria,2020-11-09,Lambda,0,0.0,181
3737,Austria,2020-11-23,Lambda,0,0.0,159
3761,Austria,2020-12-07,Lambda,0,0.0,137
3785,Austria,2020-12-21,Lambda,0,0.0,45
3809,Austria,2021-01-04,Lambda,0,0.0,315
3833,Austria,2021-01-11,Lambda,0,0.0,136
3857,Austria,2021-01-25,Lambda,0,0.0,250
3881,Austria,2021-02-08,Lambda,0,0.0,385
3905,Austria,2021-02-22,Lambda,0,0.0,415
3929,Austria,2021-03-08,Lambda,0,0.0,464
3953,Austria,2021-03-22,Lambda,0,0.0,567
3977,Austria,2021-04-05,Lambda,0,0.0,291
4001,Austria,2021-04-19,Lambda,0,0.0,353
4025,Austria,2021-05-03,Lambda,0,0.0,329
4049,Austria,2021-05-17,Lambda,0,0.0,619
4073,Austria,2021-05-31,Lambda,0,0.0,389
4097,Austria,2021-06-14,Lambda,0,0.0,398
4121,Austria,2021-06-28,Lambda,0,0.0,750
4145,Austria,2021-07-12,Lambda,0,0.0,505
4169,Austria,2021-07-26,Lambda,0,0.0,771
4193,Austria,2021-08-09,Lambda,0,0.0,623
4217,Austria,2021-08-23,Lambda,0,0.0,623
4241,Austria,2021-09-06,Lambda,0,0.0,585
4265,Austria,2021-09-20,Lambda,0,0.0,513
4289,Austria,2021-10-04,Lambda,0,0.0,444
4313,Austria,2021-10-18,Lambda,0,0.0,437
4337,Austria,2021-11-01,Lambda,0,0.0,634
4361,Austria,2021-11-15,Lambda,0,0.0,561
4385,Austria,2021-11-29,Lambda,0,0.0,165
4409,Austria,2021-12-13,Lambda,0,0.0,183
4433,Bahrain,2020-06-08,Lambda,0,0.0,1
4457,Bahrain,2020-06-22,Lambda,0,0.0,2
4481,Bahrain,2020-07-06,Lambda,0,0.0,11
4505,Bahrain,2020-08-03,Lambda,0,0.0,3
4529,Bahrain,2020-08-31,Lambda,0,0.0,3
4553,Bahrain,2020-09-14,Lambda,0,0.0,2
4577,Bahrain,2020-09-28,Lambda,0,0.0,2
4601,Bahrain,2020-10-12,Lambda,0,0.0,10
4625,Bahrain,2020-10-26,Lambda,0,0.0,45
4649,Bahrain,2020-11-09,Lambda,0,0.0,6
4673,Bahrain,2020-11-23,Lambda,0,0.0,38
4697,Bahrain,2021-02-08,Lambda,0,0.0,1
4721,Bahrain,2021-02-22,Lambda,0,0.0,2
4745,Bahrain,2021-03-22,Lambda,0,0.0,7
4769,Bahrain,2021-04-05,Lambda,0,0.0,2
4793,Bahrain,2021-04-19,Lambda,0,0.0,42
4817,Bahrain,2021-05-03,Lambda,0,0.0,9
4841,Bahrain,2021-05-17,Lambda,0,0.0,57
4865,Bahrain,2021-05-31,Lambda,0,0.0,46
4889,Bahrain,2021-06-14,Lambda,0,0.0,24
4913,Bahrain,2021-06-28,Lambda,0,0.0,84
4937,Bahrain,2021-07-12,Lambda,0,0.0,69
4961,Bahrain,2021-07-26,Lambda,0,0.0,106
4985,Bahrain,2021-08-09,Lambda,0,0.0,48
5009,Bahrain,2021-09-06,Lambda,0,0.0,227
5033,Bahrain,2021-10-04,Lambda,0,0.0,186
5057,Bahrain,2021-10-18,Lambda,0,0.0,372
5081,Bahrain,2021-11-01,Lambda,0,0.0,467
5105,Bahrain,2021-11-15,Lambda,0,0.0,370
5129,Bangladesh,2020-05-11,Lambda,0,0.0,124
5153,Bangladesh,2020-05-25,Lambda,0,0.0,168
5177,Bangladesh,2020-06-08,Lambda,0,0.0,69
5201,Bangladesh,2020-06-22,Lambda,0,0.0,111
5225,Bangladesh,2020-07-06,Lambda,0,0.0,175
5249,Bangladesh,2020-07-20,Lambda,0,0.0,139
5273,Bangladesh,2020-08-03,Lambda,0,0.0,66
5297,Bangladesh,2020-08-17,Lambda,0,0.0,26
5321,Bangladesh,2020-08-31,Lambda,0,0.0,25
5345,Bangladesh,2020-09-14,Lambda,0,0.0,35
5369,Bangladesh,2020-09-28,Lambda,0,0.0,8
5393,Bangladesh,2020-10-12,Lambda,0,0.0,20
5417,Bangladesh,2020-10-26,Lambda,0,0.0,15
5441,Bangladesh,2020-11-09,Lambda,0,0.0,27
5465,Bangladesh,2020-11-23,Lambda,0,0.0,30
5489,Bangladesh,2020-12-07,Lambda,0,0.0,57
5513,Bangladesh,2020-12-21,Lambda,0,0.0,25
5537,Bangladesh,2021-01-04,Lambda,0,0.0,53
5561,Bangladesh,2021-01-11,Lambda,0,0.0,15
5585,Bangladesh,2021-01-25,Lambda,0,0.0,62
5609,Bangladesh,2021-02-08,Lambda,0,0.0,42
5633,Bangladesh,2021-02-22,Lambda,0,0.0,36
5657,Bangladesh,2021-03-08,Lambda,0,0.0,14
5681,Bangladesh,2021-03-22,Lambda,0,0.0,156
5705,Bangladesh,2021-04-05,Lambda,0,0.0,87
5729,Bangladesh,2021-04-19,Lambda,0,0.0,131
5753,Bangladesh,2021-05-03,Lambda,0,0.0,56
5777,Bangladesh,2021-05-17,Lambda,0,0.0,58
5801,Bangladesh,2021-05-31,Lambda,0,0.0,99
5825,Bangladesh,2021-06-14,Lambda,0,0.0,69
5849,Bangladesh,2021-06-28,Lambda,0,0.0,112
5873,Bangladesh,2021-07-12,Lambda,0,0.0,244
5897,Bangladesh,2021-07-26,Lambda,0,0.0,174
5921,Bangladesh,2021-08-09,Lambda,0,0.0,149
5945,Bangladesh,2021-08-23,Lambda,0,0.0,140
5969,Bangladesh,2021-09-06,Lambda,0,0.0,131
5993,Bangladesh,2021-09-20,Lambda,0,0.0,126
6017,Bangladesh,2021-10-04,Lambda,0,0.0,94
6041,Bangladesh,2021-10-18,Lambda,0,0.0,136
6065,Bangladesh,2021-11-01,Lambda,0,0.0,94
6089,Bangladesh,2021-11-15,Lambda,0,0.0,118
6113,Bangladesh,2021-11-29,Lambda,0,0.0,112
6137,Bangladesh,2021-12-13,Lambda,0,0.0,45
6161,Bangladesh,2021-12-27,Lambda,0,0.0,24
6185,Bangladesh,2022-01-05,Lambda,0,0.0,3
6209,Belgium,2020-05-11,Lambda,0,0.0,134
6233,Belgium,2020-05-25,Lambda,0,0.0,67
6257,Belgium,2020-06-08,Lambda,0,0.0,15
6281,Belgium,2020-06-22,Lambda,0,0.0,38
6305,Belgium,2020-07-06,Lambda,0,0.0,39
6329,Belgium,2020-07-20,Lambda,0,0.0,39
6353,Belgium,2020-08-03,Lambda,0,0.0,146
6377,Belgium,2020-08-17,Lambda,0,0.0,130
6401,Belgium,2020-08-31,Lambda,0,0.0,54
6425,Belgium,2020-09-14,Lambda,0,0.0,87
6449,Belgium,2020-09-28,Lambda,0,0.0,246
6473,Belgium,2020-10-12,Lambda,0,0.0,130
6497,Belgium,2020-10-26,Lambda,0,0.0,363
6521,Belgium,2020-11-09,Lambda,0,0.0,204
6545,Belgium,2020-11-23,Lambda,0,0.0,241
6569,Belgium,2020-12-07,Lambda,0,0.0,148
6593,Belgium,2020-12-21,Lambda,0,0.0,347
6617,Belgium,2021-01-04,Lambda,0,0.0,242
6641,Belgium,2021-01-11,Lambda,0,0.0,293
6665,Belgium,2021-01-25,Lambda,0,0.0,1378
6689,Belgium,2021-02-08,Lambda,0,0.0,1820
6713,Belgium,2021-02-22,Lambda,0,0.0,1808
6737,Belgium,2021-03-08,Lambda,0,0.0,2237
6761,Belgium,2021-03-22,Lambda,0,0.0,2935
6785,Belgium,2021-04-05,Lambda,0,0.0,3438
6809,Belgium,2021-04-19,Lambda,0,0.0,2911
6833,Belgium,2021-05-03,Lambda,0,0.0,3338
6857,Belgium,2021-05-17,Lambda,0,0.0,3108
6881,Belgium,2021-05-31,Lambda,0,0.0,2952
6905,Belgium,2021-06-14,Lambda,0,0.0,1995
6929,Belgium,2021-06-28,Lambda,2,0.17,1181
6953,Belgium,2021-07-12,Lambda,1,0.04,2640
6977,Belgium,2021-07-26,Lambda,6,0.15,3960
7001,Belgium,2021-08-09,Lambda,1,0.02,4006
7025,Belgium,2021-08-23,Lambda,0,0.0,4534
7049,Belgium,2021-09-06,Lambda,0,0.0,4495
7073,Belgium,2021-09-20,Lambda,0,0.0,3113
7097,Belgium,2021-10-04,Lambda,0,0.0,2926
7121,Belgium,2021-10-18,Lambda,0,0.0,3315
7145,Belgium,2021-11-01,Lambda,0,0.0,3530
7169,Belgium,2021-11-15,Lambda,0,0.0,2729
7193,Belgium,2021-11-29,Lambda,0,0.0,3076
7217,Belgium,2021-12-13,Lambda,0,0.0,3087
7241,Belgium,2021-12-27,Lambda,0,0.0,1493
7265,Belgium,2022-01-05,Lambda,0,0.0,59
7289,Belize,2020-08-17,Lambda,0,0.0,4
7313,Belize,2020-08-31,Lambda,0,0.0,1
7337,Belize,2020-09-28,Lambda,0,0.0,2
7361,Belize,2020-10-12,Lambda,0,0.0,4
7385,Belize,2020-10-26,Lambda,0,0.0,6
7409,Belize,2020-11-09,Lambda,0,0.0,1
7433,Belize,2020-12-21,Lambda,0,0.0,7
7457,Belize,2021-01-04,Lambda,0,0.0,14
7481,Belize,2021-01-11,Lambda,0,0.0,7
7505,Belize,2021-01-25,Lambda,0,0.0,16
7529,Belize,2021-02-08,Lambda,0,0.0,26
7553,Belize,2021-02-22,Lambda,0,0.0,11
7577,Belize,2021-03-08,Lambda,0,0.0,3
