,location,date,variant,num_sequences,perc_sequences,num_sequences_total
18,Angola,2020-07-06,Mu,0,0.0,3
42,Angola,2020-08-31,Mu,0,0.0,1
66,Angola,2020-09-28,Mu,0,0.0,10
90,Angola,2020-10-12,Mu,0,0.0,29
114,Angola,2020-10-26,Mu,0,0.0,7
138,Angola,2020-12-07,Mu,0,0.0,6
162,Angola,2020-12-21,Mu,0,0.0,93
186,Angola,2021-01-04,Mu,0,0.0,5
210,Angola,2021-01-11,Mu,0,0.0,16
234,Angola,2021-01-25,Mu,0,0.0,52
258,Angola,2021-02-08,Mu,0,0.0,42
282,Angola,2021-02-22,Mu,0,0.0,39
306,Angola,2021-03-08,Mu,0,0.0,113
330,Angola,2021-03-22,Mu,0,0.0,121
354,Angola,2021-04-05,Mu,0,0.0,137
378,Angola,2021-04-19,Mu,0,0.0,83
402,Angola,2021-05-03,Mu,0,0.0,34
426,Angola,2021-05-17,Mu,0,0.0,5
450,Angola,2021-05-31,Mu,0,0.0,7
474,Angola,2021-06-14,Mu,0,0.0,22
498,Angola,2021-06-28,Mu,0,0.0,59
522,Angola,2021-07-12,Mu,0,0.0,46
546,Angola,2021-07-26,Mu,0,0.0,10
570,Angola,2021-08-09,Mu,0,0.0,4
594,Angola,2021-08-23,Mu,0,0.0,1
618,Angola,2021-09-06,Mu,0,0.0,20
642,Angola,2021-09-20,Mu,0,0.0,57
666,Angola,2021-10-04,Mu,0,0.0,33
690,Argentina,2020-05-11,Mu,0,0.0,151
714,Argentina,2020-05-25,Mu,0,0.0,167
738,Argentina,2020-06-08,Mu,0,0.0,67
762,Argentina,2020-06-22,Mu,0,0.0,79
786,Argentina,2020-07-06,Mu,0,0.0,63
810,Argentina,2020-07-20,Mu,0,0.0,113
834,Argentina,2020-08-03,Mu,0,0.0,103
858,Argentina,2020-08-17,Mu,0,0.0,113
882,Argentina,2020-08-31,Mu,0,0.0,138
906,Argentina,2020-09-14,Mu,0,0.0,50
930,Argentina,2020-09-28,Mu,0,0.0,56
954,Argentina,2020-10-12,Mu,0,0.0,39
978,Argentina,2020-10-26,Mu,0,0.0,102
1002,Argentina,2020-11-09,Mu,0,0.0,58
1026,Argentina,2020-11-23,Mu,0,0.0,63
1050,Argentina,2020-12-07,Mu,0,0.0,49
1074,Argentina,2020-12-21,Mu,0,0.0,71
1098,Argentina,2021-01-04,Mu,0,0.0,49
1122,Argentina,2021-01-11,Mu,0,0.0,33
1146,Argentina,2021-01-25,Mu,0,0.0,62
1170,Argentina,2021-02-08,Mu,0,0.0,69
1194,Argentina,2021-02-22,Mu,0,0.0,57
1218,Argentina,2021-03-08,Mu,0,0.0,65
1242,Argentina,2021-03-22,Mu,0,0.0,177
1266,Argentina,2021-04-05,Mu,0,0.0,196
1290,Argentina,2021-04-19,Mu,0,0.0,298
1314,Argentina,2021-05-03,Mu,1,0.3,337
1338,Argentina,2021-05-17,Mu,0,0.0,338
1362,Argentina,2021-05-31,Mu,0,0.0,301
1386,Argentina,2021-06-14,Mu,0,0.0,407
1410,Argentina,2021-06-28,Mu,0,0.0,380
1434,Argentina,2021-07-12,Mu,2,0.56,356
1458,Argentina,2021-07-26,Mu,1,0.3,336
1482,Argentina,2021-08-09,Mu,3,0.62,480
1506,Argentina,2021-08-23,Mu,3,0.67,447
1530,Argentina,2021-09-06,Mu,5,1.12,447
1554,Argentina,2021-09-20,Mu,3,0.96,313
1578,Argentina,2021-10-04,Mu,2,0.84,237
1602,Argentina,2021-10-18,Mu,2,0.55,361
1626,Argentina,2021-11-01,Mu,2,0.36,553
1650,Argentina,2021-11-15,Mu,2,0.6,332
1674,Argentina,2021-11-29,Mu,0,0.0,117
1698,Argentina,2021-12-13,Mu,0,0.0,87
1722,Argentina,2021-12-27,Mu,0,0.0,94
1746,Aruba,2020-08-17,Mu,0,0.0,4
1770,Aruba,2020-08-31,Mu,0,0.0,1
1794,Aruba,2021-01-25,Mu,0,0.0,26
1818,Aruba,2021-02-08,Mu,0,0.0,114
1842,Aruba,2021-02-22,Mu,0,0.0,154
1866,Aruba,2021-03-08,Mu,0,0.0,125
1890,Aruba,2021-03-22,Mu,0,0.0,99
1914,Aruba,2021-04-05,Mu,0,0.0,92
1938,Aruba,2021-04-19,Mu,0,0.0,145
1962,Aruba,2021-05-03,Mu,1,0.71,140
1986,Aruba,2021-05-17,Mu,6,5.94,101
2010,Aruba,2021-05-31,Mu,20,18.69,107
2034,Aruba,2021-06-14,Mu,32,35.96,89
2058,Aruba,2021-06-28,Mu,1,4.17,24
2082,Aruba,2021-07-12,Mu,10,34.48,29
2106,Aruba,2021-07-26,Mu,10,10.31,97
2130,Aruba,2021-08-09,Mu,6,1.76,341
2154,Aruba,2021-08-23,Mu,6,1.14,525
2178,Aruba,2021-09-06,Mu,3,1.15,261
2202,Aruba,2021-09-20,Mu,0,0.0,140
2226,Aruba,2021-10-04,Mu,0,0.0,177
2250,Aruba,2021-10-18,Mu,0,0.0,37
