,location,date,variant,num_sequences,perc_sequences,num_sequences_total
19,Angola,2020-07-06,Omicron,0,0.0,3
43,Angola,2020-08-31,Omicron,0,0.0,1
67,Angola,2020-09-28,Omicron,0,0.0,10
91,Angola,2020-10-12,Omicron,0,0.0,29
115,Angola,2020-10-26,Omicron,0,0.0,7
139,Angola,2020-12-07,Omicron,0,0.0,6
163,Angola,2020-12-21,Omicron,0,0.0,93
187,Angola,2021-01-04,Omicron,0,0.0,5
211,Angola,2021-01-11,Omicron,0,0.0,16
235,Angola,2021-01-25,Omicron,0,0.0,52
259,Angola,2021-02-08,Omicron,0,0.0,42
283,Angola,2021-02-22,Omicron,0,0.0,39
307,Angola,2021-03-08,Omicron,0,0.0,113
331,Angola,2021-03-22,Omicron,0,0.0,121
355,Angola,2021-04-05,Omicron,0,0.0,137
379,Angola,2021-04-19,Omicron,0,0.0,83
403,Angola,2021-05-03,Omicron,0,0.0,34
427,Angola,2021-05-17,Omicron,0,0.0,5
451,Angola,2021-05-31,Omicron,0,0.0,7
475,Angola,2021-06-14,Omicron,0,0.0,22
499,Angola,2021-06-28,Omicron,0,0.0,59
523,Angola,2021-07-12,Omicron,0,0.0,46
547,Angola,2021-07-26,Omicron,0,0.0,10
571,Angola,2021-08-09,Omicron,0,0.0,4
595,Angola,2021-08-23,Omicron,0,0.0,1
619,Angola,2021-09-06,Omicron,0,0.0,20
643,Angola,2021-09-20,Omicron,0,0.0,57
667,Angola,2021-10-04,Omicron,0,0.0,33
691,Argentina,2020-05-11,Omicron,0,0.0,151
715,Argentina,2020-05-25,Omicron,0,0.0,167
739,Argentina,2020-06-08,Omicron,0,0.0,67
763,Argentina,2020-06-22,Omicron,0,0.0,79
787,Argentina,2020-07-06,Omicron,0,0.0,63
811,Argentina,2020-07-20,Omicron,0,0.0,113
835,Argentina,2020-08-03,Omicron,0,0.0,103
859,Argentina,2020-08-17,Omicron,0,0.0,113
883,Argentina,2020-08-31,Omicron,0,0.0,138
907,Argentina,2020-09-14,Omicron,0,0.0,50
931,Argentina,2020-09-28,Omicron,0,0.0,56
955,Argentina,2020-10-12,Omicron,0,0.0,39
979,Argentina,2020-10-26,Omicron,0,0.0,102
1003,Argentina,2020-11-09,Omicron,0,0.0,58
1027,Argentina,2020-11-23,Omicron,0,0.0,63
1051,Argentina,2020-12-07,Omicron,0,0.0,49
1075,Argentina,2020-12-21,Omicron,0,0.0,71
1099,Argentina,2021-01-04,Omicron,0,0.0,49
1123,Argentina,2021-01-11,Omicron,0,0.0,33
1147,Argentina,2021-01-25,Omicron,0,0.0,62
1171,Argentina,2021-02-08,Omicron,0,0.0,69
1195,Argentina,2021-02-22,Omicron,0,0.0,57
1219,Argentina,2021-03-08,Omicron,0,0.0,65
1243,Argentina,2021-03-22,Omicron,0,0.0,177
1267,Argentina,2021-04-05,Omicron,0,0.0,196
1291,Argentina,2021-04-19,Omicron,0,0.0,298
1315,Argentina,2021-05-03,Omicron,0,0.0,337
1339,Argentina,2021-05-17,Omicron,0,0.0,338
1363,Argentina,2021-05-31,Omicron,0,0.0,301
1387,Argentina,2021-06-14,Omicron,0,0.0,407
1411,Argentina,2021-06-28,Omicron,0,0.0,380
1435,Argentina,2021-07-12,Omicron,0,0.0,356
1459,Argentina,2021-07-26,Omicron,0,0.0,336
1483,Argentina,2021-08-09,Omicron,0,0.0,480
1507,Argentina,2021-08-23,Omicron,0,0.0,447
1531,Argentina,2021-09-06,Omicron,0,0.0,447
1555,Argentina,2021-09-20,Omicron,0,0.0,313
1579,Argentina,2021-10-04,Omicron,0,0.0,237
1603,Argentina,2021-10-18,Omicron,0,0.0,361
1627,Argentina,2021-11-01,Omicron,0,0.0,553
1651,Argentina,2021-11-15,Omicron,0,0.0,332
1675,Argentina,2021-11-29,Omicron,0,0.0,117
1699,Argentina,2021-12-13,Omicron,13,14.94,87
1723,Argentina,2021-12-27,Omicron,80,85.11,94
1747,Aruba,2020-08-17,Omicron,0,0.0,4
1771,Aruba,2020-08-31,Omicron,0,0.0,1
1795,Aruba,2021-01-25,Omicron,0,0.0,26
1819,Aruba,2021-02-08,Omicron,0,0.0,114
1843,Aruba,2021-02-22,Omicron,0,0.0,154
1867,Aruba,2021-03-08,Omicron,0,0.0,125
1891,Aruba,2021-03-22,Omicron,0,0.0,99
1915,Aruba,2021-04-05,Omicron,0,0.0,92
1939,Aruba,2021-04-19,Omicron,0,0.0,145
1963,Aruba,2021-05-03,Omicron,0,0.0,140
1987,Aruba,2021-05-17,Omicron,0,0.0,101
2011,Aruba,2021-05-31,Omicron,0,0.0,107
2035,Aruba,2021-06-14,Omicron,0,0.0,89
2059,Aruba,2021-06-28,Omicron,0,0.0,24
2083,Aruba,2021-07-12,Omicron,0,0.0,29
2107,Aruba,2021-07-26,Omicron,0,0.0,97
2131,Aruba,2021-08-09,Omicron,0,0.0,341
2155,Aruba,2021-08-23,Omicron,0,0.0,525
2179,Aruba,2021-09-06,Omicron,0,0.0,261
2203,Aruba,2021-09-20,Omicron,0,0.0,140
2227,Aruba,2021-10-04,Omicron,0,0.0,177
2251,Aruba,2021-10-18,Omicron,0,0.0,37
2275,Aruba,2021-11-15,Omicron,0,0.0,68
2299,Aruba,2021-11-29,Omicron,0,0.0,43
2323,Aruba,2021-12-13,Omicron,0,0.0,61
2347,Australia,2020-05-11,Omicron,0,0.0,148
2371,Australia,2020-05-25,Omicron,0,0.0,103
2395,Australia,2020-06-08,Omicron,0,0.0,94
2419,Australia,2020-06-22,Omicron,0,0.0,172
2443,Australia,2020-07-06,Omicron,0,0.0,814
2467,Australia,2020-07-20,Omicron,0,0.0,2733
2491,Australia,2020-08-03,Omicron,0,0.0,4183
2515,Australia,2020-08-17,Omicron,0,0.0,3020
2539,Australia,2020-08-31,Omicron,0,0.0,1987
2563,Australia,2020-09-14,Omicron,0,0.0,770
2587,Australia,2020-09-28,Omicron,0,0.0,323
2611,Australia,2020-10-12,Omicron,0,0.0,182
2635,Australia,2020-10-26,Omicron,0,0.0,132
2659,Australia,2020-11-09,Omicron,0,0.0,63
2683,Australia,2020-11-23,Omicron,0,0.0,64
2707,Australia,2020-12-07,Omicron,0,0.0,49
2731,Australia,2020-12-21,Omicron,0,0.0,142
2755,Australia,2021-01-04,Omicron,0,0.0,208
2779,Australia,2021-01-11,Omicron,0,0.0,74
2803,Australia,2021-01-25,Omicron,0,0.0,100
2827,Australia,2021-02-08,Omicron,0,0.0,53
2851,Australia,2021-02-22,Omicron,0,0.0,80
2875,Australia,2021-03-08,Omicron,0,0.0,71
2899,Australia,2021-03-22,Omicron,0,0.0,122
2923,Australia,2021-04-05,Omicron,0,0.0,123
2947,Australia,2021-04-19,Omicron,0,0.0,157
2971,Australia,2021-05-03,Omicron,0,0.0,204
2995,Australia,2021-05-17,Omicron,0,0.0,117
3019,Australia,2021-05-31,Omicron,0,0.0,108
3043,Australia,2021-06-14,Omicron,0,0.0,132
3067,Australia,2021-06-28,Omicron,0,0.0,247
3091,Australia,2021-07-12,Omicron,0,0.0,767
3115,Australia,2021-07-26,Omicron,0,0.0,1742
3139,Australia,2021-08-09,Omicron,0,0.0,2734
3163,Australia,2021-08-23,Omicron,0,0.0,3198
3187,Australia,2021-09-06,Omicron,0,0.0,3744
3211,Australia,2021-09-20,Omicron,0,0.0,3526
3235,Australia,2021-10-04,Omicron,0,0.0,1824
3259,Australia,2021-10-18,Omicron,0,0.0,2410
3283,Australia,2021-11-01,Omicron,0,0.0,1883
3307,Australia,2021-11-15,Omicron,0,0.0,2078
3331,Australia,2021-11-29,Omicron,8,0.4,1992
3355,Australia,2021-12-13,Omicron,366,13.07,2800
3379,Australia,2021-12-27,Omicron,1319,76.42,1726
3403,Austria,2020-05-11,Omicron,0,0.0,34
3427,Austria,2020-05-25,Omicron,0,0.0,41
3451,Austria,2020-06-08,Omicron,0,0.0,1
3475,Austria,2020-06-22,Omicron,0,0.0,1
3499,Austria,2020-07-06,Omicron,0,0.0,2
3523,Austria,2020-07-20,Omicron,0,0.0,11
3547,Austria,2020-08-03,Omicron,0,0.0,9
3571,Austria,2020-08-17,Omicron,0,0.0,22
3595,Austria,2020-08-31,Omicron,0,0.0,44
3619,Austria,2020-09-14,Omicron,0,0.0,35
3643,Austria,2020-09-28,Omicron,0,0.0,39
3667,Austria,2020-10-12,Omicron,0,0.0,30
3691,Austria,2020-10-26,Omicron,0,0.0,84
3715,Austria,2020-11-09,Omicron,0,0.0,181
3739,Austria,2020-11-23,Omicron,0,0.0,159
3763,Austria,2020-12-07,Omicron,0,0.0,137
3787,Austria,2020-12-21,Omicron,0,0.0,45
3811,Austria,2021-01-04,Omicron,0,0.0,315
3835,Austria,2021-01-11,Omicron,0,0.0,136
3859,Austria,2021-01-25,Omicron,0,0.0,250
3883,Austria,2021-02-08,Omicron,0,0.0,385
3907,Austria,2021-02-22,Omicron,0,0.0,415
3931,Austria,2021-03-08,Omicron,0,0.0,464
3955,Austria,2021-03-22,Omicron,0,0.0,567
3979,Austria,2021-04-05,Omicron,0,0.0,291
4003,Austria,2021-04-19,Omicron,0,0.0,353
4027,Austria,2021-05-03,Omicron,0,0.0,329
4051,Austria,2021-05-17,Omicron,0,0.0,619
4075,Austria,2021-05-31,Omicron,0,0.0,389
4099,Austria,2021-06-14,Omicron,0,0.0,398
4123,Austria,2021-06-28,Omicron,0,0.0,750
4147,Austria,2021-07-12,Omicron,0,0.0,505
4171,Austria,2021-07-26,Omicron,0,0.0,771
4195,Austria,2021-08-09,Omicron,0,0.0,623
4219,Austria,2021-08-23,Omicron,0,0.0,623
4243,Austria,2021-09-06,Omicron,0,0.0,585
4267,Austria,2021-09-20,Omicron,0,0.0,513
4291,Austria,2021-10-04,Omicron,0,0.0,444
4315,Austria,2021-10-18,Omicron,0,0.0,437
4339,Austria,2021-11-01,Omicron,0,0.0,634
4363,Austria,2021-11-15,Omicron,0,0.0,561
4387,Austria,2021-11-29,Omicron,7,4.24,165
4411,Austria,2021-12-13,Omicron,27,14.75,183
4435,Bahrain,2020-06-08,Omicron,0,0.0,1
4459,Bahrain,2020-06-22,Omicron,0,0.0,2
4483,Bahrain,2020-07-06,Omicron,0,0.0,11
4507,Bahrain,2020-08-03,Omicron,0,0.0,3
4531,Bahrain,2020-08-31,Omicron,0,0.0,3
4555,Bahrain,2020-09-14,Omicron,0,0.0,2
4579,Bahrain,2020-09-28,Omicron,0,0.0,2
4603,Bahrain,2020-10-12,Omicron,0,0.0,10
4627,Bahrain,2020-10-26,Omicron,0,0.0,45
4651,Bahrain,2020-11-09,Omicron,0,0.0,6
4675,Bahrain,2020-11-23,Omicron,0,0.0,38
4699,Bahrain,2021-02-08,Omicron,0,0.0,1
4723,Bahrain,2021-02-22,Omicron,0,0.0,2
4747,Bahrain,2021-03-22,Omicron,0,0.0,7
4771,Bahrain,2021-04-05,Omicron,0,0.0,2
4795,Bahrain,2021-04-19,Omicron,0,0.0,42
4819,Bahrain,2021-05-03,Omicron,0,0.0,9
4843,Bahrain,2021-05-17,Omicron,0,0.0,57
4867,Bahrain,2021-05-31,Omicron,0,0.0,46
4891,Bahrain,2021-06-14,Omicron,0,0.0,24
4915,Bahrain,2021-06-28,Omicron,0,0.0,84
4939,Bahrain,2021-07-12,Omicron,0,0.0,69
4963,Bahrain,2021-07-26,Omicron,0,0.0,106
4987,Bahrain,2021-08-09,Omicron,0,0.0,48
5011,Bahrain,2021-09-06,Omicron,0,0.0,227
5035,Bahrain,2021-10-04,Omicron,0,0.0,186
5059,Bahrain,2021-10-18,Omicron,0,0.0,372
5083,Bahrain,2021-11-01,Omicron,0,0.0,467
5107,Bahrain,2021-11-15,Omicron,0,0.0,370
5131,Bangladesh,2020-05-11,Omicron,0,0.0,124
5155,Bangladesh,2020-05-25,Omicron,0,0.0,168
5179,Bangladesh,2020-06-08,Omicron,0,0.0,69
5203,Bangladesh,2020-06-22,Omicron,0,0.0,111
5227,Bangladesh,2020-07-06,Omicron,0,0.0,175
5251,Bangladesh,2020-07-20,Omicron,0,0.0,139
5275,Bangladesh,2020-08-03,Omicron,0,0.0,66
5299,Bangladesh,2020-08-17,Omicron,0,0.0,26
5323,Bangladesh,2020-08-31,Omicron,0,0.0,25
5347,Bangladesh,2020-09-14,Omicron,0,0.0,35
5371,Bangladesh,2020-09-28,Omicron,0,0.0,8
5395,Bangladesh,2020-10-12,Omicron,0,0.0,20
5419,Bangladesh,2020-10-26,Omicron,0,0.0,15
5443,Bangladesh,2020-11-09,Omicron,0,0.0,27
5467,Bangladesh,2020-11-23,Omicron,0,0.0,30
5491,Bangladesh,2020-12-07,Omicron,0,0.0,57
5515,Bangladesh,2020-12-21,Omicron,0,0.0,25
5539,Bangladesh,2021-01-04,Omicron,0,0.0,53
5563,Bangladesh,2021-01-11,Omicron,0,0.0,15
5587,Bangladesh,2021-01-25,Omicron,0,0.0,62
5611,Bangladesh,2021-02-08,Omicron,0,0.0,42
5635,Bangladesh,2021-02-22,Omicron,0,0.0,36
5659,Bangladesh,2021-03-08,Omicron,0,0.0,14
5683,Bangladesh,2021-03-22,Omicron,0,0.0,156
5707,Bangladesh,2021-04-05,Omicron,0,0.0,87
5731,Bangladesh,2021-04-19,Omicron,0,0.0,131
5755,Bangladesh,2021-05-03,Omicron,0,0.0,56
5779,Bangladesh,2021-05-17,Omicron,0,0.0,58
5803,Bangladesh,2021-05-31,Omicron,0,0.0,99
5827,Bangladesh,2021-06-14,Omicron,0,0.0,69
5851,Bangladesh,2021-06-28,Omicron,0,0.0,112
5875,Bangladesh,2021-07-12,Omicron,0,0.0,244
5899,Bangladesh,2021-07-26,Omicron,0,0.0,174
5923,Bangladesh,2021-08-09,Omicron,0,0.0,149
5947,Bangladesh,2021-08-23,Omicron,0,0.0,140
5971,Bangladesh,2021-09-06,Omicron,0,0.0,131
5995,Bangladesh,2021-09-20,Omicron,0,0.0,126
6019,Bangladesh,2021-10-04,Omicron,0,0.0,94
6043,Bangladesh,2021-10-18,Omicron,0,0.0,136
6067,Bangladesh,2021-11-01,Omicron,0,0.0,94
6091,Bangladesh,2021-11-15,Omicron,0,0.0,118
6115,Bangladesh,2021-11-29,Omicron,0,0.0,112
6139,Bangladesh,2021-12-13,Omicron,3,6.67,45
6163,Bangladesh,2021-12-27,Omicron,4,16.67,24
6187,Bangladesh,2022-01-05,Omicron,3,100.0,3
6211,Belgium,2020-05-11,Omicron,0,0.0,134
6235,Belgium,2020-05-25,Omicron,0,0.0,67
6259,Belgium,2020-06-08,Omicron,0,0.0,15
6283,Belgium,2020-06-22,Omicron,0,0.0,38
6307,Belgium,2020-07-06,Omicron,0,0.0,39
6331,Belgium,2020-07-20,Omicron,0,0.0,39
6355,Belgium,2020-08-03,Omicron,0,0.0,146
6379,Belgium,2020-08-17,Omicron,0,0.0,130
6403,Belgium,2020-08-31,Omicron,0,0.0,54
6427,Belgium,2020-09-14,Omicron,0,0.0,87
6451,Belgium,2020-09-28,Omicron,0,0.0,246
6475,Belgium,2020-10-12,Omicron,0,0.0,130
6499,Belgium,2020-10-26,Omicron,0,0.0,363
6523,Belgium,2020-11-09,Omicron,0,0.0,204
6547,Belgium,2020-11-23,Omicron,0,0.0,241
6571,Belgium,2020-12-07,Omicron,0,0.0,148
6595,Belgium,2020-12-21,Omicron,0,0.0,347
6619,Belgium,2021-01-04,Omicron,0,0.0,242
6643,Belgium,2021-01-11,Omicron,0,0.0,293
6667,Belgium,2021-01-25,Omicron,0,0.0,1378
6691,Belgium,2021-02-08,Omicron,0,0.0,1820
6715,Belgium,2021-02-22,Omicron,0,0.0,1808
6739,Belgium,2021-03-08,Omicron,0,0.0,2237
6763,Belgium,2021-03-22,Omicron,0,0.0,2935
6787,Belgium,2021-04-05,Omicron,0,0.0,3438
6811,Belgium,2021-04-19,Omicron,0,0.0,2911
6835,Belgium,2021-05-03,Omicron,0,0.0,3338
6859,Belgium,2021-05-17,Omicron,0,0.0,3108
6883,Belgium,2021-05-31,Omicron,0,0.0,2952
6907,Belgium,2021-06-14,Omicron,0,0.0,1995
6931,Belgium,2021-06-28,Omicron,0,0.0,1181
6955,Belgium,2021-07-12,Omicron,0,0.0,2640
6979,Belgium,2021-07-26,Omicron,0,0.0,3960
7003,Belgium,2021-08-09,Omicron,0,0.0,4006
7027,Belgium,2021-08-23,Omicron,0,0.0,4534
7051,Belgium,2021-09-06,Omicron,0,0.0,4495
7075,Belgium,2021-09-20,Omicron,0,0.0,3113
7099,Belgium,2021-10-04,Omicron,0,0.0,2926
7123,Belgium,2021-10-18,Omicron,0,0.0,3315
7147,Belgium,2021-11-01,Omicron,0,0.0,3530
7171,Belgium,2021-11-15,Omicron,0,0.0,2729
7195,Belgium,2021-11-29,Omicron,5,0.16,3076
7219,Belgium,2021-12-13,Omicron,290,9.39,3087
7243,Belgium,2021-12-27,Omicron,464,31.08,1493
7267,Belgium,2022-01-05,Omicron,30,50.85,59
7291,Belize,2020-08-17,Omicron,0,0.0,4
7315,Belize,2020-08-31,Omicron,0,0.0,1
7339,Belize,2020-09-28,Omicron,0,0.0,2
7363,Belize,2020-10-12,Omicron,0,0.0,4
7387,Belize,2020-10-26,Omicron,0,0.0,6
7411,Belize,2020-11-09,Omicron,0,0.0,1
7435,Belize,2020-12-21,Omicron,0,0.0,7
7459,Belize,2021-01-04,Omicron,0,0.0,14
7483,Belize,2021-01-11,Omicron,0,0.0,7
7507,Belize,2021-01-25,Omicron,0,0.0,16
7531,Belize,2021-02-08,Omicron,0,0.0,26
7555,Belize,2021-02-22,Omicron,0,0.0,11
7579,Belize,2021-03-08,Omicron,0,0.0,3
7603,Belize,2021-03-22,Omicron,0,0.0,2
7627,Belize,2021-04-19,Omicron,0,0.0,3
7651,Belize,2021-05-03,Omicron,0,0.0,1
7675,Belize,2021-05-17,Omicron,0,0.0,15
7699,Belize,2021-05-31,Omicron,0,0.0,3
7723,Belize,2021-06-14,Omicron,0,0.0,1
7747,Belize,2021-06-28,Omicron,0,0.0,32
7771,Belize,2021-07-12,Omicron,0,0.0,18
7795,Belize,2021-07-26,Omicron,0,0.0,58
7819,Belize,2021-08-09,Omicron,0,0.0,63
7843,Belize,2021-08-23,Omicron,0,0.0,16
7867,Benin,2021-02-08,Omicron,0,0.0,109
7891,Benin,2021-03-08,Omicron,0,0.0,121
7915,Benin,2021-04-05,Omicron,0,0.0,176
7939,Benin,2021-04-19,Omicron,0,0.0,8
7963,Benin,2021-05-03,Omicron,0,0.0,25
7987,Benin,2021-05-17,Omicron,0,0.0,32
8011,Benin,2021-05-31,Omicron,0,0.0,27
8035,Benin,2021-06-14,Omicron,0,0.0,9
8059,Benin,2021-06-28,Omicron,0,0.0,14
8083,Benin,2021-07-12,Omicron,0,0.0,28
8107,Benin,2021-07-26,Omicron,0,0.0,36
8131,Benin,2021-08-09,Omicron,0,0.0,34
8155,Benin,2021-08-23,Omicron,0,0.0,74
8179,Benin,2021-09-06,Omicron,0,0.0,57
8203,Bosnia and Herzegovina,2020-05-11,Omicron,0,0.0,1
8227,Bosnia and Herzegovina,2020-06-08,Omicron,0,0.0,2
8251,Bosnia and Herzegovina,2020-07-20,Omicron,0,0.0,1
8275,Bosnia and Herzegovina,2020-08-31,Omicron,0,0.0,1
8299,Bosnia and Herzegovina,2020-09-14,Omicron,0,0.0,1
8323,Bosnia and Herzegovina,2020-09-28,Omicron,0,0.0,1
8347,Bosnia and Herzegovina,2020-10-12,Omicron,0,0.0,1
8371,Bosnia and Herzegovina,2020-11-09,Omicron,0,0.0,2
8395,Bosnia and Herzegovina,2020-11-23,Omicron,0,0.0,2
8419,Bosnia and Herzegovina,2020-12-07,Omicron,0,0.0,3
8443,Bosnia and Herzegovina,2020-12-21,Omicron,0,0.0,1
8467,Bosnia and Herzegovina,2021-01-04,Omicron,0,0.0,2
8491,Bosnia and Herzegovina,2021-01-11,Omicron,0,0.0,5
8515,Bosnia and Herzegovina,2021-01-25,Omicron,0,0.0,12
8539,Bosnia and Herzegovina,2021-02-08,Omicron,0,0.0,5
