,location,date,variant,num_sequences,perc_sequences,num_sequences_total
20,Angola,2020-07-06,S:677H.Robin1,0,0.0,3
44,Angola,2020-08-31,S:677H.Robin1,0,0.0,1
68,Angola,2020-09-28,S:677H.Robin1,0,0.0,10
92,Angola,2020-10-12,S:677H.Robin1,0,0.0,29
116,Angola,2020-10-26,S:677H.Robin1,0,0.0,7
140,Angola,2020-12-07,S:677H.Robin1,0,0.0,6
164,Angola,2020-12-21,S:677H.Robin1,0,0.0,93
188,Angola,2021-01-04,S:677H.Robin1,0,0.0,5
212,Angola,2021-01-11,S:677H.Robin1,0,0.0,16
236,Angola,2021-01-25,S:677H.Robin1,0,0.0,52
260,Angola,2021-02-08,S:677H.Robin1,0,0.0,42
284,Angola,2021-02-22,S:677H.Robin1,0,0.0,39
308,Angola,2021-03-08,S:677H.Robin1,0,0.0,113
332,Angola,2021-03-22,S:677H.Robin1,0,0.0,121
356,Angola,2021-04-05,S:677H.Robin1,0,0.0,137
380,Angola,2021-04-19,S:677H.Robin1,0,0.0,83
404,Angola,2021-05-03,S:677H.Robin1,0,0.0,34
428,Angola,2021-05-17,S:677H.Robin1,0,0.0,5
452,Angola,2021-05-31,S:677H.Robin1,0,0.0,7
476,Angola,2021-06-14,S:677H.Robin1,0,0.0,22
500,Angola,2021-06-28,S:677H.Robin1,0,0.0,59
524,Angola,2021-07-12,S:677H.Robin1,0,0.0,46
548,Angola,2021-07-26,S:677H.Robin1,0,0.0,10
572,Angola,2021-08-09,S:677H.Robin1,0,0.0,4
596,Angola,2021-08-23,S:677H.Robin1,0,0.0,1
620,Angola,2021-09-06,S:677H.Robin1,0,0.0,20
644,Angola,2021-09-20,S:677H.Robin1,0,0.0,57
668,Angola,2021-10-04,S:677H.Robin1,0,0.0,33
692,Argentina,2020-05-11,S:677H.Robin1,0,0.0,151
716,Argentina,2020-05-25,S:677H.Robin1,0,0.0,167
740,Argentina,2020-06-08,S:677H.Robin1,0,0.0,67
764,Argentina,2020-06-22,S:677H.Robin1,0,0.0,79
788,Argentina,2020-07-06,S:677H.Robin1,0,0.0,63
812,Argentina,2020-07-20,S:677H.Robin1,0,0.0,113
836,Argentina,2020-08-03,S:677H.Robin1,0,0.0,103
860,Argentina,2020-08-17,S:677H.Robin1,0,0.0,113
884,Argentina,2020-08-31,S:677H.Robin1,0,0.0,138
908,Argentina,2020-09-14,S:677H.Robin1,0,0.0,50
932,Argentina,2020-09-28,S:677H.Robin1,0,0.0,56
956,Argentina,2020-10-12,S:677H.Robin1,0,0.0,39
980,Argentina,2020-10-26,S:677H.Robin1,0,0.0,102
1004,Argentina,2020-11-09,S:677H.Robin1,0,0.0,58
1028,Argentina,2020-11-23,S:677H.Robin1,0,0.0,63
1052,Argentina,2020-12-07,S:677H.Robin1,0,0.0,49
1076,Argentina,2020-12-21,S:677H.Robin1,0,0.0,71
1100,Argentina,2021-01-04,S:677H.Robin1,0,0.0,49
1124,Argentina,2021-01-11,S:677H.Robin1,0,0.0,33
1148,Argentina,2021-01-25,S:677H.Robin1,0,0.0,62
1172,Argentina,2021-02-08,S:677H.Robin1,0,0.0,69
1196,Argentina,2021-02-22,S:677H.Robin1,0,0.0,57
1220,Argentina,2021-03-08,S:677H.Robin1,0,0.0,65
1244,Argentina,2021-03-22,S:677H.Robin1,0,0.0,177
1268,Argentina,2021-04-05,S:677H.Robin1,0,0.0,196
1292,Argentina,2021-04-19,S:677H.Robin1,0,0.0,298
1316,Argentina,2021-05-03,S:677H.Robin1,0,0.0,337
1340,Argentina,2021-05-17,S:677H.Robin1,0,0.0,338
1364,Argentina,2021-05-31,S:677H.Robin1,0,0.0,301
1388,Argentina,2021-06-14,S:677H.Robin1,0,0.0,407
1412,Argentina,2021-06-28,S:677H.Robin1,0,0.0,380
1436,Argentina,2021-07-12,S:677H.Robin1,0,0.0,356
1460,Argentina,2021-07-26,S:677H.Robin1,0,0.0,336
1484,Argentina,2021-08-09,S:677H.Robin1,0,0.0,480
1508,Argentina,2021-08-23,S:677H.Robin1,0,0.0,447
1532,Argentina,2021-09-06,S:677H.Robin1,0,0.0,447
1556,Argentina,2021-09-20,S:677H.Robin1,0,0.0,313
1580,Argentina,2021-10-04,S:677H.Robin1,0,0.0,237
1604,Argentina,2021-10-18,S:677H.Robin1,0,0.0,361
1628,Argentina,2021-11-01,S:677H.Robin1,0,0.0,553
1652,Argentina,2021-11-15,S:677H.Robin1,0,0.0,332
1676,Argentina,2021-11-29,S:677H.Robin1,0,0.0,117
1700,Argentina,2021-12-13,S:677H.Robin1,0,0.0,87
1724,Argentina,2021-12-27,S:677H.Robin1,0,0.0,94
1748,Aruba,2020-08-17,S:677H.Robin1,0,0.0,4
1772,Aruba,2020-08-31,S:677H.Robin1,0,0.0,1
1796,Aruba,2021-01-25,S:677H.Robin1,0,0.0,26
1820,Aruba,2021-02-08,S:677H.Robin1,0,0.0,114
1844,Aruba,2021-02-22,S:677H.Robin1,2,1.3,154
1868,Aruba,2021-03-08,S:677H.Robin1,0,0.0,125
1892,Aruba,2021-03-22,S:677H.Robin1,0,0.0,99
1916,Aruba,2021-04-05,S:677H.Robin1,0,0.0,92
1940,Aruba,2021-04-19,S:677H.Robin1,0,0.0,145
1964,Aruba,2021-05-03,S:677H.Robin1,0,0.0,140
1988,Aruba,2021-05-17,S:677H.Robin1,0,0.0,101
2012,Aruba,2021-05-31,S:677H.Robin1,0,0.0,107
2036,Aruba,2021-06-14,S:677H.Robin1,0,0.0,89
2060,Aruba,2021-06-28,S:677H.Robin1,0,0.0,24
2084,Aruba,2021-07-12,S:677H.Robin1,0,0.0,29
2108,Aruba,2021-07-26,S:677H.Robin1,0,0.0,97
2132,Aruba,2021-08-09,S:677H.Robin1,0,0.0,341
2156,Aruba,2021-08-23,S:677H.Robin1,0,0.0,525
2180,Aruba,2021-09-06,S:677H.Robin1,0,0.0,261
2204,Aruba,2021-09-20,S:677H.Robin1,0,0.0,140
2228,Aruba,2021-10-04,S:677H.Robin1,0,0.0,177
2252,Aruba,2021-10-18,S:677H.Robin1,0,0.0,37
2276,Aruba,2021-11-15,S:677H.Robin1,0,0.0,68
2300,Aruba,2021-11-29,S:677H.Robin1,0,0.0,43
2324,Aruba,2021-12-13,S:677H.Robin1,0,0.0,61
2348,Australia,2020-05-11,S:677H.Robin1,0,0.0,148
2372,Australia,2020-05-25,S:677H.Robin1,0,0.0,103
2396,Australia,2020-06-08,S:677H.Robin1,0,0.0,94
2420,Australia,2020-06-22,S:677H.Robin1,0,0.0,172
2444,Australia,2020-07-06,S:677H.Robin1,0,0.0,814
2468,Australia,2020-07-20,S:677H.Robin1,0,0.0,2733
2492,Australia,2020-08-03,S:677H.Robin1,0,0.0,4183
2516,Australia,2020-08-17,S:677H.Robin1,0,0.0,3020
2540,Australia,2020-08-31,S:677H.Robin1,0,0.0,1987
2564,Australia,2020-09-14,S:677H.Robin1,0,0.0,770
2588,Australia,2020-09-28,S:677H.Robin1,0,0.0,323
2612,Australia,2020-10-12,S:677H.Robin1,0,0.0,182
2636,Australia,2020-10-26,S:677H.Robin1,0,0.0,132
2660,Australia,2020-11-09,S:677H.Robin1,0,0.0,63
2684,Australia,2020-11-23,S:677H.Robin1,0,0.0,64
2708,Australia,2020-12-07,S:677H.Robin1,0,0.0,49
2732,Australia,2020-12-21,S:677H.Robin1,1,0.7,142
2756,Australia,2021-01-04,S:677H.Robin1,1,0.48,208
2780,Australia,2021-01-11,S:677H.Robin1,0,0.0,74
2804,Australia,2021-01-25,S:677H.Robin1,0,0.0,100
2828,Australia,2021-02-08,S:677H.Robin1,0,0.0,53
2852,Australia,2021-02-22,S:677H.Robin1,0,0.0,80
2876,Australia,2021-03-08,S:677H.Robin1,0,0.0,71
2900,Australia,2021-03-22,S:677H.Robin1,0,0.0,122
2924,Australia,2021-04-05,S:677H.Robin1,0,0.0,123
2948,Australia,2021-04-19,S:677H.Robin1,0,0.0,157
2972,Australia,2021-05-03,S:677H.Robin1,0,0.0,204
2996,Australia,2021-05-17,S:677H.Robin1,0,0.0,117
3020,Australia,2021-05-31,S:677H.Robin1,0,0.0,108
3044,Australia,2021-06-14,S:677H.Robin1,0,0.0,132
3068,Australia,2021-06-28,S:677H.Robin1,0,0.0,247
3092,Australia,2021-07-12,S:677H.Robin1,0,0.0,767
3116,Australia,2021-07-26,S:677H.Robin1,0,0.0,1742
3140,Australia,2021-08-09,S:677H.Robin1,0,0.0,2734
3164,Australia,2021-08-23,S:677H.Robin1,0,0.0,3198
3188,Australia,2021-09-06,S:677H.Robin1,0,0.0,3744
3212,Australia,2021-09-20,S:677H.Robin1,0,0.0,3526
3236,Australia,2021-10-04,S:677H.Robin1,0,0.0,1824
3260,Australia,2021-10-18,S:677H.Robin1,0,0.0,2410
3284,Australia,2021-11-01,S:677H.Robin1,0,0.0,1883
3308,Australia,2021-11-15,S:677H.Robin1,0,0.0,2078
3332,Australia,2021-11-29,S:677H.Robin1,0,0.0,1992
3356,Australia,2021-12-13,S:677H.Robin1,0,0.0,2800
3380,Australia,2021-12-27,S:677H.Robin1,0,0.0,1726
3404,Austria,2020-05-11,S:677H.Robin1,0,0.0,34
3428,Austria,2020-05-25,S:677H.Robin1,0,0.0,41
3452,Austria,2020-06-08,S:677H.Robin1,0,0.0,1
3476,Austria,2020-06-22,S:677H.Robin1,0,0.0,1
3500,Austria,2020-07-06,S:677H.Robin1,0,0.0,2
3524,Austria,2020-07-20,S:677H.Robin1,0,0.0,11
3548,Austria,2020-08-03,S:677H.Robin1,0,0.0,9
3572,Austria,2020-08-17,S:677H.Robin1,0,0.0,22
3596,Austria,2020-08-31,S:677H.Robin1,0,0.0,44
3620,Austria,2020-09-14,S:677H.Robin1,0,0.0,35
3644,Austria,2020-09-28,S:677H.Robin1,0,0.0,39
3668,Austria,2020-10-12,S:677H.Robin1,0,0.0,30
3692,Austria,2020-10-26,S:677H.Robin1,0,0.0,84
3716,Austria,2020-11-09,S:677H.Robin1,0,0.0,181
3740,Austria,2020-11-23,S:677H.Robin1,0,0.0,159
3764,Austria,2020-12-07,S:677H.Robin1,0,0.0,137
3788,Austria,2020-12-21,S:677H.Robin1,0,0.0,45
3812,Austria,2021-01-04,S:677H.Robin1,0,0.0,315
3836,Austria,2021-01-11,S:677H.Robin1,0,0.0,136
3860,Austria,2021-01-25,S:677H.Robin1,0,0.0,250
3884,Austria,2021-02-08,S:677H.Robin1,0,0.0,385
3908,Austria,2021-02-22,S:677H.Robin1,0,0.0,415
3932,Austria,2021-03-08,S:677H.Robin1,0,0.0,464
3956,Austria,2021-03-22,S:677H.Robin1,0,0.0,567
3980,Austria,2021-04-05,S:677H.Robin1,0,0.0,291
