,location,date,variant,num_sequences,perc_sequences,num_sequences_total
21,Angola,2020-07-06,S:677P.Pelican,0,0.0,3
45,Angola,2020-08-31,S:677P.Pelican,0,0.0,1
69,Angola,2020-09-28,S:677P.Pelican,0,0.0,10
93,Angola,2020-10-12,S:677P.Pelican,0,0.0,29
117,Angola,2020-10-26,S:677P.Pelican,0,0.0,7
141,Angola,2020-12-07,S:677P.Pelican,0,0.0,6
165,Angola,2020-12-21,S:677P.Pelican,0,0.0,93
189,Angola,2021-01-04,S:677P.Pelican,0,0.0,5
213,Angola,2021-01-11,S:677P.Pelican,0,0.0,16
237,Angola,2021-01-25,S:677P.Pelican,0,0.0,52
261,Angola,2021-02-08,S:677P.Pelican,0,0.0,42
285,Angola,2021-02-22,S:677P.Pelican,0,0.0,39
309,Angola,2021-03-08,S:677P.Pelican,0,0.0,113
333,Angola,2021-03-22,S:677P.Pelican,0,0.0,121
357,Angola,2021-04-05,S:677P.Pelican,0,0.0,137
381,Angola,2021-04-19,S:677P.Pelican,0,0.0,83
405,Angola,2021-05-03,S:677P.Pelican,0,0.0,34
429,Angola,2021-05-17,S:677P.Pelican,0,0.0,5
453,Angola,2021-05-31,S:677P.Pelican,0,0.0,7
477,Angola,2021-06-14,S:677P.Pelican,0,0.0,22
501,Angola,2021-06-28,S:677P.Pelican,0,0.0,59
525,Angola,2021-07-12,S:677P.Pelican,0,0.0,46
549,Angola,2021-07-26,S:677P.Pelican,0,0.0,10
573,Angola,2021-08-09,S:677P.Pelican,0,0.0,4
597,Angola,2021-08-23,S:677P.Pelican,0,0.0,1
621,Angola,2021-09-06,S:677P.Pelican,0,0.0,20
645,Angola,2021-09-20,S:677P.Pelican,0,0.0,57
669,Angola,2021-10-04,S:677P.Pelican,0,0.0,33
693,Argentina,2020-05-11,S:677P.Pelican,0,0.0,151
717,Argentina,2020-05-25,S:677P.Pelican,0,0.0,167
741,Argentina,2020-06-08,S:677P.Pelican,0,0.0,67
765,Argentina,2020-06-22,S:677P.Pelican,0,0.0,79
789,Argentina,2020-07-06,S:677P.Pelican,0,0.0,63
813,Argentina,2020-07-20,S:677P.Pelican,0,0.0,113
837,Argentina,2020-08-03,S:677P.Pelican,0,0.0,103
861,Argentina,2020-08-17,S:677P.Pelican,0,0.0,113
885,Argentina,2020-08-31,S:677P.Pelican,0,0.0,138
909,Argentina,2020-09-14,S:677P.Pelican,0,0.0,50
