,location,date,variant,num_sequences,perc_sequences,num_sequences_total
23,Angola,2020-07-06,non_who,3,100.0,3
47,Angola,2020-08-31,non_who,0,0.0,1
71,Angola,2020-09-28,non_who,1,10.0,10
95,Angola,2020-10-12,non_who,5,17.24,29
119,Angola,2020-10-26,non_who,0,0.0,7
143,Angola,2020-12-07,non_who,0,0.0,6
167,Angola,2020-12-21,non_who,23,24.73,93
191,Angola,2021-01-04,non_who,5,100.0,5
215,Angola,2021-01-11,non_who,15,93.75,16
239,Angola,2021-01-25,non_who,47,90.38,52
263,Angola,2021-02-08,non_who,26,61.91,42
287,Angola,2021-02-22,non_who,22,56.41,39
311,Angola,2021-03-08,non_who,37,32.75,113
335,Angola,2021-03-22,non_who,20,16.52,121
359,Angola,2021-04-05,non_who,30,21.89,137
383,Angola,2021-04-19,non_who,26,31.33,83
407,Angola,2021-05-03,non_who,5,14.71,34
431,Angola,2021-05-17,non_who,1,20.0,5
455,Angola,2021-05-31,non_who,0,0.0,7
479,Angola,2021-06-14,non_who,0,0.0,22
503,Angola,2021-06-28,non_who,1,1.69,59
527,Angola,2021-07-12,non_who,2,4.34,46
551,Angola,2021-07-26,non_who,1,10.0,10
575,Angola,2021-08-09,non_who,0,0.0,4
599,Angola,2021-08-23,non_who,0,0.0,1
623,Angola,2021-09-06,non_who,0,0.0,20
647,Angola,2021-09-20,non_who,0,0.0,57
671,Angola,2021-10-04,non_who,0,0.0,33
695,Argentina,2020-05-11,non_who,151,100.0,151
719,Argentina,2020-05-25,non_who,167,100.0,167
743,Argentina,2020-06-08,non_who,67,100.0,67
767,Argentina,2020-06-22,non_who,79,100.0,79
791,Argentina,2020-07-06,non_who,63,100.0,63
815,Argentina,2020-07-20,non_who,113,100.0,113
839,Argentina,2020-08-03,non_who,103,100.0,103
863,Argentina,2020-08-17,non_who,113,100.0,113
887,Argentina,2020-08-31,non_who,138,100.0,138
911,Argentina,2020-09-14,non_who,50,100.0,50
935,Argentina,2020-09-28,non_who,56,100.0,56
959,Argentina,2020-10-12,non_who,39,100.0,39
983,Argentina,2020-10-26,non_who,102,100.0,102
1007,Argentina,2020-11-09,non_who,57,98.28,58
1031,Argentina,2020-11-23,non_who,62,98.41,63
1055,Argentina,2020-12-07,non_who,49,100.0,49
1079,Argentina,2020-12-21,non_who,71,100.0,71
1103,Argentina,2021-01-04,non_who,48,97.96,49
1127,Argentina,2021-01-11,non_who,32,96.97,33
1151,Argentina,2021-01-25,non_who,60,96.78,62
1175,Argentina,2021-02-08,non_who,57,82.6,69
1199,Argentina,2021-02-22,non_who,51,89.48,57
1223,Argentina,2021-03-08,non_who,47,72.3,65
1247,Argentina,2021-03-22,non_who,120,67.8,177
1271,Argentina,2021-04-05,non_who,84,42.85,196
1295,Argentina,2021-04-19,non_who,127,42.62,298
1319,Argentina,2021-05-03,non_who,78,23.13,337
1343,Argentina,2021-05-17,non_who,45,13.31,338
1367,Argentina,2021-05-31,non_who,13,4.31,301
1391,Argentina,2021-06-14,non_who,11,2.7,407
1415,Argentina,2021-06-28,non_who,7,1.84,380
1439,Argentina,2021-07-12,non_who,1,0.28,356
1463,Argentina,2021-07-26,non_who,4,1.18,336
1487,Argentina,2021-08-09,non_who,3,0.62,480
1511,Argentina,2021-08-23,non_who,0,0.0,447
1535,Argentina,2021-09-06,non_who,2,0.46,447
1559,Argentina,2021-09-20,non_who,1,0.31,313
1583,Argentina,2021-10-04,non_who,2,0.85,237
1607,Argentina,2021-10-18,non_who,1,0.29,361
1631,Argentina,2021-11-01,non_who,1,0.18,553
1655,Argentina,2021-11-15,non_who,1,0.3,332
1679,Argentina,2021-11-29,non_who,0,0.0,117
1703,Argentina,2021-12-13,non_who,0,0.0,87
1727,Argentina,2021-12-27,non_who,2,2.12,94
1751,Aruba,2020-08-17,non_who,4,100.0,4
1775,Aruba,2020-08-31,non_who,1,100.0,1
1799,Aruba,2021-01-25,non_who,23,88.46,26
1823,Aruba,2021-02-08,non_who,102,89.48,114
1847,Aruba,2021-02-22,non_who,101,65.58,154
1871,Aruba,2021-03-08,non_who,36,28.8,125
1895,Aruba,2021-03-22,non_who,11,11.11,99
1919,Aruba,2021-04-05,non_who,3,3.27,92
1943,Aruba,2021-04-19,non_who,10,6.88,145
1967,Aruba,2021-05-03,non_who,8,5.72,140
1991,Aruba,2021-05-17,non_who,2,1.98,101
2015,Aruba,2021-05-31,non_who,1,0.94,107
2039,Aruba,2021-06-14,non_who,0,0.0,89
2063,Aruba,2021-06-28,non_who,0,-0.01,24
2087,Aruba,2021-07-12,non_who,0,0.0,29
2111,Aruba,2021-07-26,non_who,0,0.0,97
2135,Aruba,2021-08-09,non_who,0,0.0,341
2159,Aruba,2021-08-23,non_who,0,0.0,525
2183,Aruba,2021-09-06,non_who,0,0.0,261
2207,Aruba,2021-09-20,non_who,0,0.0,140
2231,Aruba,2021-10-04,non_who,0,0.0,177
2255,Aruba,2021-10-18,non_who,0,0.0,37
2279,Aruba,2021-11-15,non_who,0,0.0,68
2303,Aruba,2021-11-29,non_who,0,0.0,43
2327,Aruba,2021-12-13,non_who,0,0.0,61
2351,Australia,2020-05-11,non_who,148,100.0,148
2375,Australia,2020-05-25,non_who,103,100.0,103
2399,Australia,2020-06-08,non_who,94,100.0,94
2423,Australia,2020-06-22,non_who,172,100.0,172
2447,Australia,2020-07-06,non_who,814,100.0,814
2471,Australia,2020-07-20,non_who,2733,100.0,2733
2495,Australia,2020-08-03,non_who,4183,100.0,4183
2519,Australia,2020-08-17,non_who,3020,100.0,3020
2543,Australia,2020-08-31,non_who,1987,100.0,1987
2567,Australia,2020-09-14,non_who,770,100.0,770
2591,Australia,2020-09-28,non_who,323,100.0,323
2615,Australia,2020-10-12,non_who,182,100.0,182
2639,Australia,2020-10-26,non_who,132,100.0,132
2663,Australia,2020-11-09,non_who,63,100.0,63
2687,Australia,2020-11-23,non_who,64,100.0,64
2711,Australia,2020-12-07,non_who,48,97.96,49
2735,Australia,2020-12-21,non_who,130,91.54,142
2759,Australia,2021-01-04,non_who,178,85.58,208
2783,Australia,2021-01-11,non_who,43,58.1,74
2807,Australia,2021-01-25,non_who,47,47.0,100
2831,Australia,2021-02-08,non_who,26,49.06,53
2855,Australia,2021-02-22,non_who,10,12.5,80
2879,Australia,2021-03-08,non_who,30,42.25,71
2903,Australia,2021-03-22,non_who,48,39.34,122
2927,Australia,2021-04-05,non_who,39,31.7,123
2951,Australia,2021-04-19,non_who,8,5.09,157
2975,Australia,2021-05-03,non_who,29,14.22,204
2999,Australia,2021-05-17,non_who,14,11.98,117
3023,Australia,2021-05-31,non_who,6,5.55,108
3047,Australia,2021-06-14,non_who,9,6.81,132
3071,Australia,2021-06-28,non_who,7,2.84,247
3095,Australia,2021-07-12,non_who,4,0.52,767
3119,Australia,2021-07-26,non_who,0,0.0,1742
3143,Australia,2021-08-09,non_who,0,0.0,2734
3167,Australia,2021-08-23,non_who,0,0.0,3198
3191,Australia,2021-09-06,non_who,1,0.02,3744
3215,Australia,2021-09-20,non_who,0,0.0,3526
3239,Australia,2021-10-04,non_who,1,0.05,1824
3263,Australia,2021-10-18,non_who,0,0.0,2410
3287,Australia,2021-11-01,non_who,0,0.0,1883
3311,Australia,2021-11-15,non_who,0,0.0,2078
3335,Australia,2021-11-29,non_who,0,0.0,1992
3359,Australia,2021-12-13,non_who,2,0.07,2800
3383,Australia,2021-12-27,non_who,1,0.06,1726
3407,Austria,2020-05-11,non_who,34,100.0,34
3431,Austria,2020-05-25,non_who,41,100.0,41
3455,Austria,2020-06-08,non_who,1,100.0,1
3479,Austria,2020-06-22,non_who,1,100.0,1
3503,Austria,2020-07-06,non_who,2,100.0,2
3527,Austria,2020-07-20,non_who,11,100.0,11
3551,Austria,2020-08-03,non_who,9,100.0,9
3575,Austria,2020-08-17,non_who,22,100.0,22
3599,Austria,2020-08-31,non_who,44,100.0,44
3623,Austria,2020-09-14,non_who,35,100.0,35
3647,Austria,2020-09-28,non_who,39,100.0,39
3671,Austria,2020-10-12,non_who,30,100.0,30
3695,Austria,2020-10-26,non_who,84,100.0,84
3719,Austria,2020-11-09,non_who,181,100.0,181
3743,Austria,2020-11-23,non_who,159,100.0,159
3767,Austria,2020-12-07,non_who,135,98.54,137
3791,Austria,2020-12-21,non_who,45,100.0,45
3815,Austria,2021-01-04,non_who,299,94.92,315
3839,Austria,2021-01-11,non_who,88,64.71,136
3863,Austria,2021-01-25,non_who,67,26.8,250
3887,Austria,2021-02-08,non_who,218,56.62,385
3911,Austria,2021-02-22,non_who,162,39.04,415
3935,Austria,2021-03-08,non_who,101,21.77,464
3959,Austria,2021-03-22,non_who,68,11.99,567
3983,Austria,2021-04-05,non_who,16,5.51,291
4007,Austria,2021-04-19,non_who,28,7.93,353
4031,Austria,2021-05-03,non_who,28,8.51,329
4055,Austria,2021-05-17,non_who,36,5.82,619
4079,Austria,2021-05-31,non_who,22,5.65,389
4103,Austria,2021-06-14,non_who,22,5.53,398
4127,Austria,2021-06-28,non_who,15,2.0,750
4151,Austria,2021-07-12,non_who,2,0.39,505
4175,Austria,2021-07-26,non_who,0,0.0,771
4199,Austria,2021-08-09,non_who,0,0.0,623
4223,Austria,2021-08-23,non_who,2,0.32,623
4247,Austria,2021-09-06,non_who,0,0.0,585
4271,Austria,2021-09-20,non_who,0,0.0,513
4295,Austria,2021-10-04,non_who,0,0.0,444
4319,Austria,2021-10-18,non_who,0,0.0,437
4343,Austria,2021-11-01,non_who,0,0.0,634
4367,Austria,2021-11-15,non_who,0,0.0,561
4391,Austria,2021-11-29,non_who,0,0.0,165
4415,Austria,2021-12-13,non_who,0,0.0,183
4439,Bahrain,2020-06-08,non_who,1,100.0,1
4463,Bahrain,2020-06-22,non_who,2,100.0,2
4487,Bahrain,2020-07-06,non_who,11,100.0,11
4511,Bahrain,2020-08-03,non_who,3,100.0,3
