,location,date,variant,num_sequences,perc_sequences,num_sequences_total
22,Angola,2020-07-06,others,3,100.0,3
46,Angola,2020-08-31,others,0,0.0,1
70,Angola,2020-09-28,others,1,10.0,10
94,Angola,2020-10-12,others,5,17.24,29
118,Angola,2020-10-26,others,0,0.0,7
142,Angola,2020-12-07,others,0,0.0,6
166,Angola,2020-12-21,others,23,24.73,93
190,Angola,2021-01-04,others,5,100.0,5
214,Angola,2021-01-11,others,15,93.75,16
238,Angola,2021-01-25,others,43,82.69,52
262,Angola,2021-02-08,others,25,59.53,42
286,Angola,2021-02-22,others,20,51.29,39
310,Angola,2021-03-08,others,36,31.87,113
334,Angola,2021-03-22,others,20,16.52,121
358,Angola,2021-04-05,others,28,20.43,137
382,Angola,2021-04-19,others,26,31.33,83
406,Angola,2021-05-03,others,5,14.71,34
430,Angola,2021-05-17,others,1,20.0,5
454,Angola,2021-05-31,others,0,0.0,7
478,Angola,2021-06-14,others,0,0.0,22
502,Angola,2021-06-28,others,1,1.69,59
526,Angola,2021-07-12,others,2,4.34,46
550,Angola,2021-07-26,others,1,10.0,10
574,Angola,2021-08-09,others,0,0.0,4
598,Angola,2021-08-23,others,0,0.0,1
622,Angola,2021-09-06,others,0,0.0,20
646,Angola,2021-09-20,others,0,0.0,57
670,Angola,2021-10-04,others,0,0.0,33
694,Argentina,2020-05-11,others,151,100.0,151
718,Argentina,2020-05-25,others,167,100.0,167
742,Argentina,2020-06-08,others,67,100.0,67
766,Argentina,2020-06-22,others,79,100.0,79
790,Argentina,2020-07-06,others,63,100.0,63
814,Argentina,2020-07-20,others,113,100.0,113
838,Argentina,2020-08-03,others,103,100.0,103
862,Argentina,2020-08-17,others,113,100.0,113
886,Argentina,2020-08-31,others,138,100.0,138
910,Argentina,2020-09-14,others,50,100.0,50
934,Argentina,2020-09-28,others,56,100.0,56
958,Argentina,2020-10-12,others,39,100.0,39
982,Argentina,2020-10-26,others,102,100.0,102
1006,Argentina,2020-11-09,others,56,96.56,58
1030,Argentina,2020-11-23,others,59,93.65,63
1054,Argentina,2020-12-07,others,49,100.0,49
1078,Argentina,2020-12-21,others,71,100.0,71
1102,Argentina,2021-01-04,others,47,95.92,49
1126,Argentina,2021-01-11,others,32,96.97,33
1150,Argentina,2021-01-25,others,58,93.55,62
1174,Argentina,2021-02-08,others,49,71.01,69
1198,Argentina,2021-02-22,others,50,87.73,57
1222,Argentina,2021-03-08,others,44,67.68,65
1246,Argentina,2021-03-22,others,115,64.98,177
1270,Argentina,2021-04-05,others,81,41.32,196
1294,Argentina,2021-04-19,others,120,40.27,298
1318,Argentina,2021-05-03,others,71,21.05,337
1342,Argentina,2021-05-17,others,40,11.83,338
1366,Argentina,2021-05-31,others,12,3.98,301
1390,Argentina,2021-06-14,others,11,2.7,407
1414,Argentina,2021-06-28,others,7,1.84,380
1438,Argentina,2021-07-12,others,1,0.28,356
1462,Argentina,2021-07-26,others,4,1.18,336
1486,Argentina,2021-08-09,others,3,0.62,480
1510,Argentina,2021-08-23,others,0,0.0,447
1534,Argentina,2021-09-06,others,2,0.46,447
1558,Argentina,2021-09-20,others,1,0.31,313
1582,Argentina,2021-10-04,others,2,0.85,237
1606,Argentina,2021-10-18,others,1,0.29,361
1630,Argentina,2021-11-01,others,1,0.18,553
1654,Argentina,2021-11-15,others,1,0.3,332
1678,Argentina,2021-11-29,others,0,0.0,117
1702,Argentina,2021-12-13,others,0,0.0,87
1726,Argentina,2021-12-27,others,2,2.12,94
1750,Aruba,2020-08-17,others,4,100.0,4
1774,Aruba,2020-08-31,others,1,100.0,1
1798,Aruba,2021-01-25,others,20,76.92,26
1822,Aruba,2021-02-08,others,98,85.97,114
1846,Aruba,2021-02-22,others,88,57.13,154
1870,Aruba,2021-03-08,others,16,12.8,125
1894,Aruba,2021-03-22,others,5,5.05,99
1918,Aruba,2021-04-05,others,2,2.18,92
1942,Aruba,2021-04-19,others,9,6.19,145
1966,Aruba,2021-05-03,others,7,5.01,140
1990,Aruba,2021-05-17,others,2,1.98,101
2014,Aruba,2021-05-31,others,1,0.94,107
2038,Aruba,2021-06-14,others,0,0.0,89
2062,Aruba,2021-06-28,others,0,-0.01,24
2086,Aruba,2021-07-12,others,0,0.0,29
2110,Aruba,2021-07-26,others,0,0.0,97
2134,Aruba,2021-08-09,others,0,0.0,341
2158,Aruba,2021-08-23,others,0,0.0,525
2182,Aruba,2021-09-06,others,0,0.0,261
2206,Aruba,2021-09-20,others,0,0.0,140
2230,Aruba,2021-10-04,others,0,0.0,177
2254,Aruba,2021-10-18,others,0,0.0,37
2278,Aruba,2021-11-15,others,0,0.0,68
2302,Aruba,2021-11-29,others,0,0.0,43
2326,Aruba,2021-12-13,others,0,0.0,61
2350,Australia,2020-05-11,others,148,100.0,148
2374,Australia,2020-05-25,others,103,100.0,103
2398,Australia,2020-06-08,others,94,100.0,94
2422,Australia,2020-06-22,others,172,100.0,172
2446,Australia,2020-07-06,others,814,100.0,814
2470,Australia,2020-07-20,others,2733,100.0,2733
2494,Australia,2020-08-03,others,4183,100.0,4183
2518,Australia,2020-08-17,others,3020,100.0,3020
2542,Australia,2020-08-31,others,1985,99.9,1987
2566,Australia,2020-09-14,others,768,99.74,770
2590,Australia,2020-09-28,others,320,99.07,323
2614,Australia,2020-10-12,others,178,97.8,182
2638,Australia,2020-10-26,others,124,93.93,132
2662,Australia,2020-11-09,others,42,66.66,63
2686,Australia,2020-11-23,others,54,84.38,64
2710,Australia,2020-12-07,others,39,79.6,49
2734,Australia,2020-12-21,others,122,85.91,142
2758,Australia,2021-01-04,others,169,81.25,208
2782,Australia,2021-01-11,others,42,56.75,74
2806,Australia,2021-01-25,others,42,42.0,100
2830,Australia,2021-02-08,others,24,45.28,53
2854,Australia,2021-02-22,others,10,12.5,80
2878,Australia,2021-03-08,others,29,40.84,71
2902,Australia,2021-03-22,others,47,38.52,122
2926,Australia,2021-04-05,others,38,30.89,123
2950,Australia,2021-04-19,others,7,4.45,157
2974,Australia,2021-05-03,others,24,11.77,204
2998,Australia,2021-05-17,others,14,11.98,117
3022,Australia,2021-05-31,others,6,5.55,108
3046,Australia,2021-06-14,others,9,6.81,132
3070,Australia,2021-06-28,others,7,2.84,247
3094,Australia,2021-07-12,others,4,0.52,767
3118,Australia,2021-07-26,others,0,0.0,1742
3142,Australia,2021-08-09,others,0,0.0,2734
3166,Australia,2021-08-23,others,0,0.0,3198
3190,Australia,2021-09-06,others,1,0.02,3744
3214,Australia,2021-09-20,others,0,0.0,3526
3238,Australia,2021-10-04,others,1,0.05,1824
3262,Australia,2021-10-18,others,0,0.0,2410
3286,Australia,2021-11-01,others,0,0.0,1883
3310,Australia,2021-11-15,others,0,0.0,2078
3334,Australia,2021-11-29,others,0,0.0,1992
3358,Australia,2021-12-13,others,2,0.07,2800
3382,Australia,2021-12-27,others,1,0.06,1726
3406,Austria,2020-05-11,others,34,100.0,34
3430,Austria,2020-05-25,others,41,100.0,41
3454,Austria,2020-06-08,others,1,100.0,1
3478,Austria,2020-06-22,others,1,100.0,1
3502,Austria,2020-07-06,others,2,100.0,2
3526,Austria,2020-07-20,others,11,100.0,11
3550,Austria,2020-08-03,others,8,88.89,9
3574,Austria,2020-08-17,others,20,90.91,22
3598,Austria,2020-08-31,others,34,77.28,44
3622,Austria,2020-09-14,others,24,68.57,35
3646,Austria,2020-09-28,others,24,61.54,39
3670,Austria,2020-10-12,others,21,69.99,30
3694,Austria,2020-10-26,others,57,67.86,84
3718,Austria,2020-11-09,others,67,37.02,181
3742,Austria,2020-11-23,others,53,33.33,159
3766,Austria,2020-12-07,others,60,43.79,137
3790,Austria,2020-12-21,others,24,53.33,45
3814,Austria,2021-01-04,others,72,22.87,315
3838,Austria,2021-01-11,others,21,15.43,136
3862,Austria,2021-01-25,others,31,12.4,250
3886,Austria,2021-02-08,others,107,27.78,385
3910,Austria,2021-02-22,others,84,20.24,415
3934,Austria,2021-03-08,others,61,13.14,464
3958,Austria,2021-03-22,others,41,7.23,567
3982,Austria,2021-04-05,others,9,3.11,291
4006,Austria,2021-04-19,others,16,4.53,353
4030,Austria,2021-05-03,others,21,6.38,329
4054,Austria,2021-05-17,others,34,5.5,619
4078,Austria,2021-05-31,others,21,5.39,389
4102,Austria,2021-06-14,others,21,5.28,398
4126,Austria,2021-06-28,others,15,2.0,750
4150,Austria,2021-07-12,others,1,0.19,505
4174,Austria,2021-07-26,others,0,0.0,771
4198,Austria,2021-08-09,others,0,0.0,623
4222,Austria,2021-08-23,others,1,0.16,623
4246,Austria,2021-09-06,others,0,0.0,585
4270,Austria,2021-09-20,others,0,0.0,513
4294,Austria,2021-10-04,others,0,0.0,444
4318,Austria,2021-10-18,others,0,0.0,437
4342,Austria,2021-11-01,others,0,0.0,634
4366,Austria,2021-11-15,others,0,0.0,561
4390,Austria,2021-11-29,others,0,0.0,165
4414,Austria,2021-12-13,others,0,0.0,183
4438,Bahrain,2020-06-08,others,1,100.0,1
4462,Bahrain,2020-06-22,others,2,100.0,2
4486,Bahrain,2020-07-06,others,11,100.0,11
4510,Bahrain,2020-08-03,others,3,100.0,3
4534,Bahrain,2020-08-31,others,3,100.0,3
4558,Bahrain,2020-09-14,others,2,100.0,2
4582,Bahrain,2020-09-28,others,2,100.0,2
4606,Bahrain,2020-10-12,others,10,100.0,10
4630,Bahrain,2020-10-26,others,45,100.0,45
4654,Bahrain,2020-11-09,others,6,100.0,6
4678,Bahrain,2020-11-23,others,38,100.0,38
4702,Bahrain,2021-02-08,others,1,100.0,1
4726,Bahrain,2021-02-22,others,1,50.0,2
4750,Bahrain,2021-03-22,others,1,14.29,7
4774,Bahrain,2021-04-05,others,0,0.0,2
4798,Bahrain,2021-04-19,others,8,19.05,42
4822,Bahrain,2021-05-03,others,0,0.0,9
4846,Bahrain,2021-05-17,others,2,3.51,57
4870,Bahrain,2021-05-31,others,2,4.35,46
4894,Bahrain,2021-06-14,others,1,4.16,24
4918,Bahrain,2021-06-28,others,0,0.0,84
4942,Bahrain,2021-07-12,others,0,0.0,69
4966,Bahrain,2021-07-26,others,1,0.95,106
4990,Bahrain,2021-08-09,others,1,2.09,48
5014,Bahrain,2021-09-06,others,0,0.0,227
5038,Bahrain,2021-10-04,others,0,0.0,186
5062,Bahrain,2021-10-18,others,0,0.0,372
5086,Bahrain,2021-11-01,others,0,0.0,467
5110,Bahrain,2021-11-15,others,0,0.0,370
5134,Bangladesh,2020-05-11,others,124,100.0,124
5158,Bangladesh,2020-05-25,others,168,100.0,168
5182,Bangladesh,2020-06-08,others,69,100.0,69
5206,Bangladesh,2020-06-22,others,111,100.0,111
5230,Bangladesh,2020-07-06,others,175,100.0,175
5254,Bangladesh,2020-07-20,others,139,100.0,139
5278,Bangladesh,2020-08-03,others,66,100.0,66
5302,Bangladesh,2020-08-17,others,26,100.0,26
5326,Bangladesh,2020-08-31,others,25,100.0,25
5350,Bangladesh,2020-09-14,others,35,100.0,35
5374,Bangladesh,2020-09-28,others,8,100.0,8
5398,Bangladesh,2020-10-12,others,20,100.0,20
5422,Bangladesh,2020-10-26,others,15,100.0,15
5446,Bangladesh,2020-11-09,others,25,92.59,27
5470,Bangladesh,2020-11-23,others,30,100.0,30
5494,Bangladesh,2020-12-07,others,57,100.0,57
5518,Bangladesh,2020-12-21,others,25,100.0,25
5542,Bangladesh,2021-01-04,others,50,94.34,53
5566,Bangladesh,2021-01-11,others,8,53.33,15
5590,Bangladesh,2021-01-25,others,53,85.48,62
5614,Bangladesh,2021-02-08,others,34,80.95,42
5638,Bangladesh,2021-02-22,others,20,55.55,36
5662,Bangladesh,2021-03-08,others,3,21.43,14
5686,Bangladesh,2021-03-22,others,24,15.38,156
5710,Bangladesh,2021-04-05,others,9,10.34,87
5734,Bangladesh,2021-04-19,others,7,5.34,131
5758,Bangladesh,2021-05-03,others,4,7.15,56
5782,Bangladesh,2021-05-17,others,5,8.62,58
5806,Bangladesh,2021-05-31,others,9,9.1,99
5830,Bangladesh,2021-06-14,others,5,7.24,69
5854,Bangladesh,2021-06-28,others,4,3.57,112
5878,Bangladesh,2021-07-12,others,2,0.82,244
5902,Bangladesh,2021-07-26,others,0,0.0,174
5926,Bangladesh,2021-08-09,others,0,0.0,149
5950,Bangladesh,2021-08-23,others,0,0.0,140
5974,Bangladesh,2021-09-06,others,0,0.0,131
5998,Bangladesh,2021-09-20,others,0,0.0,126
6022,Bangladesh,2021-10-04,others,0,0.0,94
6046,Bangladesh,2021-10-18,others,0,0.0,136
6070,Bangladesh,2021-11-01,others,0,0.0,94
6094,Bangladesh,2021-11-15,others,0,0.0,118
6118,Bangladesh,2021-11-29,others,0,0.0,112
6142,Bangladesh,2021-12-13,others,0,0.0,45
6166,Bangladesh,2021-12-27,others,0,0.0,24
6190,Bangladesh,2022-01-05,others,0,0.0,3
6214,Belgium,2020-05-11,others,134,100.0,134
6238,Belgium,2020-05-25,others,67,100.0,67
6262,Belgium,2020-06-08,others,15,100.0,15
6286,Belgium,2020-06-22,others,38,100.0,38
6310,Belgium,2020-07-06,others,38,97.44,39
6334,Belgium,2020-07-20,others,35,89.75,39
6358,Belgium,2020-08-03,others,95,65.08,146
6382,Belgium,2020-08-17,others,76,58.46,130
6406,Belgium,2020-08-31,others,18,33.34,54
6430,Belgium,2020-09-14,others,37,42.53,87
6454,Belgium,2020-09-28,others,96,39.02,246
6478,Belgium,2020-10-12,others,23,17.69,130
6502,Belgium,2020-10-26,others,51,14.05,363
6526,Belgium,2020-11-09,others,28,13.74,204
6550,Belgium,2020-11-23,others,21,8.71,241
6574,Belgium,2020-12-07,others,17,11.49,148
6598,Belgium,2020-12-21,others,168,48.41,347
6622,Belgium,2021-01-04,others,35,14.47,242
6646,Belgium,2021-01-11,others,50,17.07,293
6670,Belgium,2021-01-25,others,134,9.72,1378
6694,Belgium,2021-02-08,others,202,11.11,1820
6718,Belgium,2021-02-22,others,211,11.67,1808
6742,Belgium,2021-03-08,others,243,10.87,2237
6766,Belgium,2021-03-22,others,243,8.29,2935
6790,Belgium,2021-04-05,others,204,5.92,3438
6814,Belgium,2021-04-19,others,138,4.74,2911
6838,Belgium,2021-05-03,others,176,5.26,3338
